"","race","year","female","agecat4","edcat5","pop","emp","mn_wg","mn_lnwg","wt_wg","numobs_wg","sd_wg"
"1",1,1973,0,1,1,5798402.47999999,3025469.08435059,9.93155288696289,2.19706988334656,2398566.17,1610,6.77744150161743
"2",2,1973,0,1,1,1052208.48,368015.900878906,9.65315914154053,2.21487140655518,261520.42,159,3.30436944961548
"3",3,1973,0,1,1,114492.69,59954.4104614258,10.1718645095825,2.13462853431702,48526.71,20,12.2687845230103
"4",1,1973,0,1,2,3180947.99,2847642.20568848,13.8363752365112,2.55493974685669,2253150.35,1455,5.61574983596802
"5",2,1973,0,1,2,511324.69,388784.129638672,12.3001689910889,2.4364025592804,309913.72,165,5.34311580657959
"6",3,1973,0,1,2,35957.7,21320.0200195312,10.9082164764404,2.32938981056213,11355.5,7,4.4556360244751
"7",1,1973,0,1,3,4012299.77999999,2454547.51208496,12.5865774154663,2.45482325553894,1967159.68,1263,5.6458249092102
"8",2,1973,0,1,3,328432.23,156267.009887695,12.8354005813599,2.46699261665344,123025.69,67,5.361252784729
"9",3,1973,0,1,3,71462.98,43492.3991699219,12.3600645065308,2.43658351898193,38105.37,19,5.62339067459106
"10",1,1973,0,1,4,845049.54,648023.058959961,15.8738174438477,2.68293929100037,519381.41,317,7.66991472244263
"11",2,1973,0,1,4,28109.69,21873.1397705078,15.6845836639404,2.7424328327179,13461.93,7,2.52881789207458
"12",3,1973,0,1,4,13140.43,7380.93005371094,18.7506732940674,2.87307453155518,6251.07,3,6.91035604476929
"13",1,1973,0,1,5,41348.64,30317.3502197266,14.9105787277222,2.62609195709229,23874.19,15,6.48378086090088
"14",2,1973,0,1,5,1719.72,1719.71997070312,162.121856689453,5.08834838867188,1719.72,1,NA
"15",3,1973,0,1,5,2429.47,2429.46997070312,10.1326160430908,2.3157594203949,2429.47,1,NA
"16",1,1973,0,2,1,3511224.42999999,3161644.93969727,16.7630939483643,2.73115015029907,2383925.5,1515,8.76743793487549
"17",2,1973,0,2,1,735793.87,606318.161132812,13.711428642273,2.53066420555115,418729.26,237,7.1265344619751
"18",3,1973,0,2,1,48350.93,43908.1903686523,17.0423755645752,2.62127113342285,33129.75,20,17.1500816345215
"19",1,1973,0,2,2,5786032.54000001,5570191.3873291,19.0372009277344,2.86970591545105,4238164.09999999,2715,8.97466564178467
"20",2,1973,0,2,2,642861.37,572195.540527344,16.6489143371582,2.72153329849243,419270.63,235,11.1969003677368
"21",3,1973,0,2,2,84784,78001.0196533203,18.7623901367188,2.81823968887329,61962.94,35,8.43974113464355
"22",1,1973,0,2,3,3439583.40999999,3159453.89477539,20.988109588623,2.93917036056519,2407238.09,1533,12.4475336074829
"23",2,1973,0,2,3,244130.04,208467.199584961,17.7964191436768,2.82272124290466,165792.15,91,6.08755970001221
"24",3,1973,0,2,3,52288.62,45661.3001098633,15.5241479873657,2.66397356987,37721.54,26,6.09998846054077
"25",1,1973,0,2,4,2580211.5,2443175.32080078,24.5751304626465,3.07754778862,1838861.14,1166,14.6826820373535
"26",2,1973,0,2,4,124957.78,112494.370727539,20.6649265289307,2.9503345489502,88240.63,49,8.20030879974365
"27",3,1973,0,2,4,85294.44,63764.7203979492,20.5269412994385,2.91231465339661,47748.46,33,9.07599258422852
"28",1,1973,0,2,5,1159350.49,1121469.47070312,25.7986946105957,3.12759304046631,791345.3,503,13.9938488006592
"29",2,1973,0,2,5,30328.36,27188.0499267578,26.8540954589844,3.2067277431488,20057.69,11,12.6068000793457
"30",3,1973,0,2,5,43221.48,39835.5001220703,23.2242336273193,3.04343318939209,29044.12,16,10.5479202270508
"31",1,1973,0,3,1,5209429.16999998,4558175.4519043,17.7732620239258,2.7925820350647,3008217.11999999,2025,8.8058557510376
"32",2,1973,0,3,1,980386.170000001,814467.582275391,14.5149431228638,2.58882999420166,540533.87,338,6.50650978088379
"33",3,1973,0,3,1,55723.84,42714.9808349609,18.9125061035156,2.876220703125,34073.42,15,6.40023756027222
"34",1,1973,0,3,2,4972265.93999998,4692475.56262207,21.3065567016602,2.9699330329895,3055362.49,2068,11.264217376709
"35",2,1973,0,3,2,309252.52,268712.461547852,16.6269378662109,2.73172855377197,176360.32,106,7.1316032409668
"36",3,1973,0,3,2,72599.89,66135.3704833984,21.6817512512207,2.98298501968384,38973.97,22,8.03403472900391
"37",1,1973,0,3,3,2155025.31,2048099.69152832,24.7684345245361,3.1006338596344,1232178.74,832,14.045672416687
"38",2,1973,0,3,3,136892.73,125315.340698242,18.2636432647705,2.85082936286926,87013.05,53,5.86576795578003
"39",3,1973,0,3,3,29531.38,29531.3801879883,19.7765979766846,2.95075631141663,18657.57,11,5.56697368621826
"40",1,1973,0,3,4,1726401.96,1677982.95227051,32.3207015991211,3.36213612556458,994906.940000001,668,17.6346244812012
"41",2,1973,0,3,4,55530.28,47270.0798339844,20.1620216369629,2.9173014163971,31231.22,18,8.36713600158691
"42",3,1973,0,3,4,21425.3,21425.2997436523,28.8773574829102,3.11156702041626,15661.66,8,26.6114521026611
"43",1,1973,0,3,5,895354.309999999,886326.859619141,33.3029441833496,3.34621953964233,514718.73,347,21.056661605835
"44",2,1973,0,3,5,29708.83,29708.8302001953,29.1748809814453,3.3157479763031,22974.35,15,10.838171005249
"45",3,1973,0,3,5,10625.74,10625.7401123047,22.9075241088867,2.98437309265137,5005.01,3,12.2203025817871
"46",1,1973,0,4,1,4092069.14,2884082.84216309,16.6132793426514,2.71382093429565,1761124.91,1171,7.8607349395752
"47",2,1973,0,4,1,563232.61,366073.958862305,14.5467205047607,2.5341100692749,253133.01,156,10.707953453064
"48",3,1973,0,4,1,50217.27,35377.4300537109,11.6187572479248,2.35993528366089,20114.54,9,5.16212368011475
"49",1,1973,0,4,2,2251104.39,1842628.76733398,20.8368148803711,2.92754316329956,1042775.87,687,13.1641712188721
"50",2,1973,0,4,2,97209.58,72766.2501831055,15.6279983520508,2.68336200714111,39987.04,23,5.74994087219238
"51",3,1973,0,4,2,18069.42,14509.4399414062,16.8876914978027,2.82658505439758,1733.36,1,NA
"52",1,1973,0,4,3,852896.98,702602.319458008,23.8415241241455,3.00316786766052,374239.31,246,16.2593116760254
"53",2,1973,0,4,3,25009.71,18601.6799316406,16.7253704071045,2.66301989555359,13592.73,8,9.10923862457275
