st,year,div_rate,stpop,lfdivlaw,unilateral,years_unilateral,years_unilateral_long,reform,evdiv50,married,married_annual,neighper,time,timesq,divx1,divx2,divx3,divx4,divx5,divx6,divx7,divx8,divx9,divx10,divx11,divx12,divx13,divx14,divx15,divx16,divx17
AK,1956,2.700000048,224000,1935,1,15,21,1,0.226420343,NA,0.717026055,0,-12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1957,2.400000095,231000,1935,1,15,23,1,0.226420343,NA,0.71829769,0,-11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1958,2.5,224000,1935,1,15,23,1,0.226420343,NA,0.719569325,0,-10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1959,3,224000,1935,1,15,25,1,0.226420343,NA,0.720840961,0,-9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1960,3.5,229000,1935,1,15,25,1,0.226420343,0.722112596,0.722112596,0,-8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1961,3.900000095,238000,1935,1,15,25,1,0.226420343,NA,0.723384231,0,-7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1962,3.799999952,246000,1935,1,15,25,1,0.226420343,NA,0.724655867,0,-6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1963,3.799999952,256000,1935,1,15,25,1,0.226420343,NA,0.725927502,0,-5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1964,3.900000095,263000,1935,1,15,25,1,0.226420343,NA,0.727199137,0,-4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1965,4.199999809,271000,1935,1,15,25,1,0.226420343,NA,0.728470773,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1966,4.099999905,271000,1935,1,15,25,1,0.226420343,NA,0.729742408,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1967,4.300000191,278000,1935,1,15,25,1,0.226420343,NA,0.731014043,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1968,4.800000191,285000,1935,1,15,25,1,0.226420343,NA,0.732285678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1969,5.400000095,296000,1935,1,15,25,1,0.226420343,NA,0.733557314,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1970,5.599999905,302583,1935,1,15,25,1,0.226420343,0.734828949,0.734828949,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1971,5.5,315510,1935,1,15,25,1,0.226420343,NA,0.7272663,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1972,6.599999905,324464,1935,1,15,25,1,0.226420343,NA,0.71970365,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1973,6.199999809,330543,1935,1,15,25,1,0.226420343,NA,0.712141001,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1974,7.099999905,341063,1935,1,15,25,1,0.226420343,NA,0.704578352,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1975,7.699999809,376170,1935,1,15,25,1,0.226420343,NA,0.697015703,0,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1976,8.199999809,400969,1935,1,15,25,1,0.226420343,NA,0.689453053,0,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1977,9,403436,1935,1,15,25,1,0.226420343,NA,0.681890404,0,9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1978,8.699999809,404766,1935,1,15,25,1,0.226420343,NA,0.674327755,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1979,8.699999809,402753,1935,1,15,25,1,0.226420343,NA,0.666765106,0,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1980,8.800000191,401851,1935,1,15,25,1,0.226420343,0.659202456,0.659202456,0,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
