statedisdec,demsharenext,demshareprev,use,demwinprev,difdemshare,difdemshare2,difdemshare3,difdemshare4,demofficeexp,demelectexp,othofficeexp,othelectexp,right,rdifdemshare,rdifdemshare2,rdifdemshare3,rdifdemshare4,difdemsharenext
1011,0.5468635,,,,-0.06148815,0.003780793,-0.000232474,1.4294394e-05,0,0,0.9166667,1,0,0,0,0,0,
1011,0.580962,0.46925592,1,0,0.104869485,0.010997609,0.001153314,0.000120947,0,0,1,1,1,0.104869485,0.010997609,0.001153314,0.000120947,0.11170608
1011,,0.5468635,,1,0.16446409,0.027048435,0.004448496,0.000731618,1,1,0,0,1,0.16446409,0.027048435,0.004448496,0.000731618,
1012,0.56962603,,,,0.07936081,0.006298139,0.000499825,3.966655e-05,0,0,3.0833333,3.4166667,1,0.07936081,0.006298139,0.000499825,3.966655e-05,
1012,0.46105853,0.5396804,1,1,0.1392521,0.019391146,0.002700258,0.000376017,1,1,0,0,1,0.1392521,0.019391146,0.002700258,0.000376017,-0.078621894
1012,0.5434108,0.56962603,1,1,-0.07360193,0.005417245,-0.00039872,2.9346536e-05,0,0,0,0,0,0,0,0,0,-0.026215255
1012,0.5845801,0.46105853,1,0,0.08682153,0.007537977,0.000654459,5.6821103e-05,0,0,1,1,1,0.08682153,0.007537977,0.000654459,5.6821103e-05,0.123521596
1012,,0.5434108,,1,0.16916025,0.02861519,0.004840552,0.000818829,1,1,0,0,1,0.16916025,0.02861519,0.004840552,0.000818829,
1013,0.69967914,,,,0.15559244,0.024209008,0.003766739,0.000586076,2,2,0.45833334,0.75,1,0.15559244,0.024209008,0.003766739,0.000586076,
1013,0.58028644,0.5748416,1,1,0.39935827,0.15948702,0.063692465,0.025436113,3,3,0,1,1,0.39935827,0.15948702,0.063692465,0.025436113,0.005444825
1013,0.6243524,0.69967914,1,1,0.16807723,0.028249955,0.004748175,0.00079806,4,4,0,0,1,0.16807723,0.028249955,0.004748175,0.00079806,-0.07532674
1013,0.487293,0.58028644,1,1,0.25156257,0.06328373,0.015919816,0.00400483,5,5,0,0,1,0.25156257,0.06328373,0.015919816,0.00400483,-0.09299344
1013,,0.6243524,,1,0.006423771,4.126484e-05,2.650759e-07,1.7027869e-09,0,0,0,0,1,0.006423771,4.126484e-05,2.650759e-07,1.7027869e-09,
1014,0.62668604,,,,0.1502741,0.022582304,0.003393536,0.00050996,1,1,0.7083333,0.75,1,0.1502741,0.022582304,0.003393536,0.00050996,
1014,0.5709645,0.5690892,1,1,0.26750273,0.07155771,0.019141883,0.005120506,2,2,0,0,1,0.26750273,0.07155771,0.019141883,0.005120506,0.001875341
1014,0.59550136,0.62668604,1,1,0.15275466,0.023333987,0.003564376,0.000544475,3,3,0,0,1,0.15275466,0.023333987,0.003564376,0.000544475,-0.031184673
1014,0.6304118,0.5709645,1,1,0.20239127,0.040962227,0.008290397,0.001677904,4,4,0,0,1,0.20239127,0.040962227,0.008290397,0.001677904,0.05944729
1014,,0.59550136,,1,0.2608236,0.06802896,0.017743558,0.004627938,5,5,0,0,1,0.2608236,0.06802896,0.017743558,0.004627938,
1015,0.61725754,,,,0.36926013,0.13635305,0.050349742,0.018592153,0,0,1.25,1.4166666,1,0.36926013,0.13635305,0.050349742,0.018592153,
1015,0.7418852,0.6813068,1,1,0.2378197,0.05655821,0.013450657,0.003198831,1,1,0,1,1,0.2378197,0.05655821,0.013450657,0.003198831,0.060578406
1015,0.77244276,0.61725754,1,1,0.48799968,0.23814368,0.116214044,0.056712415,2,2,0,2,1,0.48799968,0.23814368,0.116214044,0.056712415,0.15518522
1015,0.71402943,0.7418852,1,1,0.5448855,0.2969002,0.16177663,0.08814974,3,3,0,0,1,0.5448855,0.2969002,0.16177663,0.08814974,-0.027855754
