,sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,full_time_employees_before,full_time_employees_after
1,46,1,0,0,0,0,0,1,0,0,0,30,15,3,NA,19,NA,1,NA,2,6.5,16.5,1.03,1.03,0.52,3,3,1,1,111792,1,3.5,35,3,4.3,26,0.08,1,2,6.5,16.5,1.03,NA,0.94,4,4,40.5,24
2,49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4,NA,26,NA,0,NA,2,10,13,1.01,0.9,2.35,4,3,1,1,111292,NA,0,15,4,4.45,13,0.05,0,2,10,13,1.01,0.89,2.35,4,4,13.75,11.5
3,506,2,1,0,0,0,0,1,0,0,0,3,7,2,NA,13,0.37,0,30,2,11,10,0.95,0.74,2.33,3,3,1,1,111292,NA,3,7,4,5,19,0.25,NA,1,11,11,0.95,0.74,2.33,4,3,8.5,10.5
4,56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0.1,1,0,2,10,12,0.87,0.82,1.79,2,2,1,1,111492,NA,0,36,2,5.25,26,0.15,0,2,10,12,0.92,0.79,0.87,2,2,34,20
5,61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,0.15,1,0,3,10,12,0.87,0.77,1.65,2,2,1,1,111492,NA,28,3,6,4.75,13,0.15,0,2,10,12,1.01,0.84,0.95,2,2,24,35.5
6,62,4,1,0,0,0,0,1,0,0,2,0,31,5,5,26,0.07,0,45,2,10,12,0.87,0.77,0.95,2,2,1,1,111492,NA,NA,NA,NA,NA,26,NA,0,2,10,12,NA,0.84,1.79,3,3,20.5,NA
7,445,1,0,0,0,0,0,0,1,0,0,50,35,3,5,26,0.1,0,0,2,6,18,1.04,0.88,0.94,3,3,1,1,110792,NA,15,18,5,4.75,26,0.15,0,2,6,18,1.04,0.86,0.94,3,3,70.5,29
8,451,1,0,0,0,0,0,0,1,0,0,10,17,5,5,52,0.25,0,0,2,0,24,1.05,0.84,0.96,6,4,1,1,111792,2,26,9,6,5,26,0.2,0,2,0,24,1.11,0.84,0.94,6,3,23.5,36.5
9,455,2,1,0,0,0,0,0,1,0,0,2,8,5,5.25,13,0.25,0,0,1,11,10,0.73,0.73,2.32,2,2,1,1,111292,NA,3,12,2,5,13,0.25,0,2,11,11,0.94,0.84,2.32,4,3,11,11
10,458,2,1,0,0,0,0,1,0,0,2,2,10,2,5,19,0.15,0,0,1,11,10,0.94,0.73,2.32,4,4,1,1,111792,1,2,9,2,5,13,0.25,0,1,11,10.5,0.9,0.73,2.32,4,3,9,8.5
11,462,3,1,0,0,0,0,0,1,0,0,2.5,20,3,5,13,0.37,1,5,2,9,12.5,1.05,1.01,1.11,4,4,2,1,122292,1,1,25,4,4.75,13,0.2,0,2,9,12,1.01,1.01,0.89,6,3,15.5,17.5
12,468,1,0,0,0,0,0,0,1,0,0,40,30,3,5,13,0.17,0,0,2,6,18,0.95,0.94,0.95,4,3,1,1,110792,NA,9,32,4,5,26,0.13,1,2,6,18,0.97,0.84,0.86,4,3,58,29
13,469,1,0,0,0,0,0,0,1,0,0,8,27,5,5,39,0.25,0,80,2,6,18,0.92,0.72,0.96,3,2,1,1,111692,1,7,39,4,4.5,41,0.23,0,2,6,18,0.92,0.81,0.87,3,3,26.5,30.5
14,470,1,0,0,0,0,0,0,1,0,0,10.5,30,3,5.5,NA,0.3,0,0,2,6,18,0.97,0.84,0.94,3,3,1,1,111792,2,18,10,3,4.75,13,0.15,1,2,6,18,1.03,0.84,0.94,3,2,28.5,26
15,474,1,0,0,0,0,0,0,1,0,2,6,9,3,5,26,0.37,0,0,2,9,12.5,1.13,0.98,1.01,3,1,2,1,122292,1,5,20,3,4.5,NA,0,0,2,8.5,13,1.09,0.94,0.94,3,2,13.5,18
16,481,2,1,0,0,0,0,0,1,0,2,5,17.5,3,5.25,26,0.25,1,0,3,11,10,0.95,0.74,2.53,5,4,1,1,111792,2,15,4,3,5,26,0.25,1,2,11,11,0.74,0.73,2.53,3,3,16.75,20
17,483,2,1,0,0,0,0,0,1,0,0,1,15,1,5,13,0.07,1,0,2,11,10,0.94,0.73,2.32,4,3,1,1,111292,NA,4,13,3,4.75,13,0.18,0,1,11,11,0.95,0.74,2.33,4,3,9.5,13.5
18,487,3,1,0,0,0,0,0,1,0,0,10,6,2,5,13,0.17,1,0,2,10,11.5,1.11,0.91,0.95,6,3,1,1,111192,NA,6,20,3,4.75,26,0.1,0,2,10.5,11,1.05,1.01,0.94,6,1,15,19
19,488,3,0,0,0,0,0,0,1,0,1,20,13,3,5,13,0.25,1,0,2,6,16,1.05,0.79,1.01,5,5,1,1,111192,NA,5,15,3,4.75,26,0.13,0,2,7,15,1.01,1.01,0.94,5,3,29.5,15.5
20,489,3,0,0,0,0,0,0,1,0,2,5,23,2,5,13,0.37,1,6,2,7,14,1.05,1.01,0.94,4,4,1,1,111892,2,2,19,3,4.25,26,0.13,0,2,10,11.5,1.01,1.01,1.05,6,3,18.5,14.5
21,490,3,1,0,0,0,0,0,1,0,0,10,12.5,4,5,13,0.12,0,0,2,6,16,1.05,1.01,1.05,4,4,1,1,111692,1,2,18,3,5,26,0.28,0,2,6,16,1.01,1.01,1.05,5,3,20.25,14
22,493,3,1,0,0,0,0,1,0,0,0,27,12,3,5,26,0.25,0,0,2,6,16,1.05,0.9,2.01,6,3,1,1,111192,NA,0,30,4,4.9,13,0.25,0,2,6,16,1.02,1.01,0.84,3,3,36,19
23,495,3,0,0,0,0,0,0,1,0,2,4,28,3,5,26,0.25,0,2,2,7,15,1.05,1.01,0.94,3,3,1,1,111192,NA,8,20,3,5,26,0.25,1,2,6,16,0.96,1.01,1.01,5,3,21,21
24,496,3,1,0,0,0,0,0,1,0,0,10,15,3,5,13,0.17,1,0,2,6,16,1.05,0.9,0.73,5,3,1,1,111192,NA,10,10,3,4.75,19,0.18,0,2,6,16,1.01,1.01,0.89,NA,NA,20.5,18
25,499,4,1,0,0,0,0,0,1,0,0,0,28,5,5,26,0.07,1,11,2,10,12,0.9,0.69,1.75,2,2,1,1,111492,1,0,31,5,5,26,0.1,1,2,10,12,0.9,0.69,0.94,2,2,19,20.5
26,509,3,1,0,0,0,0,0,1,0,2,3,16,3,5,13,0.25,0,30,2,6,16,1.05,0.95,1.16,6,3,1,1,111192,NA,5.5,10,3,4.25,26,0.2,0,2,6.5,15.5,1,1.01,0.94,3,2,14,13.5
27,515,3,1,0,0,0,0,0,1,0,0,7,16,4,5,13,0.2,0,33,2,6,16,1.05,0.94,1.16,5,3,1,1,111192,NA,5,19,3,4.75,13,0.18,0,2,6,16,1.01,1.01,0.94,5,4,19,17.5
28,37,1,0,0,0,0,0,1,0,0,2,21,9,7,4.25,4,0.25,0,33,2,6.5,16.5,0.98,0.84,0.84,5,3,1,1,111092,NA,6,25,7,4.25,52,0.18,0,2,6.5,16.5,0.98,0.84,0.86,6,3,32.5,25.5
29,39,1,0,0,0,0,0,1,0,0,0,1,32,2,4.25,8,NA,0,100,2,6.5,17.5,1.03,0.73,0.52,4,2,1,1,111792,NA,5,15,3,NA,NA,NA,0,2,6.5,16.5,1.05,NA,0.63,4,2,19,15.5
30,40,1,0,0,0,0,0,1,0,0,0,10,20,7,4.25,4,0.15,0,100,2,6.5,16.5,0.98,0.82,0.8,3,3,1,1,111092,NA,7,25,6,4.25,8,0.13,0,2,6.5,17.5,0.98,0.82,0.87,3,2,27,25.5
31,41,1,0,0,0,0,0,1,0,0,0,0,27,6,4.25,18,0.2,0,100,2,6.5,16.5,0.98,0.82,0.85,3,3,1,1,111892,2,0,42,6,4.25,NA,NA,0,2,6.5,17.5,0.94,0.78,0.91,3,2,19.5,27
32,42,1,0,0,0,0,0,1,0,0,2,17,4,5,4.5,NA,NA,0,100,2,6.5,16.5,0.98,0.83,0.86,3,3,1,1,111792,1,0,22,5,4.25,26,0.25,0,2,6.5,16.5,0.94,NA,NA,3,2,24,16
33,45,1,0,0,0,0,0,1,0,0,0,0,24,6,4.25,2,0.25,0,25,2,7,16,0.98,0.83,0.86,3,3,1,1,111092,NA,11,12,2,4.25,26,0.15,0,3,6.5,17.5,0.98,0.75,0.86,3,3,18,19
34,47,1,0,0,0,0,0,1,0,0,2,25,15,NA,4.5,4,0.17,0,75,2,6,17,1.05,0.86,0.86,3,3,1,1,111092,NA,0,45,2,4.25,NA,NA,0,2,6,18,1.05,0.86,0.86,3,NA,NA,24.5
35,48,1,0,0,0,0,0,1,0,0,0,6,20,3,4.25,13,0.2,1,31,3,7,14,1.01,0.84,0.63,4,3,1,1,111092,NA,7.5,25,5,4.38,13,0.25,1,3,7,14,0.98,0.79,0.87,4,3,19,25
36,50,2,0,0,0,0,0,1,0,0,0,6,10,3,4.5,13,NA,0,20,2,10,12,1.01,0.89,3.5,4,3,1,1,111292,NA,4,20,3,4.75,13,0.1,0,2,10,13,1.01,0.89,2.35,4,3,14,17
