state,year,cigsale,age15to24,retprice,imposed_tax
1,1970,89.80000305,0.17886178195476501,39.59999847,0
1,1971,95.40000153,0.179927841,42.70000076,0
1,1972,101.0999985,0.1809939,42.29999924,0
1,1973,102.9000015,0.18205994367599496,42.09999847,0
1,1974,108.1999969,0.183126003,43.09999847,0
1,1975,111.6999969,0.184192061,46.59999847,0
1,1976,116.1999969,0.18525812029838604,50.40000153,0
1,1977,117.0999985,0.186324179,50.09999847,0
1,1978,123,0.187390223,55.09999847,0
1,1979,121.4000015,0.18845628201961492,56.79999924,0
1,1980,123.1999969,0.189522341,60.59999847,0
1,1981,119.5999985,0.185842231,68.80000305,0
1,1982,119.0999985,0.182162121,73.09999847,0
1,1983,116.3000031,0.178482011,84.40000153,0
1,1984,113,0.174801901,90.80000305,0
1,1985,114.5,0.171121791,99,0
1,1986,116.3000031,0.167441681,103,0
1,1987,114,0.163761571,110,0
1,1988,112.0999985,0.16008146107196802,114.4000015,0
1,1989,105.5999985,0.156401351,122.3000031,0
1,1990,108.5999985,0.15272124111652402,139.1000061,0
1,1991,107.9000015,,144.3999939,0
1,1992,109.0999985,,172.1999969,0
1,1993,108.5,,176.1999969,0
1,1994,107.0999985,,154.6000061,0
1,1995,102.5999985,,155.1000061,0
1,1996,101.4000015,,158.3000031,0
1,1997,104.9000015,,167.3999939,0
1,1998,106.1999969,,180.5,0
1,1999,100.6999969,,195.6000061,0
1,2000,96.19999695,,270.70001220703097,0
2,1970,100.3000031,0.169006765,36.70000076,0
2,1971,104.0999985,0.169953853,38.79999924,0
2,1972,103.9000015,0.170900956,44.09999847,0
2,1973,108,0.171848044,45.09999847,0
2,1974,109.6999969,0.17279513180255898,45.5,0
2,1975,114.8000031,0.173742235,48.59999847,0
2,1976,119.0999985,0.17468932271003698,50.90000153,0
2,1977,122.5999985,0.175636411,52.59999847,0
2,1978,127.3000031,0.17658349871635395,56.5,0
2,1979,126.5,0.177530602,58.40000153,0
2,1980,131.8000031,0.17847769,61.5,0
2,1981,128.6999969,0.175011113,64.69999695,0
2,1982,127.4000015,0.171544537,72.09999847,0
2,1983,128,0.168077946,82,0
2,1984,123.0999985,0.164611369,93.59999847,0
2,1985,125.8000031,0.161144793,98.5,0
2,1986,126,0.157678217,103.5999985,0
2,1987,122.3000031,0.15421164,113,0
2,1988,121.5,0.150745049,119.9000015,0
2,1989,118.3000031,0.147278473,127.6999969,0
2,1990,113.0999985,0.143811896,141.1999969,0
2,1991,116.8000031,,146.5,0
2,1992,126,,177.3000031,0
2,1993,113.8000031,,179.8999939,0
2,1994,108.8000031,,168.1000061,0
2,1995,113,,167.3000031,0
2,1996,110.6999969,,167.1000061,0
2,1997,108.6999969,,181.3000031,0
2,1998,109.5,,187.3000031,0
2,1999,104.8000031,,206.8999939,0
2,2000,99.40000153,,279.29998779296903,0
3,1970,123,0.17815832793712602,38.79999924,0
3,1971,121,0.179296359,39.70000076,0
3,1972,123.5,0.18043439090251892,39.90000153,0
3,1973,124.4000015,0.18157240748405493,39.90000153,0
3,1974,126.6999969,0.18271043896675104,41.90000153,0
3,1975,127.0999985,0.18384847,45,0
3,1976,128,0.18498650193214397,48.29999924,0
3,1977,126.4000015,0.186124533,49,0
3,1978,126.0999985,0.18726255,58.70000076,0
3,1979,121.9000015,0.188400581,60.09999847,0
3,1980,120.1999969,0.189538613,62.09999847,0
3,1981,118.5999985,0.185537055,66.40000152587889,0
3,1982,115.4000015,0.181535497,72.80000305,0
3,1983,110.8000031,0.17753393948078194,84.90000153,0
3,1984,104.8000031,0.173532382,94.90000153,0
3,1985,102.8000031,0.169530824,98,0
3,1986,99.69999695,0.165529266,104.4000015,0
3,1987,97.5,0.16152770817279802,103.9000015,0
3,1988,90.09999847,0.15752615,117.4000015,0
3,1989,82.40000153,0.15352459251880599,126.4000015,1
3,1990,77.80000305,0.149523035,163.8000031,1
3,1991,68.69999695,,186.8000031,1
3,1992,67.5,,201.8999939,1
3,1993,63.40000153,,205.1000061,1
3,1994,58.59999847,,190.3000031,1
3,1995,56.40000153,,195.1000061,1
3,1996,54.5,,197.8999939,1
3,1997,53.79999924,,200.3000031,1
3,1998,52.29999924,,207.8000031,1
3,1999,47.20000076,,224.8999939,1
3,2000,41.59999847,,351.2000122,1
4,1970,124.8000031,0.19095022976398496,29.399999618530305,0
4,1971,125.5,0.191647589,31.100000381469695,0
4,1972,134.3000031,0.192344964,31.20000076,0
4,1973,137.8999939,0.19304232299327892,32.70000076,0
4,1974,132.8000031,0.19373968243598896,38.09999847,0
4,1975,131,0.19443705677986106,41.70000076,0
4,1976,134.1999969,0.195134416,44.79999924,0
4,1977,132,0.195831776,44.70000076,0
4,1978,129.1999969,0.196529135,57.40000153,0
4,1979,131.5,0.19722650945186604,52.79999924,0
4,1980,131,0.197923869,54.59999847,0
4,1981,133.8000031,0.19186870753765092,58.09999847,0
4,1982,130.5,0.18581356108188604,61.40000153,0
4,1983,125.3000031,0.1797584,73.30000305,0
4,1984,119.6999969,0.17370325326919595,83.40000153,0
4,1985,112.4000015,0.16764809191226998,93.09999847,0
4,1986,109.9000015,0.161592931,95.09999847,0
4,1987,102.4000015,0.155537784,108.5999985,0
4,1988,94.59999847,0.14948262274265306,116,0
4,1989,88.80000305,0.14342747628688798,130.8000031,0
4,1990,87.40000153,0.137372315,149.3000031,0
4,1991,90.19999695,,152.6000061,0
4,1992,88.30000305,,157.5,0
4,1993,88.59999847,,168.1999969,0
4,1994,89.09999847,,153.1999969,0
4,1995,85.40000153,,164.1999969,0
4,1996,83.09999847,,169.6000061,0
4,1997,81.30000305,,174.3999939,0
4,1998,81.19999695,,185.8000031,0
4,1999,79.59999847,,204.1999969,0
4,2000,73,,281.29998779296903,0
5,1970,120,0.16292876,42.20000076,0
5,1971,117.5999985,0.164653897,45.5,0
5,1972,110.8000031,0.166379049,51.29999924,0
5,1973,109.3000031,0.168104187,50.59999847,0
5,1974,112.4000015,0.169829324,52.5,0
5,1975,110.1999969,0.171554476,54.5,0
5,1976,113.4000015,0.17327961325645402,57.59999847,0
5,1977,117.3000031,0.17500475049018901,58.40000153,0
5,1978,117.5,0.17672988772392298,61.70000076,0
5,1979,117.4000015,0.17845503985881794,64.40000152587889,0
5,1980,118,0.180180177,67,0
5,1981,116.4000015,0.176050052,80.09999847,0
5,1982,114.6999969,0.171919927,85.59999847,0
5,1983,114.0999985,0.16778981685638406,95.59999847,0
5,1984,112.5,0.163659692,113.5,0
5,1985,111,0.15952956676483201,118.5999985,0
5,1986,108.5,0.15539944171905498,118.5,0
5,1987,109,0.151269317,122.6999969,0
5,1988,104.8000031,0.147139207,129.6999969,0
5,1989,100.5999985,0.143009081,142,0
5,1990,91.5,0.13887895643711098,171.1999969,0
5,1991,86.69999695,,175.6000061,0
5,1992,83.5,,193.5,0
5,1993,79.09999847,,202.3000031,0
5,1994,76.59999847,,205.6000061,0
5,1995,79.30000305,,205.3999939,0
5,1996,76,,206.3000031,0
5,1997,75.90000153,,208.5,0
5,1998,75.5,,217.8999939,0
5,1999,73.40000153,,236.5,0
5,2000,71.40000153,,312.29998779296903,0
6,1970,155,0.17335766553878798,39,0
6,1971,161.1000061,0.175887212,41.29999924,0
6,1972,156.3000031,0.178416774,44.70000076,0
6,1973,154.6999969,0.18094632029533397,44,0
6,1974,151.3000031,0.183475882,44.20000076,0
6,1975,147.6000061,0.18600542843341802,45.90000153,0
6,1976,153,0.188534975,50.09999847,0
6,1977,153.3000031,0.19106453657150305,51.70000076,0
6,1978,155.5,0.193594083,58.70000076,0
6,1979,150.1999969,0.19612364470958701,60,0
6,1980,150.5,0.19865319132804896,62.70000076,0
6,1981,152.6000061,0.19354601204395305,66,0
6,1982,154.1000061,0.188438848,74.09999847,0
6,1983,149.6000061,0.18333166837692305,82,0
6,1984,144,0.178224504,91.09999847,0
6,1985,144.5,0.17311732470989202,98.69999695,0
6,1986,142.3999939,0.16801014542579698,105.1999969,0
6,1987,141,0.162902981,111.4000015,0
6,1988,137.1000061,0.15779580175876598,119.3000031,0
6,1989,131.6999969,0.152688637,124,0
6,1990,127.1999969,0.14758145809173598,140,0
6,1991,118.8000031,,143.1999969,0
6,1992,120,,174.6999969,0
6,1993,123.8000031,,187.8999939,0
6,1994,126.0999985,,152.5,0
6,1995,127.1999969,,160.6999969,0
6,1996,128.3000031,,169.1000061,0
6,1997,124.0999985,,171.8999939,0
6,1998,132.8000031,,179.1999969,0
6,1999,139.5,,198.3000031,0
6,2000,140.6999969,,276.20001220703097,0
7,1970,109.9000015,0.187445506,34.29999924,0
7,1971,115.6999969,0.187866256,35.79999924,0
7,1972,117,0.18828698992729198,40.90000153,0
7,1973,119.8000031,0.18870773911476105,42.40000153,0
7,1974,123.6999969,0.189128473,42.40000153,0
7,1975,122.9000015,0.18954922258853896,44.5,0
7,1976,125.9000015,0.1899699717760089,47.90000153,0
7,1977,127.9000015,0.19039070606231692,49.5,0
7,1978,130.6000061,0.19081145524978602,54.70000076,0
7,1979,131,0.19123219,56.59999847,0
7,1980,134,0.191652939,59.29999924,0
7,1981,131.6999969,0.187975734,62.59999847,0
7,1982,131.1999969,0.18429853,67.80000305,0
7,1983,128.6000061,0.18062132596969602,78.90000153,0
7,1984,126.3000031,0.17694412171840698,86.80000305,0
7,1985,128.8000031,0.173266917,90.69999695,0
7,1986,129,0.16958972811698902,100.0999985,0
7,1987,129.3000031,0.16591252386570002,103.9000015,0
7,1988,124.0999985,0.16223532,109.1999969,0
7,1989,117.0999985,0.158558115,122.4000015,0
7,1990,113.8000031,0.154880911,132.3000031,0
7,1991,109.5999985,,138.1999969,0
7,1992,109.1999969,,159.5,0
7,1993,109.1999969,,167.1999969,0
7,1994,107.8000031,,147.8000031,0
7,1995,100.3000031,,153.8000031,0
7,1996,102.6999969,,156.1000061,0
7,1997,100.5999985,,158.8999939,0
7,1998,100.5,,168.6999969,0
7,1999,97.09999847,,188,0
7,2000,88.40000153,,257.3999939,0
8,1970,102.4000015,0.17812061309814498,33.79999924,0
8,1971,108.5,0.17609244585037198,33.59999847,0
8,1972,126.0999985,0.174064294,33.70000076,0
8,1973,121.8000031,0.172036126,36.29999924,0
8,1974,125.5999985,0.17000795900821694,38,0
8,1975,123.3000031,0.16797980666160595,40.29999924,0
8,1976,125.0999985,0.165951639,42.5,0
8,1977,125,0.163923472,45.59999847,0
