address,village,takeup_survey,age,agpop,ricearea_2010,disaster_prob,male,default,intensive,risk_averse,literacy,pre_takeup_rate
beilian2,beilian,0,62.0,2.0,10.0,30.0,1.0,1,0,0.0,0.0,0.071428575
beilian2,beilian,1,63.0,5.0,15.0,100.0,1.0,1,0,0.0,1.0,0.071428575
beilian2,beilian,1,44.0,3.0,7.5,20.0,1.0,1,1,0.0,1.0,0.071428575
beilian2,beilian,1,76.0,6.0,,50.0,1.0,1,1,0.60000002,1.0,0.071428575
beilian2,beilian,0,52.0,6.0,11.0,0.0,1.0,1,1,0.19999999,1.0,0.071428575
beilian2,beilian,1,53.0,5.0,35.0,0.0,1.0,1,0,0.0,1.0,0.071428575
beilian2,beilian,0,72.0,10.0,2.0,40.0,1.0,1,0,0.0,1.0,0.071428575
beilian2,beilian,1,43.0,6.0,19.0,20.0,1.0,1,0,0.0,1.0,0.071428575
beilian2,beilian,1,78.0,7.0,14.0,30.0,1.0,1,1,0.39999998,1.0,0.071428575
beilian4,beilian,1,73.0,2.0,5.0,50.0,1.0,0,0,0.0,1.0,0.40000001
beilian4,beilian,1,58.0,6.0,20.0,20.0,1.0,0,1,0.0,1.0,0.40000001
beilian4,beilian,1,67.0,2.0,3.0,40.0,1.0,0,0,0.80000001,1.0,0.40000001
beilian4,beilian,1,60.0,2.0,10.0,50.0,1.0,0,0,0.0,1.0,0.40000001
beilian4,beilian,0,43.0,3.0,11.0,40.0,1.0,0,0,0.39999998,1.0,0.40000001
beilian4,beilian,0,36.0,4.0,16.0,40.0,1.0,0,1,0.0,,0.40000001
beilian4,beilian,1,62.0,6.0,12.0,40.0,1.0,0,1,0.39999998,1.0,0.40000001
beixing4,beixing,0,52.0,5.0,12.0,20.0,1.0,0,0,0.0,1.0,0.33333334
beixing4,beixing,0,57.0,6.0,10.0,20.0,1.0,0,0,0.19999999,1.0,0.33333334
beixing4,beixing,1,59.0,4.0,11.0,20.0,1.0,0,1,0.0,1.0,0.33333334
beixing4,beixing,0,42.0,5.0,13.0,50.0,1.0,0,1,0.39999998,1.0,0.33333334
beixing4,beixing,0,56.0,4.0,10.0,50.0,1.0,0,1,0.0,0.0,0.33333334
beixing5,beixing,1,61.0,2.0,22.0,20.0,1.0,1,1,0.0,1.0,0.5
beixing5,beixing,0,37.0,4.0,15.0,40.0,1.0,1,0,0.0,1.0,0.5
beixing712,beixing,1,48.0,6.0,80.0,40.0,1.0,1,0,0.0,1.0,0.42105263
beixing712,beixing,0,44.0,4.0,20.0,50.0,1.0,1,0,0.0,1.0,0.42105263
beixing712,beixing,0,51.0,5.0,11.0,40.0,1.0,1,0,0.0,0.0,0.42105263
beixing712,beixing,0,52.0,6.0,19.0,20.0,1.0,1,1,0.39999998,1.0,0.42105263
beixing712,beixing,0,33.0,4.0,5.7,50.0,1.0,1,0,0.0,1.0,0.42105263
beixing712,beixing,0,45.0,4.0,6.8,40.0,1.0,1,1,0.60000002,1.0,0.42105263
beixing712,beixing,1,45.0,10.0,15.0,20.0,1.0,1,0,0.0,1.0,0.42105263
beixing712,beixing,0,45.0,4.0,10.0,20.0,1.0,1,1,0.19999999,1.0,0.42105263
beixing712,beixing,1,74.0,2.0,7.0,20.0,1.0,1,1,0.0,0.0,0.42105263
caijia1,caijia,1,59.0,10.0,12.0,20.0,1.0,0,1,0.80000001,1.0,0.40000001
caijia1,caijia,1,40.0,4.0,18.0,20.0,1.0,0,1,0.80000001,1.0,0.40000001
caijia1,caijia,0,56.0,4.0,6.0,50.0,1.0,0,1,0.0,1.0,0.40000001
caijia1,caijia,0,65.0,4.0,3.0,50.0,1.0,0,0,0.0,1.0,0.40000001
caijia1,caijia,0,63.0,3.0,21.0,50.0,1.0,0,0,0.0,0.0,0.40000001
caijia1,caijia,0,64.0,6.0,5.0,50.0,1.0,0,1,0.0,1.0,0.40000001
caijia1,caijia,1,50.0,5.0,18.0,40.0,1.0,0,0,0.60000002,1.0,0.40000001
caijia1,caijia,1,76.0,4.0,5.0,30.0,1.0,0,0,0.0,0.0,0.40000001
caijia1,caijia,1,73.0,3.0,7.0,30.0,1.0,0,0,0.60000002,0.0,0.40000001
caijia6,caijia,0,41.0,3.0,2.0,30.0,1.0,1,0,0.0,1.0,0.33333334
caijia6,caijia,1,73.0,6.0,4.0,20.0,1.0,1,1,0.80000001,,0.33333334
caijia6,caijia,0,43.0,4.0,3.0,20.0,1.0,1,1,0.0,1.0,0.33333334
caijia6,caijia,1,60.0,13.0,19.0,10.0,1.0,1,0,0.19999999,1.0,0.33333334
caijia6,caijia,1,37.0,4.0,18.0,40.0,1.0,1,0,0.60000002,,0.33333334
caijia6,caijia,0,68.0,2.0,1.0,20.0,1.0,1,0,0.0,0.0,0.33333334
caijia6,caijia,0,48.0,5.0,8.0,10.0,1.0,1,0,0.19999999,1.0,0.33333334
caijia6,caijia,0,35.0,10.0,10.0,30.0,1.0,1,1,0.0,1.0,0.33333334
caijia6,caijia,1,55.0,3.0,10.0,30.0,1.0,1,0,0.0,1.0,0.33333334
caijia6,caijia,0,52.0,3.0,3.0,10.0,1.0,1,1,0.0,0.0,0.33333334
caijia6,caijia,0,57.0,4.0,4.0,20.0,1.0,1,1,0.0,1.0,0.33333334
caijia6,caijia,1,57.0,2.0,4.0,50.0,1.0,1,0,1.0,1.0,0.33333334
