factory_id,post_reform,reform_adopted,production_output,labor_hours,raw_materials,automation_use,energy_efficiency,worker_satisfaction
0,0,1,47.36391903067821,1,4,1,0,1
1,0,0,47.05746858537571,2,6,0,1,0
2,0,0,46.00981182112622,1,4,1,0,1
3,0,0,49.41922366628786,2,5,0,1,1
4,0,0,49.425459787149336,3,6,1,1,1
5,0,0,50.35343207931725,3,7,1,1,0
6,0,1,46.21195619685055,3,5,1,0,1
7,0,0,47.143377394587816,2,6,1,1,0
8,0,0,48.70153653387924,4,5,1,0,0
9,0,0,47.38983534885959,4,6,1,0,0
10,0,0,48.70486556423517,4,6,0,1,1
11,0,0,46.087562847267485,0,5,1,1,1
12,0,0,47.26191591407319,1,5,1,1,1
13,0,1,48.81093609751658,2,5,1,1,0
14,0,1,47.38336570051014,5,8,0,0,1
15,0,0,48.42419012868195,4,4,0,0,1
16,0,0,48.55548032364751,3,5,1,0,1
17,0,0,48.72944821418388,6,8,1,0,1
18,0,1,47.78377841413396,2,7,1,0,1
19,0,1,49.53416341307343,8,3,1,1,0
20,0,0,47.24049928436976,5,6,1,1,1
21,0,1,49.506924683506256,4,5,0,0,1
22,0,0,49.40184036522204,6,6,1,0,1
23,0,0,47.67308376217918,5,6,1,0,0
24,0,0,48.23683886401125,2,5,1,1,1
25,0,0,46.12848262484776,4,5,1,1,0
26,0,1,48.25822748737595,3,4,1,1,0
27,0,1,48.35905914075134,5,6,1,1,1
28,0,1,48.37207632269457,4,5,1,0,0
29,0,0,46.07441733223175,2,4,0,0,1
30,0,0,47.61221515220223,5,5,1,1,1
31,0,1,47.37116820796367,3,6,0,1,1
32,0,0,46.23860919240504,4,6,1,0,1
33,0,0,48.7735447628908,5,6,0,0,1
34,0,0,48.544057564803104,6,6,1,1,1
35,0,0,47.86539069583244,4,4,1,1,1
36,0,0,47.04865152016362,4,4,0,1,0
37,0,0,48.67355750396218,4,6,1,1,1
38,0,0,46.67837004422538,5,6,1,0,1
39,0,0,49.35367925840647,1,5,1,1,1
40,0,0,47.44132116254372,6,6,0,0,1
41,0,0,46.61217413374797,4,5,0,1,0
42,0,1,49.65580972069336,6,6,1,1,0
43,0,0,48.47371763211672,5,5,1,1,1
44,0,0,48.055146456487904,1,6,0,0,0
45,0,0,46.84525966022805,2,4,1,1,1
46,0,0,47.27065911073476,2,6,0,0,1
47,0,1,47.77869135849912,5,4,1,0,0
48,0,1,46.48453404760959,2,5,1,0,0
49,0,0,48.28328167057216,3,6,1,1,0
50,0,1,48.64137823113875,3,5,0,0,1
51,0,0,48.99639031939388,4,4,1,1,0
52,0,1,48.63116904653887,4,5,1,0,1
53,0,0,48.0075341877895,4,5,1,0,1
54,0,0,48.93516953175878,6,5,0,1,0
55,0,0,48.02784231630845,1,4,0,1,1
56,0,0,49.31389758672571,7,6,0,1,0
57,0,1,50.93293489579575,4,7,1,1,1
58,0,0,47.77718748711787,4,6,1,0,1
59,0,0,47.86693757515756,4,5,0,1,1
60,0,1,47.64809449460365,2,6,1,1,0
61,0,0,47.91141205634021,4,6,1,1,0
62,0,0,47.5201390018832,3,5,0,0,0
63,0,0,47.54599477802543,1,6,0,0,0
64,0,0,47.36416114563325,4,5,1,1,1
65,0,1,50.99522590164836,3,5,0,1,0
66,0,0,46.17465894045456,4,5,1,1,1
67,0,0,47.12318040443469,2,5,1,1,1
68,0,0,46.9596936725474,1,5,1,1,0
69,0,0,47.41210516398317,5,5,1,0,1
70,0,1,46.97648898855867,4,6,1,1,0
71,0,1,47.812739959254685,4,9,1,0,1
72,0,1,47.08447467766991,3,7,1,0,1
73,0,0,49.20811139636593,5,5,1,0,1
74,0,0,49.40935090587952,3,7,1,1,0
75,0,0,47.47585705297064,4,5,0,0,1
76,0,0,48.47294420806592,4,6,1,0,0
77,0,0,48.23793034366935,3,6,1,0,1
78,0,0,46.48438324993896,3,5,1,1,0
79,0,0,46.20227137333707,4,5,0,0,0
80,0,0,49.00487871194694,7,7,1,1,1
81,0,0,47.819695938732856,5,4,1,0,0
82,0,0,47.6084115454807,4,6,1,1,1
83,0,1,47.75226619918179,3,5,1,0,1
84,0,1,48.27895797000711,2,5,0,1,1
85,0,0,49.01413630261174,2,6,0,1,0
86,0,1,48.99074247970909,3,8,0,1,1
87,0,0,49.69213100115102,2,6,1,1,0
88,0,1,49.59684900194411,3,6,1,0,1
89,0,0,46.825819029253495,3,6,1,1,0
90,0,1,48.58610626874185,1,5,0,1,0
91,0,0,46.16566555777484,2,5,1,0,0
92,0,0,48.49130976487052,3,4,1,1,0
93,0,1,48.233483730765634,4,5,0,1,1
94,0,0,48.56399668703065,4,4,0,0,0
95,0,1,47.57309117024653,5,3,1,1,1
96,0,0,48.40970710490807,5,5,0,1,1
97,0,0,47.40754685647677,4,6,1,1,1
98,0,1,47.75606803284407,8,6,0,1,0
99,0,1,48.67272044392462,4,5,1,0,1
100,0,0,48.51860239822158,3,5,1,1,1
101,0,0,47.83548125098889,4,5,1,1,1
102,0,1,47.89037277970925,4,4,1,1,1
103,0,1,45.85451165634404,1,6,0,1,1
104,0,1,47.36207050637397,3,6,1,0,1
105,0,0,48.70295978875463,4,4,1,1,1
106,0,0,45.94932725479018,4,7,1,0,1
107,0,0,47.75954377264092,6,5,0,0,1
108,0,0,47.61103648273437,6,5,1,1,1
109,0,1,48.85896982879417,5,5,1,1,1
110,0,0,47.27692027535843,1,7,0,1,0
111,0,0,48.75664504775288,6,7,1,0,0
112,0,0,47.285993434021854,4,6,0,0,0
113,0,1,48.124793899611234,3,5,1,0,0
114,0,0,47.84697454019855,5,5,1,1,1
115,0,0,48.43861460199592,5,4,0,0,1
116,0,1,49.16202018711935,6,6,1,0,0
117,0,1,48.5697997817325,5,5,1,0,1
118,0,0,47.43248600386489,3,6,0,1,1
119,0,0,46.07999243555484,4,7,0,1,1
120,0,0,47.52611509815141,5,6,1,0,1
121,0,1,46.03003837308063,2,6,1,1,1
122,0,0,46.44378261322279,3,5,0,1,0
123,0,0,49.48243289871169,4,6,1,1,0
124,0,1,47.758697445138594,2,5,0,1,1
125,0,0,46.9540413694508,0,7,0,0,0
126,0,0,47.687215162025936,1,6,1,1,1
127,0,0,47.01437192474257,4,5,0,1,0
128,0,0,48.31409206425257,4,5,1,0,0
129,0,0,49.34350424757634,4,4,1,1,0
130,0,0,49.198743808702254,3,7,1,1,0
131,0,1,46.02512976909437,2,6,1,1,0
132,0,0,47.71990469076436,1,6,1,1,0
133,0,1,46.06959635573524,4,4,1,0,1
134,0,1,48.1905211988678,6,6,0,1,1
135,0,0,48.32432337891461,7,4,1,1,1
136,0,0,47.77075746293891,2,5,1,1,0
137,0,0,49.86244698206334,4,7,1,1,0
138,0,1,50.10729034953391,6,7,0,1,0
139,0,0,46.86460065413439,1,7,1,0,0
140,0,0,47.62240755333829,3,6,1,1,1
141,0,0,48.78164133265282,2,4,0,1,1
142,0,0,45.53361406102528,0,6,1,1,1
143,0,0,48.394940325772566,5,5,0,1,1
144,0,0,48.85822167439613,4,6,1,0,0
145,0,0,48.550928109711,5,6,1,1,0
146,0,0,49.33657244521493,3,6,0,1,0
147,0,0,46.772249173850646,3,5,0,1,1
148,0,0,46.80543415980866,5,5,0,1,1
149,0,1,48.42150642728478,4,7,1,1,0
150,0,0,47.01844795872953,4,5,0,1,0
151,0,1,48.27065013844143,5,7,1,1,1
152,0,0,48.61189442294416,5,5,1,0,1
153,0,0,47.98446276661491,4,5,1,0,0
154,0,1,47.473743010275946,2,5,1,1,1
155,0,1,48.40324380679635,4,6,0,0,0
156,0,0,49.10016642536748,5,6,0,1,1
157,0,0,45.86130802635151,0,7,0,1,1
158,0,0,48.29581440341386,7,5,0,0,1
159,0,1,47.34202789194514,2,5,1,0,1
160,0,0,46.43534029667092,2,5,0,1,1
161,0,1,48.31353790086059,3,6,0,0,1
162,0,0,48.04440884079002,2,4,1,0,0
163,0,0,47.39197771179784,4,5,1,0,1
164,0,1,47.64552165876383,3,6,1,0,0
165,0,1,47.970366615497625,5,6,1,1,0
166,0,0,48.4437645044296,8,7,1,1,0
167,0,1,47.18129110421134,1,6,1,0,0
168,0,0,47.60772671975111,1,4,1,0,1
169,0,0,47.25663132893233,5,5,1,1,0
170,0,0,49.84054354967802,4,7,1,0,0
171,0,0,47.76886835790616,3,5,1,1,0
172,0,0,46.95411100724966,3,6,0,0,1
173,0,1,48.062140094651774,4,6,0,1,0
174,0,0,47.42594420648092,3,3,1,1,0
175,0,1,48.127391726917615,5,6,0,1,1
176,0,1,49.76023818040183,5,6,1,0,1
177,0,1,47.48976463254356,3,5,0,0,0
178,0,1,47.012065407342696,2,8,0,1,1
179,0,0,47.1989065934766,4,6,0,1,1
180,0,1,49.71861806808881,7,5,1,1,0
181,0,1,48.94263099162144,4,6,1,1,0
182,0,0,47.59181636271913,6,6,0,0,0
183,0,1,49.30181365120298,4,5,1,1,0
184,0,1,49.05865908176243,4,5,1,0,0
185,0,0,49.33855259079605,3,4,1,1,1
186,0,0,48.523149185137385,5,4,0,1,1
187,0,1,47.11128708189222,4,6,0,1,1
188,0,0,46.95893508721276,1,6,1,1,1
189,0,1,47.61172985529088,2,7,1,0,0
190,0,1,48.30984024716703,3,4,0,0,1
191,0,1,47.16257294815568,6,5,0,0,1
192,0,0,48.01560676981165,3,5,0,0,0
193,0,0,50.40053681240504,2,6,0,0,1
194,0,1,48.734397014113696,3,6,1,1,1
195,0,0,47.30556845802856,4,6,1,0,1
196,0,1,47.67330685806845,5,6,1,1,1
197,0,1,47.130822422321536,1,6,0,1,1
198,0,0,49.39643466529659,7,6,1,1,1
199,0,0,48.25173756002189,1,7,0,0,1
200,0,0,47.28134427897397,2,4,0,1,0
201,0,1,49.83382206883514,4,5,0,0,0
202,0,1,48.40742926099442,6,5,0,1,1
203,0,1,48.12060477495336,1,6,0,1,1
204,0,1,46.43127706262133,3,7,0,0,0
205,0,1,46.98656591190439,4,5,0,1,1
206,0,0,46.48394891175777,3,6,1,1,0
207,0,1,49.39594456991453,4,7,1,1,1
208,0,1,48.86988779280859,0,6,0,0,0
209,0,0,49.80189210373128,4,4,1,0,0
210,0,0,46.962568728738106,4,4,0,0,1
211,0,1,46.55744350124091,4,5,1,0,1
212,0,0,46.078946170472086,2,7,1,1,0
213,0,0,47.24715908962214,4,5,1,1,1
214,0,0,47.59567458742721,4,5,0,1,0
215,0,0,49.22703308280506,4,5,1,1,0
216,0,1,47.12981583991115,2,6,1,1,1
217,0,0,47.796920516886416,3,6,0,1,1
218,0,0,47.000603833155466,5,6,0,1,0
219,0,1,48.85355540930399,3,5,1,1,1
220,0,0,47.49010133652576,1,5,0,1,1
221,0,0,48.63473894297641,4,5,1,1,0
222,0,0,48.16134360559146,4,5,1,0,1
223,0,0,46.61971132536264,4,6,1,1,0
224,0,1,48.32715038384615,5,6,1,0,1
225,0,0,47.58104188380623,3,7,1,1,1
226,0,1,47.88260165749184,1,4,0,0,0
227,0,0,47.637455357826056,3,6,1,1,0
228,0,0,50.29943024956529,3,7,1,0,0
229,0,1,48.9125026979369,3,5,1,1,1
230,0,0,48.0972550654101,4,6,0,1,0
231,0,0,47.058189641770994,4,4,0,1,1
232,0,0,49.36277946816768,6,6,0,1,0
233,0,0,45.83497122542686,2,4,1,1,0
234,0,1,49.28204388280572,1,7,1,1,1
235,0,0,48.63715727032925,4,6,0,0,1
236,0,1,47.35110551294803,6,5,1,1,1
237,0,0,45.76501511388281,0,5,0,1,0
238,0,1,48.3544236579811,3,7,1,1,1
239,0,1,48.18000768126982,2,5,1,0,1
240,0,1,47.13472893341313,2,5,1,1,0
241,0,1,47.36377106840322,3,6,0,0,0
242,0,0,48.00767261155026,2,6,1,1,1
243,0,0,49.35698900030352,4,5,0,1,1
244,0,1,47.81057322879023,3,3,1,1,1
245,0,0,47.04118447278641,4,7,1,1,1
246,0,1,47.64971956045421,5,7,0,1,1
247,0,0,48.810073917996135,3,5,1,1,1
248,0,0,47.67508694104532,2,7,1,1,0
249,0,0,48.38258472203764,2,4,0,1,1
250,0,0,47.19340941891427,2,5,1,0,0
251,0,1,47.67891437130345,3,7,1,0,0
252,0,1,45.96590785447247,5,6,1,0,1
253,0,0,46.37251018391504,2,3,0,0,1
254,0,0,47.418092986074754,2,5,0,1,0
255,0,0,48.33282126865667,5,5,1,0,0
256,0,0,47.854281868303296,4,6,0,1,1
257,0,1,48.07287202400953,6,6,0,1,1
258,0,0,46.64092325656488,6,4,0,0,1
259,0,0,48.136313724772,2,6,1,0,0
260,0,0,48.33914197666705,4,6,1,1,0
261,0,0,46.89193159526542,3,6,1,1,1
262,0,0,51.18505423452213,5,4,1,1,0
263,0,1,49.5165125686592,4,4,0,1,1
264,0,0,49.75350622912272,5,6,1,1,0
265,0,0,47.40195144706615,2,6,0,0,0
266,0,0,47.31202357598772,0,5,1,1,0
267,0,0,50.175820137886966,3,6,1,1,0
268,0,1,45.65601993707976,3,5,1,0,1
269,0,0,46.683309181078656,3,6,1,0,0
270,0,1,47.71027653278035,3,5,1,0,0
271,0,1,49.91219577041052,4,4,1,1,1
272,0,0,48.83649032837375,7,6,0,0,1
273,0,0,48.329741054673775,3,6,0,1,1
274,0,0,48.31315139676469,5,5,1,1,1
275,0,0,48.18848243528455,3,6,0,1,0
276,0,0,48.95570878199147,4,4,0,1,0
277,0,1,47.00043225166151,3,6,1,1,1
278,0,0,45.77251711971863,2,7,1,1,0
279,0,0,46.80599568031607,2,5,0,1,0
280,0,0,48.50039903939667,3,6,0,1,0
281,0,1,48.04191581996008,1,6,0,0,0
282,0,0,47.640705784629446,5,6,1,0,0
283,0,0,47.43834098515404,3,7,1,1,1
284,0,0,45.989060416737246,3,6,1,0,1
285,0,0,47.10128392263236,8,7,1,0,0
286,0,1,48.01162750879539,0,4,1,0,1
287,0,0,49.57189595924754,3,7,0,1,1
288,0,0,48.87753634672508,2,5,1,0,1
289,0,1,47.689765580455926,1,5,1,1,1
