household_id,after_program,received_solar_panel,monthly_electricity_bill,monthly_income,household_size,has_air_conditioning,has_heating_system,has_electric_vehicles
0,0,0,46.111949997392536,2,6,0,1,0
1,0,0,45.00153543385219,6,4,1,1,1
2,0,0,43.679615398522,1,6,0,0,0
3,0,1,43.567632285825326,4,6,0,0,1
4,0,1,43.90611439306885,5,6,0,1,0
5,0,0,44.54976977973998,5,5,1,1,0
6,0,0,47.40845619291087,3,5,0,1,1
7,0,0,44.10710506665296,4,5,0,0,1
8,0,0,45.5776212190543,9,5,0,1,1
9,0,0,45.01582272625839,1,5,1,1,0
10,0,1,44.46711202211971,9,6,1,0,1
11,0,1,44.46896275293866,1,6,0,1,1
12,0,0,44.29107416333892,7,6,0,0,1
13,0,0,45.08571147770563,7,5,0,0,0
14,0,1,43.01259750550427,3,6,1,0,0
15,0,1,44.68285261634082,4,5,1,0,0
16,0,1,43.10822578125876,2,6,0,1,1
17,0,1,44.48863269850338,3,5,1,1,1
18,0,1,46.56280668826312,1,4,1,0,1
19,0,1,44.243176139245726,5,6,1,0,1
20,0,0,45.55645783709726,3,6,0,1,1
21,0,1,46.89505327637605,4,6,1,1,0
22,0,1,45.19765090941301,5,4,0,0,0
23,0,1,45.56171772163227,3,6,0,0,1
24,0,1,44.332566707556055,2,7,1,0,0
25,0,1,44.16191165959026,4,6,1,1,1
26,0,0,46.24292695835353,5,4,1,1,1
27,0,1,44.12435378100743,5,7,0,1,1
28,0,0,44.88646447686698,2,6,0,1,0
29,0,0,45.09239205750389,2,6,1,0,1
30,0,0,43.04283374748727,4,5,0,0,0
31,0,1,47.30118425253385,3,5,0,0,0
32,0,0,44.30392035442055,7,5,0,0,0
33,0,1,46.61992146177076,4,5,1,0,1
34,0,0,46.41926213261692,2,7,0,1,1
35,0,1,43.79177411631113,5,7,1,0,0
36,0,0,43.77687504067959,3,5,0,1,1
37,0,1,44.4682007851094,5,5,0,1,1
38,0,0,43.12796814664723,6,7,1,1,1
39,0,0,44.75885568773329,4,6,1,0,0
40,0,1,45.62324581671192,4,4,1,1,1
41,0,1,45.2296793994293,2,4,1,0,1
42,0,1,43.972898973646224,2,8,0,1,0
43,0,1,44.019061108045626,4,5,1,0,0
44,0,0,46.14408544899699,5,5,0,0,1
45,0,1,46.8966675784726,1,3,1,1,1
46,0,0,47.15822568407981,0,6,1,0,0
47,0,1,44.54494587480841,2,5,0,0,0
48,0,0,45.46463150909717,0,6,1,0,0
49,0,1,45.358200743875805,5,4,1,0,0
50,0,0,46.354389226758286,0,4,1,1,1
51,0,0,44.85207707580783,4,5,0,0,1
52,0,0,47.04643506502905,2,6,1,1,0
53,0,0,46.22239214131124,3,5,1,1,0
54,0,0,44.80523049226203,1,4,0,0,1
55,0,1,43.60955284506143,5,7,0,1,1
56,0,0,45.39834868683052,1,6,1,0,1
57,0,0,44.33537276318487,2,7,0,0,1
58,0,0,44.17847425399325,7,4,1,0,1
59,0,0,43.41878082608968,3,5,0,0,1
60,0,0,45.49973615511808,4,5,1,0,1
61,0,0,45.702568135203485,2,5,1,0,0
62,0,1,45.815374080733896,2,5,1,0,0
63,0,1,45.09807732545495,3,5,0,0,1
64,0,1,44.74601875988023,3,7,1,1,1
65,0,0,44.90241477599263,4,5,1,0,0
66,0,0,43.55587637914582,3,5,0,1,0
67,0,1,43.97173935113759,1,6,1,0,0
68,0,0,45.61474880543424,6,5,1,1,0
69,0,1,43.44473703126286,4,7,0,0,1
70,0,0,44.79941477515854,3,7,1,0,0
71,0,1,43.05833547994701,3,7,1,1,1
72,0,0,45.14878717534803,3,5,1,1,1
73,0,1,44.25802338363571,4,7,1,1,0
74,0,0,42.68776909833871,3,5,0,0,0
75,0,1,44.390831030487526,7,5,1,0,1
76,0,1,45.943412481061934,3,5,0,1,1
77,0,0,45.20763063939469,1,6,0,1,1
78,0,1,44.31148345694021,4,5,0,0,0
79,0,1,44.22395527004925,2,5,0,0,0
80,0,0,46.29567591158192,4,5,0,0,1
81,0,0,45.08300445540492,2,4,1,0,1
82,0,1,46.34588037858661,2,7,0,0,1
83,0,0,44.85928702745979,6,5,1,1,1
84,0,0,44.97638095095864,7,4,1,1,1
85,0,1,46.23469136731632,4,5,0,1,1
86,0,0,44.95822039328437,4,5,1,1,0
87,0,0,44.277338672950464,0,6,0,0,0
88,0,0,46.295440387627,5,5,0,0,1
89,0,1,44.55413188922903,5,4,1,1,1
90,0,0,44.46160378721268,1,6,1,1,1
91,0,0,45.83871555095856,4,6,0,1,1
92,0,0,45.7908527234457,5,6,0,0,0
93,0,1,43.677541718037176,3,6,1,1,0
94,0,1,45.859344961335815,5,5,0,0,1
95,0,1,44.21562715139702,3,4,0,0,1
96,0,1,43.75740392793915,5,5,1,0,1
97,0,0,43.26530512802001,7,6,0,0,0
98,0,0,44.08448642971945,2,5,1,0,0
99,0,1,45.14625784546993,6,7,0,1,0
100,0,1,44.14243284313861,5,6,0,1,0
101,0,1,45.910440037467744,4,7,1,0,1
102,0,0,44.76050301221664,2,5,1,0,0
103,0,0,45.23567701381548,6,5,0,0,0
104,0,0,44.63275346254599,3,7,1,0,1
105,0,0,44.88057389495827,3,5,1,1,0
106,0,0,45.260538200617546,4,6,1,0,1
107,0,1,44.02041726253973,4,5,0,1,0
108,0,1,46.75592377906073,1,5,0,1,0
109,0,1,44.89394510906549,1,4,0,0,1
110,0,1,44.45389118060218,4,4,1,1,1
111,0,1,45.289049328349854,4,6,1,0,0
112,0,1,44.12070238765313,4,7,0,1,0
113,0,1,43.53408137508317,5,6,1,1,1
114,0,0,43.95482881285231,5,8,0,1,1
115,0,1,46.56262790957396,4,5,1,1,0
116,0,1,45.68258068889546,2,4,1,1,1
117,0,0,43.13359549825974,3,6,1,0,0
118,0,0,44.797962375759695,4,4,0,0,0
119,0,1,46.41625564172862,2,5,0,1,0
120,0,1,44.48574417803103,6,4,0,0,1
121,0,0,46.43651626529199,1,5,1,0,0
122,0,1,43.62974913454537,7,6,0,0,0
123,0,1,43.594897655373146,1,6,1,1,0
124,0,1,45.09863731272073,5,7,1,1,1
125,0,0,46.8780001323924,5,4,0,0,1
126,0,0,45.63850286417819,4,6,0,1,1
127,0,0,46.288964527829016,1,4,1,1,1
128,0,1,44.48957209635926,2,6,1,0,1
129,0,0,45.72978336058215,2,4,1,1,0
130,0,0,44.379573284530814,7,5,0,0,0
131,0,1,45.00964568344974,3,4,0,0,1
132,0,1,44.83262032318289,5,5,0,0,1
133,0,0,44.24036518739968,1,4,0,0,1
134,0,1,44.46342399102835,3,5,1,0,1
135,0,0,45.93234910020212,1,5,0,0,0
136,0,0,45.353147519636494,4,7,1,0,0
137,0,0,44.90219015396899,1,5,0,1,0
138,0,1,46.29166899814683,2,7,0,1,0
139,0,1,45.16530997154821,5,6,1,0,0
140,0,1,45.77919953945302,4,7,1,0,1
141,0,0,43.98016829513885,2,6,0,1,0
142,0,0,45.082317930792165,3,7,1,1,1
143,0,1,44.60449110688386,6,4,0,1,1
144,0,0,44.702840803776205,3,6,0,1,0
145,0,1,45.06247156369415,1,6,1,1,1
146,0,0,46.41751033406535,3,5,0,1,1
147,0,0,45.62984507830726,3,4,0,1,1
148,0,1,45.86094206713084,4,6,1,1,0
149,0,1,43.21442410215532,2,5,0,1,0
150,0,1,45.13584740655854,3,5,0,1,1
151,0,1,44.84759198632609,3,7,0,1,0
152,0,0,45.445328560099554,3,8,0,1,1
153,0,1,43.69525936219728,4,4,0,1,1
154,0,0,44.82120520206566,5,5,0,0,0
155,0,0,46.63627950676511,0,6,0,0,1
156,0,0,44.8874356032013,6,4,1,0,1
157,0,1,46.65619998023225,3,6,1,0,1
158,0,1,47.38143801254864,4,4,0,1,0
159,0,0,45.09865878149423,2,7,1,0,0
160,0,0,45.93904761641766,6,4,0,1,1
161,0,1,45.69346871540042,2,6,0,0,0
162,0,0,47.00349518872661,4,4,1,1,1
163,0,1,45.205012160060406,4,5,0,1,0
164,0,0,43.70106053440651,4,6,1,0,1
165,0,1,46.6577557513213,2,8,1,1,1
166,0,1,43.52897629991529,1,3,0,0,0
167,0,0,43.05966527504774,7,6,1,1,1
168,0,0,45.233562638486994,1,5,0,1,0
169,0,1,45.83862237021036,3,6,0,1,0
170,0,1,44.85235563416367,5,5,0,0,0
171,0,0,45.21404725207681,2,4,1,1,1
172,0,0,44.81320806077762,4,5,0,0,1
173,0,0,44.51908080808099,5,5,1,1,0
174,0,1,46.06154578254877,6,7,1,1,1
175,0,0,46.114093062834,4,6,1,1,1
176,0,1,46.34572284608914,4,7,1,1,1
177,0,1,43.67127706460762,3,6,1,0,1
178,0,0,46.18988598386412,2,7,1,1,1
179,0,1,42.682199313557085,5,6,1,0,0
180,0,1,45.03379882346872,3,4,0,1,1
181,0,0,44.636410248801006,5,6,1,0,0
182,0,1,42.846915349900094,3,6,1,0,0
183,0,1,45.336362016173545,0,2,0,0,0
184,0,0,44.7683731080963,3,5,1,0,1
185,0,1,46.74454710597856,2,7,0,1,0
186,0,0,45.50416461033846,3,7,1,0,1
187,0,0,45.05530132344304,4,4,0,1,0
188,0,0,44.91814316942257,4,6,1,0,0
189,0,1,44.50630094625373,6,6,0,0,1
190,0,1,44.10034426612079,5,7,0,1,0
191,0,0,44.55461086394207,4,5,1,0,1
192,0,1,45.79679952337393,3,5,0,1,0
193,0,1,43.373434921368776,8,4,1,0,1
194,0,0,42.87328381485458,4,5,0,0,1
195,0,1,45.35992718319462,3,5,0,1,1
196,0,0,46.80966846192593,3,6,0,0,1
197,0,0,46.74731554876188,3,5,1,1,1
198,0,0,45.56261169092474,4,5,1,1,1
199,0,0,44.31576725945936,2,4,1,1,0
200,0,0,45.00091852670232,5,5,0,0,0
201,0,1,43.674989913723294,6,6,1,1,0
202,0,0,45.16536399758537,1,5,0,0,0
203,0,1,44.18485233089775,1,7,0,0,1
204,0,1,45.36768281434381,4,4,0,0,0
205,0,0,44.55738398045751,2,5,1,0,1
206,0,0,45.999892364473446,2,6,0,0,1
207,0,0,46.827176138670985,4,4,1,1,0
208,0,1,45.32463555690478,2,6,1,0,0
209,0,0,46.20784649685405,4,6,0,1,0
210,0,1,43.03723326181697,6,7,1,0,0
211,0,1,44.634569971548885,4,6,0,1,1
212,0,0,44.735565049537605,4,6,0,0,1
213,0,0,46.2873780755431,2,6,1,0,1
214,0,0,46.63461777464289,3,5,1,0,0
215,0,1,44.375840147701645,4,7,0,1,0
216,0,0,44.77799353022644,2,7,1,1,1
217,0,0,46.58153911887332,3,6,1,0,0
218,0,0,46.84708516181007,2,5,0,0,0
219,0,1,44.76170507532744,0,5,1,1,1
220,0,0,43.217572808746525,3,5,1,0,0
221,0,1,46.60037431125506,7,4,0,1,0
222,0,0,45.77215590869372,1,5,1,0,1
