school_id,post_period,received_tutoring,average_test_score,average_class_size,percentage_free_lunch,urban_location,school_size,percentage_english_learners
0,0,1,53.62124279426231,1,5,0,1,1
1,0,0,52.48374561613839,2,6,0,0,1
2,0,1,52.99325862365289,4,4,0,0,1
3,0,1,52.42084500318308,0,6,0,0,1
4,0,0,52.5869880826214,1,4,1,1,1
5,0,0,54.113756053652246,2,6,0,1,1
6,0,0,52.72593232298796,4,5,0,1,0
7,0,1,54.06909213360451,5,5,1,1,1
8,0,0,53.44539731567831,4,6,0,0,0
9,0,1,52.40038958043884,3,7,1,0,1
10,0,1,54.92604136014321,2,5,0,1,1
11,0,1,54.71162184315048,5,5,0,0,0
12,0,0,52.65335572367787,3,5,1,0,0
13,0,0,53.70998376646978,2,5,0,0,1
14,0,1,52.497877151532606,4,5,1,1,0
15,0,1,54.55488121769948,6,6,1,1,0
16,0,0,53.66480065893735,3,5,1,1,1
17,0,0,53.50775728396089,1,7,0,0,0
18,0,1,54.7733282688587,5,5,0,0,0
19,0,0,53.91129163414193,0,6,0,0,1
20,0,0,53.09462024562788,5,7,1,1,0
21,0,0,52.613337935192014,3,6,0,1,1
22,0,1,54.23445088061743,7,5,0,0,1
23,0,1,51.98757959828112,2,4,1,0,0
24,0,0,53.5078559066432,5,5,0,1,0
25,0,0,55.81935228717533,1,7,0,1,1
26,0,0,52.098413954342014,2,7,1,1,1
27,0,0,53.57109083269549,6,5,0,0,0
28,0,1,55.15999055558599,4,5,1,1,1
29,0,0,52.74747613472513,5,5,0,0,1
30,0,1,54.29872533971669,2,6,1,0,1
31,0,1,53.92716136148973,2,4,0,1,0
32,0,1,54.09961293403192,4,6,0,0,1
33,0,0,54.89199732055269,3,4,0,1,1
34,0,0,53.650442027396345,3,7,0,0,1
35,0,0,52.06756451483779,2,6,0,1,1
36,0,0,54.52701333399795,4,5,1,0,1
37,0,1,53.72094822065346,4,4,1,0,0
38,0,0,52.82360063776565,4,4,1,0,0
39,0,1,54.14033023803638,5,6,1,1,0
40,0,0,54.01162854795331,1,5,0,0,0
41,0,1,55.23601317792638,7,7,0,1,0
42,0,0,54.88728675073951,2,4,1,0,0
43,0,1,52.842177253372434,1,5,0,0,1
44,0,0,53.67456774884816,6,5,0,1,1
45,0,1,53.41544018995501,2,4,1,1,0
46,0,1,54.18522462290801,8,5,0,0,0
47,0,0,52.4500497424733,3,3,0,0,1
48,0,0,55.44431035430282,7,7,0,0,1
49,0,1,53.548551693606,2,5,0,0,1
50,0,0,51.33829657198197,3,6,1,1,0
51,0,0,54.60035039911769,5,5,0,0,1
52,0,1,54.19149919867067,6,5,0,1,1
53,0,1,55.56419068318928,5,5,1,1,1
54,0,0,53.38348838687798,2,6,0,0,0
55,0,1,53.26288243222741,3,5,1,1,1
56,0,1,54.179469277723655,5,4,0,0,1
57,0,0,53.21285025472246,4,5,1,0,0
58,0,0,54.0450336009708,2,5,1,1,1
59,0,1,53.89430785423909,5,5,1,0,1
60,0,0,54.31583045031977,7,6,1,0,0
61,0,0,53.01603868413557,0,6,1,1,1
62,0,1,54.20964130655469,3,6,1,1,0
63,0,1,53.58080933735829,4,7,0,1,0
64,0,1,52.70093080125295,2,7,0,0,1
65,0,0,54.086300700784406,2,6,1,0,1
66,0,0,53.74934567739216,4,7,0,1,1
67,0,1,51.65602666107817,5,6,0,1,1
68,0,0,53.048607005921504,7,5,1,0,1
69,0,1,54.932305055026845,3,7,0,1,1
70,0,0,53.88102572977636,4,6,1,1,0
71,0,1,54.48240043847107,3,7,1,1,1
72,0,0,54.21954896648788,0,5,0,1,0
73,0,0,53.2884718729634,4,7,1,1,0
74,0,0,54.51442510801939,2,7,1,1,0
75,0,1,54.379606404698094,5,5,0,0,1
76,0,0,53.326888029070126,3,6,0,1,0
77,0,1,53.58585955897996,2,5,1,0,0
78,0,1,53.83670692646805,3,6,1,1,1
79,0,0,51.810553574581775,4,6,0,0,0
80,0,1,53.2060078505808,1,6,1,0,1
81,0,0,52.574184493804886,3,6,0,1,1
82,0,0,52.5005349480376,3,5,1,0,0
83,0,0,53.27602595540597,6,4,1,0,1
84,0,0,53.50053725026202,5,5,1,1,0
85,0,0,54.675998186843344,2,5,0,1,0
86,0,1,53.187578052428265,2,6,0,1,0
87,0,0,52.37256172642711,5,5,1,1,1
88,0,0,52.1586201527431,-1,4,0,0,0
89,0,0,54.20935200077506,2,6,1,0,1
90,0,1,54.01525928009661,6,7,0,0,1
91,0,1,53.625981612396885,3,4,0,0,0
92,0,1,54.67964667347217,7,5,1,0,1
93,0,0,52.08826667436636,3,4,1,1,1
94,0,1,53.67640387246312,2,5,1,0,1
95,0,0,52.58135477095529,4,5,1,0,0
96,0,0,53.48895977394669,5,5,1,0,1
97,0,0,52.59184784062141,4,7,0,1,1
98,0,1,54.67082667998717,4,6,1,1,0
99,0,1,54.03896830266896,3,5,0,1,0
100,0,1,54.94718865981046,4,7,1,0,0
101,0,1,55.56522637825071,4,6,0,1,1
102,0,0,53.315525534511664,5,5,0,0,1
103,0,1,53.419052191136124,5,6,1,0,1
104,0,0,53.72345579430099,4,6,0,1,1
105,0,1,54.22256265909023,2,5,0,1,0
106,0,0,55.19724657756691,4,4,1,0,1
107,0,1,54.64763309526415,2,5,1,1,0
108,0,1,55.976645428924336,3,7,0,1,0
109,0,1,52.73378219489226,5,6,1,0,0
110,0,0,54.61391900081839,5,7,1,1,1
111,0,1,54.05678425717215,0,7,1,1,0
112,0,0,54.72179749916745,2,5,1,1,0
113,0,1,53.881063282681495,4,4,0,1,1
114,0,1,54.56050264451735,3,7,1,1,0
115,0,1,54.83728882879325,1,5,1,1,1
116,0,1,55.8178260507745,2,7,1,1,1
117,0,1,53.87944139168877,1,6,1,0,0
118,0,1,53.41394277236734,4,5,1,1,1
119,0,0,51.56945173176314,4,6,1,0,1
120,0,0,52.7379902460825,2,6,0,0,1
121,0,0,52.38027626557783,5,6,0,1,1
122,0,0,54.89110195420496,0,5,1,1,1
123,0,0,54.34788238486488,3,4,1,1,1
124,0,0,52.363188987628206,3,4,1,0,1
125,0,0,53.32607672460129,3,5,0,1,0
126,0,0,52.343290142885245,1,5,1,1,0
127,0,1,53.77917967130953,2,7,0,0,1
128,0,0,54.157237367468014,1,6,1,1,1
129,0,1,53.32765742376765,4,6,0,1,1
130,0,1,53.69371904150923,1,6,0,1,0
131,0,0,52.58966114981568,3,4,1,0,1
132,0,0,53.212368439818725,3,5,0,1,0
133,0,1,53.24034455975583,5,6,0,0,0
134,0,0,54.23987668922432,3,7,1,1,1
135,0,1,53.82241747897041,4,5,0,0,1
136,0,0,53.77051988560384,6,4,0,0,0
137,0,1,52.87335662700658,2,5,0,0,0
138,0,0,53.21798118205647,4,4,1,0,1
139,0,0,53.43276657728872,2,6,1,0,1
140,0,0,53.23558564252053,7,5,1,1,1
141,0,0,54.455202655130414,3,7,1,0,1
142,0,1,52.20236207490729,3,5,1,1,0
143,0,0,51.54466064477485,8,7,0,1,1
144,0,1,54.0031604173031,2,5,1,1,0
145,0,0,54.15818780124828,2,5,0,0,1
146,0,0,53.21540629888518,3,6,1,1,1
147,0,1,53.88932032619606,0,6,1,0,1
