school_id,academic_year,teaching_method,math_score,class_size,teacher_experience,urban_school,private_school,federal_funding
1,0,0,52.40672736894733,3,9,1,1,0
1,1,1,57.48819892732669,3,9,1,1,0
1,2,1,54.90841635816552,3,9,1,1,0
1,3,1,54.66283654990757,3,9,1,1,0
1,4,1,56.76388709169971,3,9,1,1,0
1,5,1,57.21002336325725,3,9,1,1,0
1,6,1,54.95348281374312,3,9,1,1,0
1,7,1,56.8162193272804,3,9,1,1,0
1,8,1,56.45898927840702,3,9,1,1,0
1,9,1,54.85301432003603,3,9,1,1,0
2,0,0,57.22445195328752,2,9,0,1,0
2,1,0,57.72109974910231,2,9,0,1,0
2,2,0,53.722876409939005,2,9,0,1,0
2,3,0,53.39314377904592,2,9,0,1,0
2,4,0,53.62558238442663,2,9,0,1,0
2,5,0,55.27930731093347,2,9,0,1,0
2,6,0,52.67904738296191,2,9,0,1,0
2,7,0,55.16128372561645,2,9,0,1,0
2,8,1,60.7871897411307,2,9,0,1,0
2,9,1,57.30307721392254,2,9,0,1,0
3,0,0,51.6077823976022,1,11,1,0,1
3,1,0,50.85288466068173,1,11,1,0,1
3,2,0,50.00984735909759,1,11,1,0,1
3,3,0,50.979243931251496,1,11,1,0,1
3,4,1,55.71410784166893,1,11,1,0,1
3,5,1,57.03584383804602,1,11,1,0,1
3,6,1,56.18181204090239,1,11,1,0,1
3,7,1,55.81761537625355,1,11,1,0,1
3,8,1,55.05385995781452,1,11,1,0,1
3,9,1,58.21998497224413,1,11,1,0,1
4,0,0,51.4839031803988,1,9,0,1,1
4,1,0,51.31302958077632,1,9,0,1,1
4,2,1,55.26222730236116,1,9,0,1,1
4,3,1,53.53135438272568,1,9,0,1,1
4,4,1,54.86741966937252,1,9,0,1,1
4,5,1,58.04861653982455,1,9,0,1,1
4,6,1,55.04606523269225,1,9,0,1,1
4,7,1,56.69216318955737,1,9,0,1,1
4,8,1,56.87545869801436,1,9,0,1,1
4,9,1,54.58052807945427,1,9,0,1,1
5,0,0,53.4480422876678,0,9,0,1,1
5,1,0,53.16196772924246,0,9,0,1,1
5,2,0,50.468516175811445,0,9,0,1,1
5,3,0,51.60783819687115,0,9,0,1,1
5,4,0,51.55366026726005,0,9,0,1,1
5,5,0,52.74878592722531,0,9,0,1,1
5,6,0,52.13032293810311,0,9,0,1,1
5,7,0,52.3133955189961,0,9,0,1,1
5,8,0,51.39889753690671,0,9,0,1,1
5,9,0,51.9620876978417,0,9,0,1,1
6,0,0,54.8751134006512,8,7,1,1,1
6,1,0,55.31232933246677,8,7,1,1,1
6,2,0,52.5353130701993,8,7,1,1,1
6,3,0,53.75468998311599,8,7,1,1,1
6,4,1,57.04806261964699,8,7,1,1,1
6,5,1,58.278620620472026,8,7,1,1,1
6,6,1,57.40021150946234,8,7,1,1,1
6,7,1,58.28440864383366,8,7,1,1,1
6,8,1,58.42600509640649,8,7,1,1,1
6,9,1,59.36427319813581,8,7,1,1,1
7,0,0,54.29195431063415,7,11,0,1,1
7,1,1,60.474893140085065,7,11,0,1,1
7,2,1,58.976120301435415,7,11,0,1,1
7,3,1,56.84508808173727,7,11,0,1,1
7,4,1,58.5540123627783,7,11,0,1,1
7,5,1,59.430524594503005,7,11,0,1,1
7,6,1,57.04790184621727,7,11,0,1,1
7,7,1,61.80265761294673,7,11,0,1,1
7,8,1,58.44267775351195,7,11,0,1,1
7,9,1,59.08416969719093,7,11,0,1,1
8,0,0,53.67739011452892,5,10,1,1,0
8,1,0,54.31695869630957,5,10,1,1,0
8,2,0,51.819277822707946,5,10,1,1,0
8,3,0,50.65529907146407,5,10,1,1,0
8,4,0,52.05241687271362,5,10,1,1,0
8,5,0,53.73488313437245,5,10,1,1,0
8,6,1,56.92223861640112,5,10,1,1,0
8,7,1,58.57491828047898,5,10,1,1,0
8,8,1,58.26356837159432,5,10,1,1,0
8,9,1,58.05099149252345,5,10,1,1,0
9,0,0,53.44460432439456,3,10,0,0,0
9,1,0,53.55104404127652,3,10,0,0,0
9,2,0,50.66503330606694,3,10,0,0,0
9,3,0,50.91989641615624,3,10,0,0,0
9,4,0,52.21730011486327,3,10,0,0,0
9,5,0,55.39140308209544,3,10,0,0,0
9,6,0,51.16284780490084,3,10,0,0,0
9,7,0,54.754722710377656,3,10,0,0,0
9,8,0,53.844757220657485,3,10,0,0,0
9,9,0,51.53254521668352,3,10,0,0,0
10,0,0,52.65787654407503,4,6,0,0,0
10,1,0,53.16038340374015,4,6,0,0,0
10,2,0,53.129499467458615,4,6,0,0,0
10,3,0,50.7831397941134,4,6,0,0,0
10,4,0,52.30355495807895,4,6,0,0,0
10,5,0,56.019220729199255,4,6,0,0,0
10,6,0,49.76060746757287,4,6,0,0,0
10,7,0,52.643031019422494,4,6,0,0,0
10,8,0,54.11470381212985,4,6,0,0,0
10,9,0,51.04662697819012,4,6,0,0,0
11,0,0,53.40605108697097,5,10,0,0,1
11,1,0,54.623484269822846,5,10,0,0,1
11,2,1,60.02322537934638,5,10,0,0,1
11,3,1,57.00670631711956,5,10,0,0,1
11,4,1,58.23581647160052,5,10,0,0,1
11,5,1,57.6516033513109,5,10,0,0,1
11,6,1,56.88257667422536,5,10,0,0,1
11,7,1,59.918446369030576,5,10,0,0,1
11,8,1,59.49776526162222,5,10,0,0,1
11,9,1,58.30477246879168,5,10,0,0,1
12,0,0,52.42810189343202,4,12,0,1,0
12,1,0,54.11760745632255,4,12,0,1,0
12,2,0,53.00402156334601,4,12,0,1,0
12,3,0,51.70557591561582,4,12,0,1,0
12,4,0,50.91496783259367,4,12,0,1,0
12,5,0,52.923081605439485,4,12,0,1,0
12,6,0,52.09063846699219,4,12,0,1,0
12,7,0,52.68705514746028,4,12,0,1,0
12,8,0,53.83584805538744,4,12,0,1,0
12,9,0,52.225789013265256,4,12,0,1,0
13,0,0,54.534403559129416,4,10,1,0,1
13,1,0,53.00447283781512,4,10,1,0,1
13,2,0,53.59886367218813,4,10,1,0,1
13,3,0,50.98683212497848,4,10,1,0,1
13,4,0,53.454635913422514,4,10,1,0,1
13,5,1,56.0628862100515,4,10,1,0,1
13,6,1,56.136090578325,4,10,1,0,1
13,7,1,58.94524846150117,4,10,1,0,1
13,8,1,56.34601137808769,4,10,1,0,1
13,9,1,56.499177432963606,4,10,1,0,1
14,0,0,52.95624180116056,4,8,0,0,0
14,1,0,53.47829611198787,4,8,0,0,0
14,2,1,57.09150621831994,4,8,0,0,0
14,3,1,53.34474080222332,4,8,0,0,0
14,4,1,57.01451073149119,4,8,0,0,0
14,5,1,59.574409059002704,4,8,0,0,0
14,6,1,54.87165500448655,4,8,0,0,0
14,7,1,56.45485216691137,4,8,0,0,0
14,8,1,56.98783117976997,4,8,0,0,0
14,9,1,54.92430185509173,4,8,0,0,0
15,0,0,52.45012468150482,3,12,1,1,1
15,1,0,52.914471323149286,3,12,1,1,1
15,2,0,52.55511824766746,3,12,1,1,1
15,3,0,51.98284420188602,3,12,1,1,1
15,4,0,51.72578016800063,3,12,1,1,1
15,5,0,52.76902193528558,3,12,1,1,1
15,6,0,51.430315272848425,3,12,1,1,1
15,7,0,52.144630494852414,3,12,1,1,1
15,8,0,53.10241462600738,3,12,1,1,1
15,9,0,52.63282259802328,3,12,1,1,1
16,0,0,55.76825055010418,6,11,0,0,1
16,1,0,55.99480771180615,6,11,0,0,1
16,2,0,53.741905385350144,6,11,0,0,1
16,3,0,52.8427644406969,6,11,0,0,1
16,4,0,52.50054019473695,6,11,0,0,1
16,5,0,54.86716536006678,6,11,0,0,1
16,6,0,53.218645579043375,6,11,0,0,1
16,7,0,54.72051090062817,6,11,0,0,1
16,8,0,55.95656421895844,6,11,0,0,1
16,9,0,54.87266842842941,6,11,0,0,1
17,0,0,55.20668446178115,2,6,1,0,1
17,1,0,54.58056781494636,2,6,1,0,1
17,2,0,53.31165934138134,2,6,1,0,1
17,3,0,53.511851522543154,2,6,1,0,1
17,4,0,52.53608593635999,2,6,1,0,1
17,5,0,54.16271270478382,2,6,1,0,1
17,6,0,51.73343851034085,2,6,1,0,1
17,7,0,55.21322882007254,2,6,1,0,1
17,8,0,53.67598472844469,2,6,1,0,1
17,9,1,57.25371085264139,2,6,1,0,1
18,0,0,54.08451383572778,2,9,0,0,1
18,1,0,56.75303177846899,2,9,0,0,1
18,2,0,54.72834277212219,2,9,0,0,1
18,3,0,52.80718630342341,2,9,0,0,1
18,4,0,53.86982300267889,2,9,0,0,1
