club_id,measurement_year,air_purifier_installed,average_workout_duration,membership_size,average_age_of_members,weekday_opening_hours,weekend_opening_hours
1,0,0,49.38019171389596,5,7,0,1
1,1,0,49.98724616465179,5,7,0,1
1,2,0,48.607999998040846,5,7,0,1
1,3,0,48.13843685580936,5,7,0,1
1,4,0,49.96905466364711,5,7,0,1
1,5,1,57.39346857252869,5,7,0,1
1,6,1,59.966906575504176,5,7,0,1
1,7,1,57.86376583889263,5,7,0,1
1,8,1,59.27556012330053,5,7,0,1
1,9,1,60.01943580631285,5,7,0,1
2,0,0,51.68909912832938,5,8,1,1
2,1,1,59.8221641244739,5,8,1,1
2,2,1,58.5632570318337,5,8,1,1
2,3,1,60.35415075346872,5,8,1,1
2,4,1,59.02309411653096,5,8,1,1
2,5,1,56.90342471602593,5,8,1,1
2,6,1,61.18516667418542,5,8,1,1
2,7,1,59.337486242067655,5,8,1,1
2,8,1,57.05296394440907,5,8,1,1
2,9,1,60.34298746519429,5,8,1,1
3,0,0,49.72503815574041,2,13,0,1
3,1,0,50.67707324425456,2,13,0,1
3,2,0,50.09804950131792,2,13,0,1
3,3,0,51.2751086443805,2,13,0,1
3,4,0,50.34201286585494,2,13,0,1
3,5,0,49.03478490949217,2,13,0,1
3,6,0,51.81673294962447,2,13,0,1
3,7,0,52.392706064182605,2,13,0,1
3,8,0,49.65549175078797,2,13,0,1
3,9,0,49.82209026311856,2,13,0,1
4,0,0,48.786946644307314,6,6,1,0
4,1,0,50.30921947718158,6,6,1,0
4,2,0,48.325365013238574,6,6,1,0
4,3,0,51.8073341708094,6,6,1,0
4,4,0,48.46320960544245,6,6,1,0
4,5,0,45.61696660931735,6,6,1,0
4,6,0,47.51406126780992,6,6,1,0
4,7,0,48.270619069472176,6,6,1,0
4,8,0,50.90607312068758,6,6,1,0
4,9,0,48.785031412383375,6,6,1,0
5,0,0,49.294546230568194,5,8,1,0
5,1,0,51.87239625972864,5,8,1,0
5,2,0,49.70372928330329,5,8,1,0
5,3,0,51.6992872459942,5,8,1,0
5,4,0,52.41799039673523,5,8,1,0
5,5,0,48.62404014121376,5,8,1,0
5,6,0,51.4033921003982,5,8,1,0
5,7,0,49.04735465031367,5,8,1,0
5,8,0,52.191169642007225,5,8,1,0
5,9,0,51.74933826436051,5,8,1,0
6,0,0,48.3360734458109,2,3,0,0
