region_id,year,policy_effect,average_distance_driven,average_income,average_age,average_gasoline_price,policy_in_effect,percentage_EV_ownership,average_distance_driven_before_policy
1,0,0,65.10157545317298,2,3,27,1,0,1
1,1,0,60.930920846738985,2,3,27,1,0,1
1,2,0,64.4471133085306,2,3,27,1,0,1
1,3,0,65.80915579474949,2,3,27,1,0,1
1,4,0,63.1301795702874,2,3,27,1,0,1
1,5,0,63.708512894027365,2,3,27,1,0,1
1,6,0,61.612412893323146,2,3,27,1,0,1
1,7,0,64.40527822964609,2,3,27,1,0,1
1,8,0,63.64044889739598,2,3,27,1,0,1
1,9,0,64.56256384478277,2,3,27,1,0,1
2,0,0,61.68547602321696,1,6,21,1,0,0
2,1,0,61.87479709164376,1,6,21,1,0,0
2,2,0,61.95024598153127,1,6,21,1,0,0
2,3,0,63.53238527581512,1,6,21,1,0,0
2,4,0,63.14515659734207,1,6,21,1,0,0
2,5,0,62.56878809924435,1,6,21,1,0,0
2,6,0,59.48611949973745,1,6,21,1,0,0
2,7,1,70.11959249454847,1,6,21,1,0,0
2,8,1,68.93065153836557,1,6,21,1,0,0
2,9,1,69.77756599496098,1,6,21,1,0,0
3,0,0,63.09383131131674,5,10,28,0,1,1
3,1,0,62.96304151410078,5,10,28,0,1,1
3,2,0,62.70892685688975,5,10,28,0,1,1
3,3,0,63.19700367277048,5,10,28,0,1,1
3,4,1,72.00525846813508,5,10,28,0,1,1
3,5,1,71.4715740634489,5,10,28,0,1,1
3,6,1,69.2490853648356,5,10,28,0,1,1
3,7,1,69.77120718565497,5,10,28,0,1,1
3,8,1,68.4544094273135,5,10,28,0,1,1
3,9,1,71.6244405264065,5,10,28,0,1,1
4,0,0,65.33488245423456,4,6,31,0,1,0
4,1,0,63.35021017529921,4,6,31,0,1,0
4,2,0,64.19477135484269,4,6,31,0,1,0
4,3,0,68.54051237640464,4,6,31,0,1,0
4,4,0,66.79604855145506,4,6,31,0,1,0
4,5,0,63.3220956105687,4,6,31,0,1,0
4,6,0,62.433594611582286,4,6,31,0,1,0
4,7,0,64.82612729949177,4,6,31,0,1,0
4,8,0,65.61900160137746,4,6,31,0,1,0
4,9,0,63.99134027298359,4,6,31,0,1,0
5,0,0,59.08498120363832,2,11,21,1,1,1
5,1,0,58.38984030942465,2,11,21,1,1,1
5,2,0,58.26348686670836,2,11,21,1,1,1
5,3,0,60.81058902041835,2,11,21,1,1,1
5,4,0,59.51791346725543,2,11,21,1,1,1
5,5,0,59.95241694976003,2,11,21,1,1,1
5,6,0,57.62583529255379,2,11,21,1,1,1
5,7,0,59.82358440462555,2,11,21,1,1,1
5,8,0,59.48737055593236,2,11,21,1,1,1
5,9,1,69.27007416053885,2,11,21,1,1,1
6,0,0,61.30080728323395,7,10,23,1,0,0
6,1,0,60.12976265449762,7,10,23,1,0,0
6,2,0,61.65343767022359,7,10,23,1,0,0
6,3,0,63.71249565943339,7,10,23,1,0,0
6,4,0,62.27315869144402,7,10,23,1,0,0
6,5,0,61.16122619833877,7,10,23,1,0,0
6,6,0,59.639203501180944,7,10,23,1,0,0
6,7,0,62.22819411363521,7,10,23,1,0,0
6,8,0,63.26316665722009,7,10,23,1,0,0
6,9,1,70.89710445023398,7,10,23,1,0,0
7,0,0,60.40977195932309,2,11,16,1,1,1
7,1,0,57.22524964054061,2,11,16,1,1,1
7,2,0,61.27949445746188,2,11,16,1,1,1
7,3,1,69.78696499219338,2,11,16,1,1,1
7,4,1,69.30481526939957,2,11,16,1,1,1
7,5,1,65.8107519145197,2,11,16,1,1,1
7,6,1,65.70607070280809,2,11,16,1,1,1
7,7,1,67.39229466758337,2,11,16,1,1,1
7,8,1,67.68586413150973,2,11,16,1,1,1
7,9,1,69.57987561344183,2,11,16,1,1,1
8,0,0,61.16564395778277,1,9,28,0,0,0
8,1,0,61.07533905396275,1,9,28,0,0,0
8,2,1,69.09668318188932,1,9,28,0,0,0
8,3,1,69.55738626423798,1,9,28,0,0,0
8,4,1,69.92861932424233,1,9,28,0,0,0
8,5,1,67.95790367145527,1,9,28,0,0,0
8,6,1,66.426629163287,1,9,28,0,0,0
8,7,1,69.77878834115313,1,9,28,0,0,0
8,8,1,70.2261727083941,1,9,28,0,0,0
8,9,1,69.47655239688974,1,9,28,0,0,0
9,0,0,61.7729553013352,4,7,22,0,0,1
9,1,0,59.54387476893668,4,7,22,0,0,1
9,2,0,62.4148756496604,4,7,22,0,0,1
9,3,0,62.5361700984745,4,7,22,0,0,1
9,4,0,61.0707953699793,4,7,22,0,0,1
9,5,1,67.96756332736805,4,7,22,0,0,1
9,6,1,67.01847518463082,4,7,22,0,0,1
9,7,1,70.74622400723173,4,7,22,0,0,1
9,8,1,70.3274203271459,4,7,22,0,0,1
9,9,1,68.58031557229879,4,7,22,0,0,1
10,0,0,64.30255083471752,4,5,25,0,1,1
10,1,0,63.135631008932,4,5,25,0,1,1
10,2,0,63.54173655857817,4,5,25,0,1,1
10,3,0,65.46652765934047,4,5,25,0,1,1
10,4,0,65.64038117311304,4,5,25,0,1,1
10,5,0,64.06143418092536,4,5,25,0,1,1
10,6,0,63.0027762589233,4,5,25,0,1,1
10,7,0,63.92213120847707,4,5,25,0,1,1
10,8,0,63.54132199826973,4,5,25,0,1,1
10,9,0,64.1055687649627,4,5,25,0,1,1
11,0,0,61.90641306547847,4,12,25,0,0,1
