education_years,farm_size,annual_rainfall,soil_quality,use_of_irrigation,use_of_pesticides,regional_rainfall,fertilizer_use,crop_yield
9,26,7,15,1,1,9,39,131.0806579689848
11,26,8,10,0,1,9,38,128.16333779771975
15,24,9,13,0,1,7,38,126.79893829332696
10,26,8,12,0,0,8,38,127.03365555891214
9,19,11,12,0,1,9,40,127.5737905079153
15,24,9,13,0,1,10,37,124.87572973958768
8,22,8,10,0,0,9,39,127.3282963810274
11,29,10,7,1,0,8,39,131.11384488087083
12,30,10,12,1,1,8,38,131.44475190004917
9,34,9,9,0,0,8,39,132.94023201029074
13,29,8,12,1,1,6,36,126.7764325854994
9,17,7,10,0,1,6,35,120.35823703668152
10,24,11,14,0,1,12,41,132.15688875370196
7,23,6,13,1,1,9,38,130.43347774284547
11,27,8,11,0,0,10,40,131.7856294661749
9,25,12,10,1,0,10,41,132.28566181443475
10,25,10,11,1,0,13,40,130.151983841557
6,28,8,10,0,1,5,38,129.74624471208244
8,24,12,7,0,1,9,38,127.73376485171347
14,30,7,11,0,0,11,40,133.14251781915416
9,31,8,12,1,1,9,39,133.83481560064354
10,17,11,9,1,1,9,39,125.49298780373162
12,18,16,11,0,0,8,42,130.27877811795906
11,28,3,9,1,0,11,39,130.58063999110445
12,34,10,12,1,0,10,41,136.63515805617374
11,26,10,13,0,1,11,42,133.37422390846842
15,22,11,15,0,1,11,41,130.4742798237952
11,29,3,11,0,1,9,36,126.71427312423988
15,24,7,11,1,1,10,35,123.56814618870656
9,25,6,10,0,1,6,36,125.79003968308666
13,25,9,8,0,0,5,38,126.34795659827074
11,33,5,9,0,0,8,39,131.63022350761884
10,30,9,15,0,1,9,40,135.0579976247671
13,33,6,9,1,1,10,38,131.06228371182175
12,26,10,9,0,0,8,38,129.51772461209794
10,30,9,11,1,0,7,40,133.4988598033429
11,19,6,14,0,1,11,37,123.90713363979236
9,23,8,8,0,0,9,39,130.3350208444551
11,23,10,10,0,0,12,41,132.1800558522446
14,24,7,9,1,0,7,37,126.64944751976454
11,25,12,11,0,0,6,39,127.95292094520664
11,24,9,7,1,1,7,36,125.60572988560436
11,25,5,12,0,0,8,38,127.9766563958084
