age,income,hours_worked_weekly,work_experience_years,gender,married_status,credit_score,loan_amount,monthly_housing_cost
12,25,8,8,1,1,12,35,196.9991495066547
13,24,12,8,0,1,13,37,203.8276075713941
9,21,7,12,1,1,13,37,206.86479431043935
8,23,6,7,1,1,9,31,179.99737151050024
13,24,7,10,1,1,9,35,198.36654816661155
11,27,6,16,1,1,7,33,196.7334594846381
10,28,9,6,1,1,11,30,174.6288742385155
8,24,7,8,0,1,12,33,189.42573833150524
9,19,9,11,1,1,11,38,208.25270618522137
13,25,5,12,0,1,10,36,205.188333664962
5,28,5,14,0,1,13,34,202.1454699417808
6,31,8,10,1,1,10,28,172.70256672307244
7,29,4,6,1,1,12,31,180.79925228928545
12,24,9,13,0,1,13,36,207.06723575370503
12,28,9,6,1,1,11,32,183.1982601369919
13,29,9,12,1,1,16,36,204.14630477943624
14,22,7,10,1,1,11,36,201.02120897349965
9,34,13,10,1,0,13,34,194.18532344062228
11,21,9,11,1,1,12,37,206.26222749772444
7,27,11,13,1,0,10,33,194.0558838524297
18,24,4,11,1,1,12,37,208.703714330566
13,26,8,11,1,1,11,36,204.99242357713047
10,24,10,12,1,0,13,37,207.7812378233801
10,27,7,10,1,0,13,34,196.28808198826368
9,32,8,13,1,1,11,32,190.49732392187704
8,22,5,6,0,1,12,33,188.18132724522613
8,27,7,11,0,1,14,34,197.59662298055684
11,20,10,16,1,0,12,40,221.8658515172694
13,27,10,7,1,1,11,35,196.31981616651305
14,23,10,10,1,1,11,37,205.6751707140607
10,28,6,11,1,0,9,35,202.3259423240009
11,30,12,9,1,0,9,31,182.23574477035075
15,22,12,10,0,1,10,38,206.6325775624199
15,21,12,12,1,1,11,37,204.8211070069863
12,21,11,13,0,0,9,38,210.28088418915888
11,21,9,7,0,1,10,33,186.62720319141383
10,27,5,12,1,0,11,34,199.41073018982624
10,25,8,9,1,0,13,36,201.2476726994369
12,27,12,8,1,1,14,34,191.53357164254223
11,25,11,12,1,1,10,35,199.9132217792413
13,27,11,10,0,0,12,36,202.8841856891437
11,29,7,13,1,0,12,35,202.41576083505103
13,28,11,12,1,1,11,34,196.1460323240337
11,29,11,10,1,0,10,32,190.1624818631993
11,25,12,12,1,1,12,35,200.9832052615691
9,18,11,12,1,1,8,38,208.7443001903224
14,24,7,12,1,1,8,35,201.0518912947972
12,29,5,13,1,1,6,30,184.75246708789075
13,28,8,12,1,1,9,33,193.3068497856048
11,28,4,7,1,1,8,29,173.9729267164534
10,22,8,12,1,1,10,37,207.79695592105216
12,30,8,10,1,1,11,31,185.3847462645536
14,25,8,10,1,1,15,38,209.792985910024
7,32,6,13,0,0,13,33,197.1012525749101
6,24,7,6,0,1,8,31,179.00455161733342
17,28,5,11,1,0,11,36,204.34137535725176
9,26,13,12,1,1,12,35,200.6890004298799
17,24,7,10,1,0,10,37,206.90915812481816
11,27,7,10,1,1,14,35,200.30663349242013
8,26,7,9,0,1,15,34,192.54147721537925
11,26,9,10,1,1,13,35,198.27023679344364
9,28,12,10,0,1,10,31,182.19183956206848
8,29,5,8,0,1,14,31,183.7736249659904
14,22,8,6,1,1,12,35,192.96773653240905
8,25,12,13,1,1,14,36,206.29383802513868
14,25,8,9,0,1,11,34,194.4253564617276
13,20,6,9,1,0,11,37,203.85870595374757
12,26,1,12,0,1,11,34,199.4192749216689
8,23,4,10,1,1,10,33,190.86407158494063
13,26,9,10,1,0,10,34,195.91995537523044
10,26,11,13,1,1,13,35,199.2262906483664
11,22,8,6,1,1,13,34,189.92337269912508
14,26,10,10,0,1,13,36,202.64693977243556
6,28,5,11,0,1,11,31,186.32422888287
10,25,8,15,0,0,12,38,214.9135277224248
10,25,6,9,1,0,11,34,194.1550481644847
11,29,7,11,1,1,13,34,195.25238686733687
9,27,10,12,1,1,12,35,197.80306747151047
13,26,10,12,1,1,8,32,188.05737137706248
11,30,12,8,0,1,11,31,182.4538068933424
11,27,9,15,1,1,12,38,214.26805530697013
12,22,9,12,1,1,12,39,214.43010401886752
11,30,8,9,1,1,9,31,183.73625836674196
7,28,11,12,1,1,13,33,192.91453331299653
10,26,9,14,1,0,15,37,210.4012925905848
7,24,7,11,1,0,11,33,191.90186933912656
10,27,12,13,0,0,10,36,206.5070292891639
13,24,5,11,0,0,9,33,193.6900885882454
11,28,7,11,0,1,7,30,181.7892733823869
12,29,9,9,0,0,13,33,192.27487948811176
12,27,0,11,1,1,14,37,210.3790586587866
12,27,7,9,1,0,10,34,195.5553528733452
11,25,12,10,1,1,10,34,192.68661440792667
7,29,6,15,1,1,11,34,201.8374262622023
10,25,9,4,0,1,13,32,182.15811053370007
10,30,13,11,0,1,11,33,191.1402476066856
12,22,6,9,0,1,14,37,205.51898417640243
12,24,8,8,1,0,11,37,204.7263634483947
11,29,7,7,1,1,14,34,193.24145775613988
13,26,10,7,0,1,13,33,186.4773714130117
16,27,10,9,0,0,11,34,195.9360833392373
11,26,8,12,1,1,7,33,192.70445016310904
8,24,9,8,1,1,11,34,192.1503222597504
15,19,13,6,0,1,12,39,207.88804218476528
11,30,9,11,1,0,11,31,185.0213720664445
11,29,8,9,0,0,11,32,186.91155727947765
13,31,6,11,1,1,11,32,188.7296696324717
8,28,9,13,0,0,8,30,183.1486887854437
11,24,9,10,1,0,7,34,194.41045582834795
14,21,12,12,1,1,13,40,218.4518149089913
13,22,7,10,0,1,7,34,195.43471626505595
10,33,2,8,1,0,9,29,177.74198901519182
10,26,13,12,1,0,12,38,211.4686425376657
15,24,8,10,0,0,11,36,202.1656535390146
9,22,7,7,0,1,12,35,194.53283383365616
11,23,9,14,0,0,13,39,218.63379562034015
11,21,10,11,1,1,13,37,205.49353068726884
16,29,8,10,1,0,16,39,216.13317352939612
18,21,11,10,1,1,14,40,215.9529223128423
4,30,12,12,1,1,12,31,183.92165487714271
11,28,11,13,0,1,10,32,189.6918390228053
9,22,8,15,1,1,12,38,216.4357315726392
11,30,12,8,1,1,10,31,182.2081932579208
8,29,12,10,0,1,10,32,187.9268627309634
11,26,10,14,1,0,14,38,215.38647496307
8,25,13,12,1,1,14,38,211.36602874657595
10,28,5,13,1,1,10,34,198.4163956161489
11,31,10,12,0,0,13,34,199.32183859684295
15,25,12,9,0,1,12,35,197.03042485503283
12,29,7,12,1,1,14,35,200.99185687912825
10,23,14,11,1,0,11,36,200.74412767894145
8,32,11,11,1,0,14,34,196.8636750840132
12,31,9,14,0,1,7,31,187.49894088740615
10,29,7,12,1,1,12,33,194.65147818243275
13,23,10,10,1,1,14,37,206.46750900796076
11,29,8,15,1,1,10,34,200.343058538232
6,29,8,10,1,1,11,31,183.2344282826221
3,24,8,14,1,1,13,34,197.6781422825618
10,26,12,8,1,1,9,31,180.9636252443337
12,25,6,11,1,1,14,37,209.17401799215017
10,27,9,8,1,0,11,35,197.46562560526252
4,23,7,11,0,1,15,34,197.955439067296
15,24,13,8,1,1,12,35,193.6386238414624
11,23,14,11,1,0,9,34,192.56143130576507
13,29,10,12,1,1,12,36,206.24786719282017
11,25,9,10,0,1,11,33,191.6169964999243
13,21,11,14,0,0,14,40,221.2717806128554
10,26,5,14,1,1,12,35,202.7742245031131
12,28,12,8,0,1,14,35,197.01005503415132
12,24,4,10,0,1,12,35,199.1398842638486
11,26,9,9,1,0,8,32,185.5194899700246
12,24,9,13,0,1,11,35,201.005887874964
14,24,6,8,0,1,8,34,192.4381605333915
12,24,10,10,0,0,11,37,206.0054796447671
13,24,7,11,1,1,10,36,204.05310373888304
10,29,9,12,0,1,14,36,205.30656893834347
13,29,10,14,0,1,10,33,196.0900837018502
13,27,8,15,0,1,9,35,204.49281779597385
10,25,8,13,0,1,13,35,203.3798377605788
6,22,10,15,1,0,15,38,214.77965260203183
11,27,8,9,1,1,10,31,182.96792866204203
13,28,10,11,0,1,10,33,191.60793075534423
12,31,12,15,1,1,10,35,204.2964035211347
14,23,11,13,1,0,13,38,211.964805118974
7,16,12,7,0,1,9,36,194.8410355244017
10,26,7,11,1,0,9,34,196.90997723464116
12,24,11,12,0,1,12,36,203.02324049555727
13,21,12,9,1,1,9,37,203.18242728099975
11,27,7,13,0,0,11,36,207.04210551789072
13,33,10,9,1,1,11,31,180.8154987601982
12,28,10,10,1,1,12,35,197.8637285405571
10,32,13,13,1,1,11,34,196.9552506197201
6,29,8,11,1,1,12,30,181.2257698203237
12,19,9,11,1,1,11,38,207.70370824656297
7,24,11,9,1,1,14,36,200.7573492066452
9,29,8,9,1,1,9,30,178.31091612162285
17,22,11,9,0,1,11,38,208.5739989074262
15,27,9,15,0,0,12,38,215.62596864317595
12,25,13,8,1,1,13,37,203.2993602623917
10,23,7,12,1,1,11,36,205.4879924643344
11,27,8,10,1,1,9,32,187.08127927357825
11,26,7,12,0,0,13,36,207.41335257057696
9,21,11,11,1,0,13,38,209.1036710486173
8,17,1,11,1,1,12,37,207.236061208956
15,29,6,11,1,1,13,34,194.7438543789719
9,21,7,11,1,1,7,33,191.13801747780295
9,20,7,13,1,1,13,37,207.2967508246036
15,26,10,8,1,0,11,34,191.78255271405425
8,25,8,15,1,0,13,36,207.925610023764
8,27,7,14,1,1,13,35,201.98631449433395
9,25,9,13,1,0,9,36,206.15536172055408
11,25,5,12,1,1,10,34,197.93301831911623
10,26,6,12,1,1,11,34,197.4859254245411
15,22,9,12,1,1,10,37,206.1466417757778
7,32,9,9,1,0,9,29,175.57188283390053
8,32,9,9,1,1,12,32,188.3356667830563
9,22,8,12,0,0,12,37,206.9133713468893
13,25,10,12,0,1,10,35,201.77296312103476
12,28,16,11,1,0,15,38,209.59749906890983
10,20,9,13,1,0,9,37,208.5797008482861
13,31,9,10,1,1,11,32,186.93122634245896
7,26,8,8,1,1,9,32,185.8733261284764
11,25,8,13,0,1,11,36,204.68593338444884
11,25,7,9,1,1,9,33,191.9711581857436
13,29,8,12,1,1,10,33,193.69869530444063
8,24,11,10,1,1,12,35,197.4265503080706
12,28,7,8,1,0,12,35,197.3901068377939
9,21,14,12,0,1,15,40,215.2892701162438
12,28,9,11,1,1,12,32,188.09203916312237
6,26,9,7,1,1,13,33,188.4545023124712
10,26,6,7,1,1,11,33,189.383840451377
9,25,7,13,1,1,14,35,200.55280363056235
15,29,9,9,1,0,12,35,198.0389632117316
12,30,3,10,1,0,16,35,202.09405650993
15,26,13,15,1,1,8,36,207.1377336436727
11,21,8,9,0,0,14,38,208.5438771692166
14,23,8,11,0,1,14,38,212.05133252075325
10,12,8,9,1,1,11,40,214.14236524889003
17,21,1,10,0,1,10,35,197.6734353331284
12,23,11,13,0,1,12,37,206.9485577174121
13,29,7,7,1,0,10,31,181.6974799474784
10,25,8,13,1,1,12,37,209.42271509928423
8,23,6,8,0,0,11,35,199.3340167086964
8,27,10,8,1,1,13,33,188.86702007526424
12,19,8,8,1,1,13,36,199.1218869087012
14,26,9,12,0,0,13,36,204.7394056960884
11,29,8,9,1,1,11,32,186.1069804277428
17,27,13,13,1,0,11,38,210.6440607679802
7,24,11,15,1,1,12,37,211.27223944941807
12,26,6,5,0,1,9,29,170.19839424740513
6,21,8,8,1,1,11,33,186.86494582398348
8,19,7,11,1,1,8,36,203.14544130686068
11,19,10,9,1,1,13,38,207.78125110933004
12,30,8,6,1,0,14,33,188.41059518004985
9,29,5,9,0,1,9,31,183.91091057372543
8,23,6,10,1,0,10,35,198.48720152660783
10,24,10,14,1,1,9,34,197.6325540946075
10,25,8,12,1,0,11,35,200.464744499387
15,26,6,10,1,0,12,37,208.6192306025825
14,30,8,8,1,1,12,34,193.4321461315388
15,23,6,10,1,1,11,36,203.08639622676773
11,24,11,7,1,1,16,35,193.41784239586235
12,26,8,11,1,1,10,32,190.10966846557028
13,24,8,11,0,0,10,37,206.69466466188032
12,25,8,12,1,0,11,35,201.00409710075647
8,30,13,14,1,0,8,31,185.6582499239696
12,25,8,10,0,1,12,34,194.6265768269836
13,27,14,7,0,1,12,31,178.90261737400152
10,30,7,9,0,1,9,30,183.18861770815275
13,26,12,5,1,1,12,34,189.3021218176418
12,23,11,7,1,1,13,35,193.4556208296776
11,25,3,14,1,1,11,35,200.5915750424028
16,28,11,13,1,1,12,38,212.6015852292896
11,29,6,9,1,0,13,32,187.4506552363958
12,21,4,8,1,1,10,33,188.02690847464095
14,28,9,8,1,1,13,35,195.65377515114787
12,28,8,10,1,0,13,35,198.79037100899868
8,24,6,7,0,1,11,33,189.63236566940665
10,28,11,12,1,0,10,34,195.91990405767507
9,30,7,5,0,1,12,28,169.4336056222489
14,26,13,10,1,1,12,36,200.4139354937712
9,26,8,15,1,1,13,36,206.07502695740845
11,28,10,11,1,0,10,34,194.52701724150603
15,25,10,13,1,1,10,35,199.1619181429276
12,27,8,13,0,1,11,33,193.75351427732411
13,19,10,11,1,0,10,39,213.10649951566305
9,28,9,11,1,1,12,33,192.992060054647
13,19,6,9,0,1,12,37,204.10752982868715
14,29,12,5,1,1,8,30,174.43987884280483
18,21,8,10,1,1,14,41,220.99351247455823
14,19,12,13,0,0,12,39,213.4990746210568
13,26,14,10,1,0,15,39,211.29148652833584
10,28,9,8,0,1,10,30,177.95193080788962
12,27,9,12,0,1,11,35,200.84767757072345
9,25,7,14,0,1,11,35,203.69558718466348
16,25,11,10,1,1,12,36,201.41789110280905
12,20,8,10,0,0,10,36,202.14837818037836
12,27,13,10,1,1,13,35,197.74430200593636
10,24,9,9,1,1,8,31,181.4594923412244
13,29,9,8,1,1,13,33,190.55921826916264
8,30,6,8,1,0,14,32,188.1044002288697
11,26,10,15,1,0,11,38,215.076722185299
12,27,8,15,1,1,12,35,204.7918955338505
8,25,7,8,0,1,9,31,180.93324731841787
13,22,7,14,0,0,12,39,217.23052769278945
14,29,11,14,1,1,9,34,199.64505312542852
12,24,7,8,0,1,11,34,192.51423526042677
8,21,5,11,1,1,10,35,199.8060114569944
15,28,8,8,0,0,8,31,182.8285484263536
14,29,13,10,1,1,14,36,201.48635067757544
9,21,7,12,1,0,10,37,207.8671099949808
14,24,8,13,1,1,14,38,211.66282035945903
11,26,11,9,1,1,7,32,183.90831443132683
14,24,9,10,1,1,13,38,208.6145777659292
12,21,7,10,1,0,12,37,207.56417324934452
11,23,6,7,1,1,11,32,184.44880294832024
9,22,10,12,0,1,13,36,205.949501671214
10,27,6,14,1,1,15,36,208.32961555897563
11,24,5,14,0,1,9,35,203.47012393137723
11,30,3,12,0,0,12,34,199.2537380646636
11,27,5,10,1,0,11,35,200.3378885793485
12,24,7,8,0,1,11,34,194.0864725555624
10,29,9,7,0,1,11,28,168.9446347678562
11,28,6,8,0,1,11,32,186.8134186281256
9,25,8,12,1,1,10,34,195.9183331608784
13,19,13,5,1,0,12,37,198.7795577110172
12,20,13,7,0,0,11,37,201.8173527579015
15,22,8,13,1,1,12,37,207.96767720424876
15,29,6,6,1,1,16,34,191.9156216565992
14,28,12,9,1,1,12,35,196.46892067027835
9,24,14,10,1,1,11,34,194.00621080084207
13,29,9,15,1,0,11,36,209.09648879650564
11,31,9,7,0,0,14,32,187.8306088923474
14,28,4,12,1,1,13,35,202.26213420994887
12,31,12,12,0,1,11,32,187.43266763492812
13,28,6,12,1,1,13,35,200.3820889122004
17,26,14,9,1,1,10,35,194.93783611229344
16,24,9,9,1,0,13,37,204.25211039483685
9,26,6,9,0,1,13,34,194.8708238243236
10,24,4,4,1,1,17,36,196.2531155759601
10,27,8,11,1,1,15,34,195.53031656354403
9,25,7,6,0,0,13,31,179.7764110184188
10,25,12,10,1,1,12,34,193.00944454940867
12,25,7,13,1,1,17,39,217.68248428830665
12,20,11,8,1,1,12,39,208.42128444802057
10,22,7,8,0,0,10,34,192.3436943260973
14,28,8,8,1,1,13,34,191.76050571315017
12,30,8,10,1,1,10,32,188.0777111293587
10,25,9,9,1,0,9,31,183.10768575669516
10,26,6,11,1,1,10,34,195.44583938583557
10,33,9,5,0,0,13,31,181.2286116557347
10,25,10,9,0,1,12,34,192.44481664120732
10,30,9,9,1,0,7,32,188.2809151723087
11,30,11,12,0,1,12,33,194.80040819932745
7,31,5,11,1,0,8,30,182.77160268226663
15,26,10,10,1,1,13,38,207.8171500705347
11,24,5,12,1,0,9,35,202.1554135404332
12,27,8,9,0,0,13,35,198.75787383594368
11,25,10,11,0,0,8,33,191.64445982069492
10,32,10,9,0,0,11,32,187.36125585327773
14,21,12,12,1,1,11,38,209.6981112351005
11,30,18,13,1,1,10,35,200.50139868802916
15,24,15,11,1,1,14,39,212.70165238423547
10,25,15,12,1,0,10,36,201.42406175755804
13,18,6,9,1,1,16,41,219.2454412779167
9,22,8,11,1,1,14,39,214.9170028562177
10,27,9,11,1,1,13,36,203.4464081112803
12,30,6,9,1,1,8,29,175.42664824465012
10,29,3,10,1,1,13,31,184.5633938736196
12,31,7,10,1,1,12,33,193.37586267005105
12,28,15,11,1,0,12,37,205.99589231729317
10,24,8,12,0,1,12,35,200.6194244735371
7,26,14,8,1,1,10,34,192.679372010884
11,25,10,13,1,1,14,36,205.80324960991584
12,26,12,10,1,1,16,35,196.2920713568978
9,28,9,10,1,0,9,33,191.06171731405772
11,24,9,12,1,1,11,39,215.1032205532093
14,26,9,11,1,1,12,37,209.28395806937476
9,27,10,8,1,0,10,32,186.83775049618407
14,25,10,13,1,1,9,35,199.20658494577697
13,25,10,6,1,0,12,35,195.86932975122247
13,23,7,14,1,0,11,37,209.24691510399856
8,20,13,11,1,1,11,38,209.69618601117972
12,23,7,8,1,0,9,35,195.12286802261963
10,29,12,10,0,0,13,33,190.77317189341716
14,23,9,6,1,1,10,33,184.65032111364687
11,27,8,10,1,1,12,33,191.55577484248764
6,25,9,9,0,0,11,32,188.22794928575613
11,35,11,7,1,0,12,31,182.5157450175574
7,28,7,7,1,0,10,31,180.8372770081955
17,25,7,9,0,1,8,34,193.92339579416472
16,23,6,11,0,1,12,36,204.7201679641727
8,22,7,17,1,1,12,36,209.1393344451305
10,22,6,7,1,1,12,37,202.5589503393052
15,28,10,7,1,0,9,33,188.19482765832507
12,27,13,13,1,1,10,35,201.0614131488539
9,22,5,12,1,0,9,35,200.3604838882257
6,18,10,12,1,1,13,38,209.52990916301115
12,21,11,13,0,1,12,36,203.43843501680217
14,26,8,13,1,1,15,38,213.8276392131586
5,21,6,13,1,1,13,37,209.89213558011008
11,22,9,12,1,0,12,38,212.2800698775812
10,21,8,7,0,1,10,32,182.22807422144672
13,27,11,8,0,0,10,32,185.36680953943792
12,24,4,9,1,0,11,35,198.20663758740764
11,21,9,13,1,1,9,37,208.40670245696268
13,22,12,8,0,1,11,35,195.95062119850277
16,24,4,14,1,0,14,39,217.93765322052303
8,22,7,10,0,0,16,38,211.86411645572
10,26,6,10,0,1,10,32,188.94582115744976
13,21,9,9,1,0,12,37,206.0831562862191
8,25,7,7,1,0,12,33,188.2088464170188
14,25,7,11,1,1,11,34,195.69072760409995
11,23,5,11,1,1,9,33,192.22416201811384
13,21,7,10,1,1,12,37,205.7527414717795
11,26,7,10,1,1,10,33,190.98192248890368
9,20,10,12,1,1,12,37,205.75464499336437
7,25,9,9,1,1,12,32,187.02687857774345
11,25,8,6,1,1,12,35,194.0796286239357
8,23,8,11,1,1,13,36,203.8031510735713
15,28,10,8,0,1,7,31,180.830070708921
11,29,5,11,0,1,8,32,189.7488167910267
11,22,6,8,1,0,13,37,202.55916714198764
14,22,12,8,1,0,11,37,202.8649623257953
15,26,5,11,1,1,13,34,196.81771317235112
12,25,3,13,1,1,9,33,194.254686825609
12,34,7,10,0,0,12,32,192.48862593493143
11,30,12,10,0,0,12,32,188.9387775610872
8,25,2,12,1,0,10,31,187.66156128240007
15,24,4,9,1,1,16,39,215.6928591839493
14,25,9,13,1,0,9,37,207.1189353084137
12,28,7,12,0,0,9,33,193.50568815861772
14,25,10,6,1,1,12,35,194.76369987646936
14,30,5,9,0,0,12,33,192.89090630738525
9,23,11,9,1,1,10,33,189.5073724633067
11,32,8,12,1,1,11,32,190.54809230071547
11,27,11,10,0,1,12,35,200.5146614750978
8,21,10,10,1,1,11,34,195.09769777593905
12,25,10,12,0,1,15,37,207.9686945941729
13,19,6,13,1,1,10,38,212.14722049633343
16,18,4,9,0,0,10,38,209.34324397729048
11,25,4,9,0,0,14,36,202.2590074260707
14,25,9,10,1,1,10,37,206.79848995965597
12,27,3,11,1,1,13,34,197.5612681766924
14,24,6,12,0,0,13,37,210.43916412080628
12,25,13,14,1,0,9,38,214.1380278781785
14,34,10,16,0,0,10,33,199.15244523395452
16,20,3,12,1,0,10,38,212.3511029476984
10,37,5,14,0,1,13,30,184.8954036427227
14,28,5,11,1,1,11,34,197.33807117118045
12,22,3,10,0,0,11,36,202.5094986655028
12,22,8,14,1,1,14,37,208.38606475847868
9,21,10,10,1,1,10,37,203.7842875773529
11,24,14,11,1,0,11,37,205.7812430689842
13,21,5,13,0,1,11,36,205.21468140585105
6,30,9,11,1,1,10,31,185.3966834298225
10,26,13,9,1,1,12,36,199.8617321462417
11,27,3,13,1,1,14,35,203.04300331706511
12,20,10,10,0,1,11,36,200.0740663581808
15,25,1,12,0,1,10,34,198.2522196866726
12,22,9,8,1,0,9,35,196.7659606481336
8,29,9,9,0,1,10,31,182.59032336395995
15,23,8,12,1,1,10,36,204.074836039704
16,29,11,14,1,1,6,34,198.81624961056963
7,30,11,13,1,1,14,33,193.1167569786252
11,23,9,14,1,0,10,39,217.77661751226924
13,22,7,12,1,0,10,37,208.53186677378696
11,24,7,8,1,0,14,37,204.96226827972865
8,20,7,9,1,0,11,36,202.0313598196868
9,27,8,9,1,1,15,35,196.50234887894996
10,24,7,13,1,1,14,37,207.55178414296125
9,25,7,11,1,1,10,34,196.39980422160053
12,27,6,8,0,0,12,34,195.07967744635124
12,21,9,10,1,0,14,36,199.93620368933907
13,23,10,12,1,1,11,36,202.35264114772025
12,24,9,9,0,1,15,35,197.9652527620819
11,25,3,12,1,0,9,33,195.41197429702044
12,16,8,7,1,0,12,39,208.9915195559077
