education_years,experience_years,company_size,role_seniority,has_mentor,has_career_plan,in_job_training,company_policy_compliance,training_days,job_satisfaction
14,25,7,11,0,1,0,11,17,75.83179876201616
10,26,10,6,0,1,1,9,10,64.4635611636708
14,22,8,8,1,1,1,6,16,75.46727673848955
14,22,10,6,0,1,1,12,17,77.89887883487032
14,25,11,12,1,0,0,8,15,75.22231775966334
12,25,9,12,0,0,1,11,16,74.88941926725872
15,24,7,10,0,1,1,9,16,71.59389107201224
9,26,13,9,1,0,0,10,10,70.12629043564347
7,30,7,11,0,0,1,9,12,65.24328785062848
13,32,8,8,1,1,1,9,8,59.374224445816
11,23,12,12,1,1,1,12,13,75.89030576681235
11,28,8,9,0,1,0,6,10,64.59157758955169
7,18,9,9,1,1,1,9,17,80.11826337272697
8,29,4,9,0,1,1,11,17,70.26818726937397
11,27,14,12,0,1,1,8,9,70.91361536991053
11,23,7,12,1,1,1,5,16,77.7167269931534
9,25,14,13,0,1,1,8,11,74.37098710575262
14,25,7,8,1,1,0,9,16,74.21416367004676
13,23,5,7,1,1,1,5,15,69.42864414743285
11,31,8,8,0,0,1,9,10,60.27160628394033
14,31,7,11,1,0,0,10,10,63.09592700931008
11,19,7,14,1,1,1,6,18,81.85252322620015
16,24,11,13,1,0,1,8,14,76.55992214442045
14,23,8,12,1,1,1,10,16,79.56913865014903
11,26,7,15,1,1,0,8,16,76.25583969375529
17,25,11,11,0,1,0,6,11,70.91509709557302
11,23,9,8,1,1,0,9,15,74.98469303241887
13,23,5,11,0,0,1,9,20,79.70255066311631
10,33,6,10,1,1,0,10,11,60.584903682546
10,19,10,13,1,1,0,10,20,87.60430495856615
12,24,5,8,1,0,1,10,17,73.78213191453752
8,21,11,12,1,0,1,7,16,80.45689738869899
10,30,13,6,1,0,1,10,7,60.30317878753576
15,26,10,11,0,1,1,7,12,69.8476311193832
12,28,8,11,1,0,0,6,10,65.72697317403478
9,35,4,15,1,1,1,11,13,65.24478867404565
11,22,12,9,1,0,1,9,15,79.13162484878347
11,24,1,12,1,1,1,12,24,84.11918441947617
11,26,12,12,1,0,1,8,13,72.79882571878494
7,26,10,11,0,1,1,6,10,67.1291292603376
11,22,12,8,1,0,0,7,11,70.61818215959778
11,27,6,10,1,1,1,9,15,70.3014083490501
12,29,5,12,1,1,0,8,14,67.72468694175575
11,25,13,8,1,1,0,7,11,70.4116282529308
12,26,11,9,1,0,1,9,11,70.11229062437857
10,25,8,11,1,1,1,7,14,71.42258978005421
14,19,8,6,1,0,0,6,19,79.18154786523812
9,20,9,10,0,1,1,5,15,76.12740681656564
9,26,5,11,1,1,1,6,14,69.41687453612144
7,27,10,14,1,1,1,8,12,72.89797485400419
14,27,7,12,0,0,0,7,14,73.93834044686871
9,31,9,14,1,0,0,5,10,65.58084113961245
13,31,6,8,0,0,0,10,13,65.19966056431632
11,23,12,7,0,1,1,7,11,68.68481607589969
7,24,12,13,0,1,1,13,14,75.96303713506032
10,29,10,11,0,0,1,10,11,67.47611628022136
7,27,7,12,1,1,1,5,12,67.26777536966458
13,28,4,12,0,1,1,13,20,77.82942787024358
4,28,1,12,1,1,0,9,18,71.47828803970626
12,18,7,8,0,0,1,12,21,83.36894125227107
13,27,5,10,0,1,0,6,15,70.6829942391372
9,26,3,14,1,1,1,10,20,78.95984056051117
14,26,10,11,1,0,0,8,13,71.69763029585249
11,33,7,14,1,0,1,10,11,64.7136666776248
9,27,10,8,0,1,0,10,13,69.12098303293683
9,25,6,10,0,0,1,9,17,76.05132263015977
11,22,10,7,1,1,1,5,12,70.67328552937695
10,27,8,9,0,1,1,7,12,68.62050876207546
