age,average_income,gender,rural_setting,family_history_of_disease,proximity_to_park,physical_activity_hours,health_index
11,28,0,1,0,11,62,280.3781013271474
10,28,1,0,1,10,63,287.9235896099425
15,26,1,1,1,7,57,260.26078310028515
8,25,1,0,0,9,58,268.4986080211065
9,28,0,1,1,5,59,270.8663793321169
11,23,1,1,1,12,56,260.8020780095222
14,24,0,1,1,11,58,267.4298825197386
10,22,1,0,0,12,55,258.6150123611844
12,28,0,1,1,10,61,277.18354864120107
12,24,1,0,1,11,57,263.3339169200849
16,34,0,0,1,10,69,306.65181989170526
12,24,0,1,0,11,60,274.7072808683123
13,25,1,0,1,11,59,271.53115600608766
8,25,1,0,0,9,59,271.49167144931846
11,17,0,0,1,9,48,233.08878898050463
13,24,1,0,1,11,57,264.1580657736125
13,29,1,0,1,8,62,281.33205454252084
9,28,1,1,1,9,63,288.3507614059864
14,25,1,0,1,10,58,267.2162461395021
11,23,1,1,1,12,58,270.42415580876246
10,27,0,1,1,12,61,279.4161917030581
12,22,1,0,1,9,52,244.29914041118369
10,26,0,1,1,9,60,275.26844380280744
11,22,1,0,0,7,52,245.12852212101416
9,24,0,1,1,11,57,264.8868963376649
12,29,1,0,0,7,62,281.7024275586311
12,21,1,1,1,7,51,243.48025426051095
12,29,1,0,0,11,64,288.81246579684137
17,28,1,1,0,13,61,272.21770883017285
13,29,1,1,0,11,63,283.4590834518268
12,29,0,1,0,9,64,288.72714351111017
12,26,1,0,1,11,59,271.6560637501348
13,26,1,0,0,9,57,260.72892493948285
9,21,1,1,1,10,55,260.4396906786933
15,27,0,1,1,9,58,261.21469428386195
8,25,1,0,0,13,60,277.7003960672744
9,30,1,1,1,8,65,295.1494269618296
12,30,1,1,1,9,63,282.9099315396727
13,29,0,0,1,9,60,272.97587983982976
12,25,0,1,1,6,56,258.59871900963003
13,32,1,0,1,9,65,291.3981935962952
13,26,1,0,0,8,56,258.69761579184365
12,20,0,1,0,8,51,239.63496445656315
15,28,0,1,1,10,62,280.1353608851365
15,26,1,0,1,9,57,259.42705501668024
14,12,1,0,1,8,40,199.65059731580936
12,23,1,1,1,11,53,247.51359312475773
13,27,0,1,0,10,60,273.7263792234962
8,24,1,0,1,9,57,266.5299007300202
10,24,0,1,0,9,57,262.7309617923977
15,23,0,1,1,10,54,251.94138272615555
16,22,1,1,1,6,52,241.69814537814048
9,24,1,1,1,10,57,265.2296898755897
12,31,1,1,1,10,65,292.8426035419737
11,28,1,0,1,8,60,274.5720287787788
11,28,1,0,0,8,59,268.48996839390844
8,18,0,1,0,8,49,237.38792170507824
9,25,1,0,1,10,58,270.8413095072806
10,28,1,1,1,10,63,286.0751266090291
12,30,0,1,0,9,63,283.5532752306786
9,31,1,0,0,9,67,302.3350382476268
11,20,1,1,0,7,52,245.134684997868
13,25,1,1,1,13,60,275.2566885295451
9,23,0,1,1,9,56,260.6314364348192
10,26,1,1,1,10,59,272.3323421246401
15,28,1,0,1,8,58,263.6052266014922
11,26,1,1,0,10,60,274.083027260876
