age,grade_level,has_internet,has_study_group,parental_involvement,assigned_encouragement,received_encouragement,exam_score
5,1,0,1,1,10,0,58.84367874463399
7,2,0,0,0,12,1,63.58504440077769
7,1,0,0,1,13,1,62.0999359892354
6,2,0,1,1,9,0,60.83421177658568
0,2,0,0,0,13,0,57.368724064412326
7,1,0,1,1,10,1,62.35686728484907
3,1,0,0,0,12,0,57.90258231307584
5,2,0,1,0,10,0,58.75281378765752
7,0,0,0,1,11,1,62.18812388999488
5,1,0,0,1,9,0,59.62762214928374
6,1,1,1,0,12,1,59.38789739445288
5,1,1,1,1,11,0,57.789035021193634
8,1,1,0,0,10,1,62.08526309300542
9,1,1,0,0,11,1,62.28616546098938
11,2,1,1,0,10,1,63.92573301804218
7,2,0,1,0,13,1,61.5495538135009
9,2,1,0,0,10,1,63.1644451282302
7,2,1,0,0,13,1,62.77330329789484
11,3,1,0,0,8,1,64.54415698307007
5,1,0,1,0,9,0,56.83350029091396
7,2,0,0,0,14,1,61.59371700301197
7,1,1,0,0,12,1,60.03296840547777
11,0,0,1,0,15,1,63.23789409322319
6,4,1,0,0,13,0,58.95997107803485
5,2,0,0,0,11,0,59.578210287954256
6,3,1,1,0,11,0,57.59729240790601
3,1,0,1,0,12,0,58.88048100657104
7,1,1,0,0,8,0,58.35247675635214
7,4,0,1,0,10,0,60.34786528502872
3,1,0,0,1,11,0,58.00495851713615
6,1,1,1,0,11,1,59.06106767333241
8,2,1,0,0,9,0,61.517274998418905
8,2,1,1,0,12,1,61.4192829458652
7,0,1,0,1,13,1,60.25455847286362
3,1,0,1,0,12,0,55.71683026361736
6,1,0,0,0,11,1,61.91546784771788
4,0,0,0,1,12,1,59.71510717354484
4,1,1,1,0,11,0,57.53997888237984
4,1,0,1,0,12,0,58.67274042665225
8,2,1,1,0,12,1,62.14404049669903
10,2,1,0,1,12,1,63.48497162996075
6,1,1,0,0,14,1,62.77132436580359
5,3,1,0,0,12,1,59.79662449999479
5,3,0,0,1,10,0,59.68089890251454
8,1,0,1,0,12,0,60.274342753626186
7,1,0,1,1,10,0,60.75003652034148
4,1,1,1,1,11,0,56.6711595745345
6,2,0,0,0,9,0,58.37646758807247
12,0,0,0,0,12,1,63.584741296093
2,1,0,1,0,9,0,54.37539556244019
4,3,0,0,1,14,0,57.95086302039201
4,1,0,0,0,14,1,59.28340793679151
11,2,0,1,0,13,1,63.81681529755952
4,3,1,0,1,14,1,60.57500616510978
8,0,0,0,1,14,1,61.70335442393421
8,2,0,1,0,10,1,61.434618148328376
8,0,1,1,1,13,1,61.27002807408171
3,2,1,1,0,10,0,58.68121593706949
7,2,0,1,1,12,1,60.65117720994578
8,2,0,1,0,12,0,59.128587891309614
7,1,1,0,0,8,0,58.3558857336882
9,0,1,0,0,11,1,62.58305449187738
5,1,1,1,0,9,0,57.76922062238566
2,2,1,1,1,10,0,56.96432506693765
8,1,0,0,0,10,1,61.93624982324984
7,1,0,0,0,11,1,62.08840932339961
4,2,0,1,0,11,0,57.39108153310114
10,1,0,1,1,11,0,59.77303806572622
9,0,0,0,0,12,1,62.11727888570596
7,1,0,0,1,12,1,62.3165507961757
4,2,0,1,0,15,1,60.25454761082285
6,1,1,0,0,11,0,58.840999916350256
4,2,0,1,0,14,1,59.5374583465083
10,2,0,0,1,13,1,63.5772073500584
8,0,1,1,0,13,1,61.05099237138618
3,2,0,0,0,12,0,58.02600614559231
6,1,1,0,0,9,0,58.48249237816825
4,2,0,0,1,13,0,58.70097828778984
6,1,1,0,1,7,0,58.74947981682341
12,2,0,0,0,14,1,65.34789897704262
4,1,0,0,1,10,0,56.418719395189264
6,1,1,0,1,11,1,59.5615825040552
4,2,1,0,0,9,0,58.18855904195011
3,1,0,1,0,11,0,57.14025223505963
6,2,1,0,0,13,1,61.10074757962821
7,2,0,0,1,12,0,61.70973665570456
8,3,0,0,0,12,0,61.42448167945257
10,2,0,0,0,13,1,63.48344199295833
8,2,0,0,0,12,1,61.97280339906765
3,2,1,0,1,13,0,56.91829872021917
7,2,0,1,1,12,0,59.31326180830348
8,2,0,0,1,10,1,61.94097163008144
1,1,0,0,0,14,0,56.773710888999815
10,1,1,0,1,13,1,63.72596529375253
6,0,0,1,0,11,0,58.20910275218579
10,2,0,1,1,7,0,61.90459824271976
6,2,1,0,0,13,0,58.15445843948061
9,2,1,0,0,12,1,63.01890164770832
8,1,1,1,0,11,0,58.93037729709162
5,1,0,1,0,8,0,59.37577000326332
8,3,0,1,0,11,1,62.93328863755366
2,2,0,1,0,13,0,57.48462816152097
6,3,0,0,0,11,0,59.7729029493677
10,1,0,0,1,12,1,64.11435061040338
4,2,0,1,0,13,0,56.971256891230816
4,2,1,1,0,13,0,57.85492326812863
4,1,0,0,0,12,0,56.8130539545953
8,1,0,1,0,13,1,60.603416039392826
4,2,0,0,1,13,0,58.276942618862414
3,2,0,0,1,15,0,57.72034292369632
4,0,0,0,0,11,1,59.242958813316974
3,0,0,0,1,10,0,56.22492135952666
8,1,0,1,0,11,1,62.5758833135268
9,1,0,1,0,13,1,62.817856258036045
3,1,0,0,0,11,0,57.6016359458139
8,2,0,0,0,11,0,58.930419921992296
4,2,0,1,0,12,0,56.671122107093424
5,2,0,0,0,11,0,60.314842147123
10,2,0,0,1,10,1,63.4557171763264
5,1,1,0,0,10,0,55.671468236405005
12,2,1,1,1,14,1,63.15401583842328
5,2,1,1,0,13,0,57.48889959386812
9,3,0,0,1,10,0,60.2539255711424
12,2,0,0,0,13,1,64.74870476226076
4,0,0,0,1,8,0,58.23965040939013
