age,experience_years,job_satisfaction,gender,position_type,training_offer,training_taken,productivity_score
4,2,0,0,0,8,1,57.57954616437354
6,3,0,0,0,4,0,51.05331114038384
9,0,0,1,0,8,0,51.15506344584825
7,2,1,0,1,5,0,49.75183524447944
9,1,1,0,1,5,0,47.6017892803629
7,1,0,0,1,11,0,50.55316023384699
9,0,0,1,0,9,0,49.334689787152286
8,1,1,1,1,8,1,56.16876388678657
10,1,0,1,0,4,0,50.79585716466698
3,2,0,0,0,7,1,58.53366492754278
4,1,0,1,0,4,1,57.78507315881523
6,2,1,0,0,7,1,55.92322794312496
6,0,0,1,0,7,1,55.313075560455474
6,0,0,0,1,8,1,56.86099774616556
2,0,0,0,0,11,1,56.27039532227124
7,1,0,0,1,5,0,51.04832721553827
10,2,0,0,1,8,1,57.55055658228948
7,2,0,1,0,9,1,56.00625560053506
12,3,0,1,0,9,1,55.131730481549184
5,2,0,1,0,10,1,57.14930904108618
7,2,0,0,1,8,1,59.7790926876015
6,2,1,1,0,6,0,48.392683355510826
10,1,0,1,0,8,1,55.63297524178344
8,3,0,0,0,5,0,50.957967950254506
15,3,0,0,0,8,0,51.97258734627688
7,1,1,0,0,6,0,48.78283823135892
1,2,0,0,0,7,1,56.33410258214292
5,2,0,1,1,6,1,56.2623561323865
3,2,1,0,0,9,1,57.36012790312093
8,1,0,1,0,5,0,51.001652920799984
9,2,1,0,0,8,0,48.721362012959055
9,2,0,1,0,10,1,57.14351755827007
3,1,0,1,0,7,0,50.123116121781855
7,0,0,0,1,5,0,51.49113327251491
12,2,0,1,0,10,1,58.045539282580265
3,1,0,1,0,7,1,55.91013330717372
7,2,0,0,1,11,1,57.41167468566936
13,1,0,1,0,8,0,49.1486295125441
3,1,0,0,1,8,1,56.30592942296693
10,1,0,1,0,6,0,49.20044983057108
9,2,0,0,0,7,1,57.44270030251955
5,0,0,1,0,5,0,49.14228066663515
8,1,1,0,1,7,0,49.83111646933517
6,0,0,0,1,5,0,50.067548674434576
6,2,0,1,1,6,1,57.37480812454508
8,3,0,1,1,10,1,57.13180326443758
8,1,0,0,0,11,1,57.81174829294312
