age,exercise_hours,smoker_status,gender,fitness_program_invitation,fitness_program_participation,weight_loss
4,2,1,0,10,0,49.60832402410743
3,1,0,0,12,0,50.11672578460162
5,1,1,1,15,1,56.56482535696272
5,2,1,0,10,0,50.09478964456505
6,1,0,0,10,0,51.6684632889952
10,1,0,0,11,1,60.29617785477605
7,1,0,1,9,0,52.320605325706815
6,2,0,1,10,1,58.21193136492328
7,2,0,1,11,1,56.85886514065826
10,0,0,0,11,0,54.079402821786765
8,2,0,1,15,1,58.99522953955745
9,2,0,0,13,1,60.273879682849866
7,2,0,1,11,1,56.6536609116464
5,2,0,1,11,0,51.201623958331496
11,1,0,0,9,1,59.84977224005162
9,0,0,1,9,1,61.32460889861333
1,2,1,0,6,0,46.54271958187902
8,2,1,1,10,1,58.36351212923539
9,4,1,0,9,1,57.12903598436824
7,1,1,0,12,0,50.93520798107081
4,2,1,1,10,0,51.46400863171151
5,2,0,0,10,0,49.821175007047934
5,1,0,0,12,0,50.73112720452527
8,1,0,1,12,1,58.40004295471201
5,0,1,0,15,1,55.90436505277038
6,2,0,1,10,0,49.62080658190798
6,2,0,1,11,0,53.37191282853037
1,2,0,0,13,0,48.13595701919595
4,2,0,0,11,0,48.87207460009285
5,1,1,1,9,0,50.8565961207283
10,3,1,0,11,1,58.84414602130401
8,2,0,1,5,0,52.0131807057786
5,2,0,0,7,0,50.29124105863133
2,2,0,1,9,0,50.673060488996505
7,2,0,0,11,1,59.03154655431677
14,2,0,0,11,1,61.916282137210345
6,3,0,1,9,0,50.47611469975256
5,1,0,0,13,1,55.36497817849513
9,3,0,0,9,1,58.47676618962959
4,2,0,1,8,0,50.451341306085375
6,2,1,0,9,0,50.76273977864898
6,2,0,0,15,1,57.182491538892855
8,2,1,0,10,1,57.761330400278986
7,2,1,0,12,1,56.7756779207403
6,1,0,0,13,0,49.76250437686996
3,2,0,1,10,0,50.43849010947102
6,0,0,1,10,0,51.00798821900924
4,2,0,0,8,0,51.25532481159284
7,2,0,0,11,1,55.84024459830178
9,1,0,0,10,1,62.23949240460424
9,2,0,0,11,1,58.95540656298925
7,3,0,1,8,0,51.65589636019205
7,1,1,0,13,1,59.11066933163094
6,1,1,0,10,0,49.19434275774504
7,2,0,1,10,1,59.28404699348621
9,1,1,1,10,1,57.69081951840975
3,1,0,1,11,0,47.44989225833959
7,2,1,1,11,1,57.35789301871969
4,1,0,1,13,1,57.57705619826481
4,1,1,0,9,0,50.10045955951665
8,2,1,1,11,1,57.362172055636336
7,0,0,1,6,0,50.75158734241396
6,2,0,0,10,0,52.79856221135847
6,0,1,0,11,0,50.54844803690719
3,0,1,1,10,0,49.46396142229149
9,1,0,0,10,1,59.30235815902488
4,1,0,1,9,0,50.44429936364908
7,2,0,1,8,0,52.28566187927044
6,1,1,1,10,1,59.17400880028796
5,1,0,0,8,0,50.425148053374166
11,1,0,0,10,1,60.442726422707416
10,2,0,0,10,1,60.88474429132521
1,3,0,1,12,0,49.12029039720831
5,0,1,0,9,0,49.33962169634064
9,2,1,1,6,0,51.89534280464756
8,2,0,1,14,1,60.63812381886664
4,3,0,0,13,1,57.85526419479981
8,1,1,0,9,1,57.53949449124923
4,1,1,0,12,0,47.93988355015962
-1,1,0,1,10,0,47.48384240608903
9,2,0,1,10,1,59.38390949338775
10,2,0,0,12,1,59.86063056165623
5,3,1,1,9,0,50.63893312419705
9,3,0,0,12,1,60.47051214285699
2,2,0,0,11,0,49.85942660555738
3,2,0,0,10,0,51.107615737606
6,2,0,0,11,1,56.82914388434725
3,3,1,0,8,0,49.262717395134565
8,2,0,0,8,0,52.14136939270402
5,0,1,0,8,0,49.54436849769053
4,2,0,1,12,0,51.19796578728497
5,1,0,0,9,0,51.0262025007232
8,0,0,0,9,0,50.87885105419981
7,1,0,0,7,0,53.77026443249604
2,1,1,0,10,0,49.57922449858062
4,1,0,0,11,0,47.71802443102823
10,2,0,0,7,1,60.83104539072053
6,2,0,0,14,1,56.59807172825444
3,1,0,0,10,0,51.26122005403048
1,3,0,0,10,0,46.685776272828136
6,0,0,0,9,0,52.595288389338776
6,2,1,0,9,0,51.0583962015257
6,2,0,0,12,0,52.99264632890219
2,3,0,1,10,0,49.86164090850085
5,1,1,1,10,0,51.51180749018658
7,1,1,0,12,1,58.21004926951118
10,2,1,1,9,1,58.22746992843887
7,2,1,0,8,0,52.80254433174685
9,3,0,0,11,1,59.77071827837308
8,0,1,0,13,1,57.27785945454935
5,2,1,1,10,1,55.25376949983885
5,3,0,1,8,0,50.25672558989716
6,1,0,0,13,1,57.5978099492792
10,0,0,1,11,1,59.62561649293416
7,2,0,1,7,0,51.91873901063889
4,1,1,0,12,0,50.70837179200838
11,1,0,0,13,1,61.38518438471058
7,3,0,1,11,1,58.44646171668387
4,0,0,1,8,0,50.31053758292663
3,2,0,0,14,0,49.77358184403076
9,2,0,0,11,1,59.01240074295658
6,1,0,0,7,0,51.86392451566345
6,3,0,0,11,0,51.3473299291461
5,2,1,0,12,1,57.43271609559321
8,2,0,1,13,1,58.37583067358193
4,1,0,0,9,0,50.48744319117224
4,1,1,1,12,1,53.65437339862407
10,2,1,1,9,1,59.67310521145585
3,2,0,0,10,0,50.514101009767415
7,2,1,1,13,1,56.89707069988169
9,2,1,0,12,1,58.562989239486114
7,3,0,1,11,1,58.86534782942246
5,1,0,1,11,1,55.40923374693652
6,1,0,0,10,1,57.59460550057967
11,1,0,0,11,1,62.00290982103553
5,2,1,0,12,1,57.49592655603662
5,2,0,0,6,0,48.61629098933204
7,3,0,0,15,1,59.56135475437673
4,3,0,0,12,1,57.48530860843263
5,2,0,0,13,0,52.059093723975394
9,3,0,1,12,1,59.62851027056246
8,2,0,0,13,1,58.87547381859002
8,3,0,0,13,1,60.23994416671837
6,2,0,0,10,0,51.928862762402986
9,1,0,0,9,1,60.76363266529869
5,2,0,0,13,1,57.30299071170579
7,1,0,0,8,0,51.7915553818615
6,1,1,0,11,1,56.00394551617322
9,2,0,0,12,1,58.77070005604762
11,2,1,1,11,1,60.057851587491214
6,1,1,0,6,0,52.08577179797433
6,2,0,0,11,1,57.17704098467438
5,2,0,0,12,0,51.4213637269166
6,2,0,1,10,0,51.51762065118362
6,1,0,0,11,0,52.321904179563646
3,2,0,1,13,0,49.18422989667857
5,3,0,1,12,0,49.630698189864106
8,2,1,0,12,1,55.52703309390154
7,1,0,1,13,1,60.44321367318777
8,2,0,0,11,1,57.520642458839866
12,2,0,0,15,1,63.95851058309623
7,2,0,0,8,0,53.06935835631435
6,1,0,0,13,0,52.27897343304159
6,1,0,0,12,0,52.05024074231578
8,2,0,0,8,0,52.35793397620128
5,2,1,0,13,1,56.421391483113474
8,1,1,0,10,1,57.236583186853096
5,2,0,0,10,0,51.45566175924433
8,1,0,0,11,1,58.2157767066242
6,0,0,0,8,0,51.86496892823554
2,2,1,1,13,0,47.44198564028218
4,2,0,0,11,0,50.55338468426064
6,1,0,0,9,1,60.04909448847174
10,2,0,0,12,1,59.33002535928496
8,2,0,0,12,1,58.53785568762676
3,2,1,0,8,0,50.49108539300218
10,1,0,0,10,1,61.05514394690032
12,1,1,0,8,1,59.90223559550513
7,1,0,1,9,1,57.15508366074948
4,1,0,0,13,0,52.0240717427838
7,1,1,0,13,1,56.250373322891534
4,2,0,1,11,0,51.75606821751015
12,3,1,1,9,1,61.531081823145904
7,1,1,1,14,1,58.12202736978867
7,0,1,1,12,0,52.19464742250466
6,1,0,1,12,1,58.69706138018175
11,2,0,0,14,1,61.49001012616228
4,3,0,1,6,0,48.22172286066301
8,2,0,0,14,1,60.22280275364324
10,0,0,0,14,1,57.91451328249295
6,2,0,0,10,1,57.14480355460402
4,1,0,0,13,0,50.19492943725603
6,2,0,0,9,0,51.14091531557501
5,2,0,1,9,0,53.4477247114579
4,1,1,0,9,0,48.39645782423871
10,1,0,1,12,1,61.10323796127042
8,2,1,0,11,0,52.42800304488158
4,0,1,0,13,1,56.0881095246524
5,2,1,1,10,0,48.69101379519334
9,1,0,0,10,0,53.29174318790484
10,1,0,0,7,0,52.283297490446586
9,2,0,0,10,0,52.49528886345849
