family_size,income_level,has_children,owns_house,has_car,received_letter,switched_to_efficient_appliances,monthly_energy_consumption
9,2,1,1,1,11,1,68.44098953814961
5,1,0,1,0,7,0,59.88894048399896
8,0,0,0,0,7,1,65.5742098954217
8,2,0,1,0,10,1,70.43371289404678
6,1,0,1,0,11,1,65.84855980636341
8,1,0,0,1,9,1,66.63536069527244
8,1,1,0,0,10,1,67.89145871261118
5,1,1,0,0,11,1,66.154894068266
10,1,1,1,0,7,1,69.48945553399915
7,2,0,0,1,10,1,67.43737381569322
10,2,0,1,1,7,1,70.33242563181257
8,2,1,0,1,4,0,61.34620299789819
6,1,1,1,1,7,1,67.17895004941357
6,3,0,1,1,7,0,60.16534655951527
6,3,1,1,0,9,0,61.14251045028722
4,1,0,0,0,6,0,56.954357043684006
7,2,0,0,0,7,0,61.46302577512979
9,1,0,0,0,7,1,69.14657714236152
7,1,1,1,0,9,1,66.43932941177141
8,3,0,0,0,7,1,68.950926509573
4,0,1,0,1,8,1,64.47166353995465
5,1,0,0,0,9,0,58.83938027623259
5,1,0,0,0,7,0,58.03420701035407
7,1,0,0,0,9,1,68.03004650334577
4,1,1,1,0,6,0,56.22835974468189
8,2,0,0,0,3,0,60.057434120828994
4,1,1,0,0,9,0,56.5202250884068
9,2,0,0,0,6,0,63.600327045352856
9,1,1,0,1,10,1,68.6074934473317
7,1,0,1,0,10,1,67.00604067435751
10,0,0,0,1,8,1,68.18872568249657
11,0,1,0,1,9,1,67.93277568866279
8,2,1,0,0,11,1,69.07518107415248
5,2,1,1,1,12,1,64.70553881964574
5,0,1,1,0,10,1,64.45785208558804
5,0,0,0,0,13,1,64.03557590755258
6,2,0,0,0,6,0,60.56573950964946
10,1,1,0,1,12,1,70.76721712998261
12,1,0,1,0,7,1,69.32961346338767
7,1,1,0,0,10,1,67.65794119488298
7,1,0,0,0,7,0,60.33959623476118
3,2,0,0,0,9,0,57.45020167510249
6,1,0,0,0,11,1,67.01400048484723
8,2,0,1,0,7,1,68.57356593443812
10,2,0,0,0,10,1,70.40200287831324
10,3,0,1,0,9,1,71.9931733350638
4,2,0,0,1,9,0,57.5296665275409
8,1,0,1,1,6,0,58.361055723311566
7,0,0,1,0,5,0,58.229896443348274
5,2,0,0,0,9,0,60.25068998066638
4,1,0,0,0,10,0,58.12109655386071
4,1,1,0,1,9,1,62.71187263251262
6,2,0,0,1,12,1,65.20756515880883
9,0,1,1,1,8,0,61.76521893263271
6,3,0,0,1,10,1,66.94018348688108
8,1,1,1,1,7,1,67.73103486542014
7,2,1,0,0,9,0,61.45104649774901
6,2,1,0,0,11,1,68.92714419685656
10,0,1,0,0,9,1,70.07813901518206
7,2,1,1,1,7,0,59.424884148105896
10,1,0,0,0,7,0,63.54952571488983
8,2,1,0,1,5,0,60.092012316915614
0,2,1,0,1,11,0,55.08452486111917
5,1,0,0,0,11,1,65.87728850822037
