age,annual_income,years_of_education,monthly_expenses,smoker_status,alcohol_consumption,exercise_routine,health_insurance,health_score
34,15,18,7,1,1,0,1,34.13101571218444
21,13,16,8,1,1,0,1,42.6940673671878
38,14,12,8,0,0,0,1,30.432847823447247
34,17,11,8,0,0,1,0,28.80859304487373
37,19,14,7,1,1,1,0,26.56946358024225
17,24,8,14,0,0,0,1,38.19893243325911
37,18,11,11,1,1,1,0,27.68496700934837
37,12,10,15,1,1,1,1,34.08675316998845
33,6,12,15,1,0,1,1,40.86564798618763
32,17,5,16,1,1,0,1,34.20440273029722
36,24,15,16,1,0,1,0,28.150314710074884
33,16,10,21,1,1,1,1,36.88034818799086
29,11,14,15,0,0,1,0,37.00111259329181
43,17,13,9,1,1,1,0,23.809850058463248
23,22,10,15,1,1,0,1,39.50903893094933
34,15,12,13,1,1,1,1,32.82978948486138
34,15,13,12,1,1,1,1,33.01436337081178
23,22,13,17,0,1,1,0,36.3464037608257
29,18,14,4,0,0,1,0,29.52382297599455
31,20,9,14,0,1,1,0,31.430431815773805
32,17,6,21,1,0,0,1,36.47405730816242
40,21,13,17,0,0,1,0,25.19102025832057
39,15,12,16,1,1,1,1,31.87212994540407
45,30,10,18,1,1,1,0,18.12781095090212
32,18,12,20,0,0,1,0,34.19855610557742
20,24,9,2,1,0,0,0,32.45410883701635
25,21,13,22,0,0,0,1,39.63222237106455
26,19,11,15,1,0,1,0,37.25754526689219
38,18,11,10,1,1,1,0,27.29961420167705
35,15,12,11,0,1,1,0,30.775645060206354
38,10,16,9,0,1,1,0,30.162263299218303
40,13,13,18,1,1,0,1,33.49210500741225
20,28,12,11,0,1,1,0,33.63836361197535
29,18,15,9,1,0,1,1,35.63274280499692
23,18,10,9,0,1,1,1,36.28478358577798
30,20,11,9,0,0,0,0,30.445532739016187
43,8,13,16,1,1,0,1,32.84312874154448
30,15,13,10,0,1,0,1,35.06422218267123
32,25,11,13,1,1,1,1,29.32934152754542
39,24,8,11,1,1,1,0,22.683976106991057
37,21,8,13,0,1,1,0,25.391870601510732
35,12,13,10,1,1,0,0,32.47106718601114
27,18,16,15,1,0,1,0,37.49310142146157
27,17,9,19,0,0,1,0,36.59887637447543
37,18,12,15,1,0,1,0,29.5774274458359
21,20,12,8,0,0,1,0,36.23937988606663
33,27,11,15,0,0,1,0,25.78913801757468
25,14,17,11,1,0,1,1,41.48891007138036
23,18,11,19,0,0,1,0,39.805131450094
25,10,10,10,0,1,0,1,40.76256579045804
44,14,16,9,1,1,0,1,26.61471738583612
34,10,13,9,1,0,0,1,35.31396773896324
27,7,13,17,1,1,1,1,44.36271830673658
24,22,9,7,1,1,1,0,32.89089295428558
30,17,15,10,0,0,1,0,32.7984574509981
45,19,12,16,1,1,1,0,25.74703782078401
35,11,16,13,1,1,1,1,36.59975230852534
34,14,13,19,0,1,1,0,35.52466787111399
35,14,12,14,0,0,1,1,33.83687121109473
27,24,10,9,0,0,1,0,30.246745406261013
40,19,16,14,1,1,1,0,30.41290298818677
39,24,8,18,0,0,1,0,23.78863246482389
19,12,11,10,1,1,1,1,44.34222321681362
30,19,12,4,1,0,0,1,32.463481070797265
22,18,11,17,1,1,1,1,41.55535818617989
31,21,12,19,1,0,0,1,35.21982731990316
29,15,13,21,1,0,1,1,41.16562268404073
41,21,11,16,1,1,1,1,25.309784262305723
32,17,20,11,0,1,0,1,35.33468316945713
41,25,10,5,0,1,1,0,18.49598699930727
37,9,12,14,1,1,1,1,37.34871692210925
25,15,15,7,0,1,0,1,38.68522712459156
22,24,15,5,0,1,1,0,35.424470423137286
38,10,14,14,1,1,1,1,33.86266761292458
30,12,12,6,1,0,1,1,35.08386804980045
23,19,17,19,1,1,1,0,43.28253778487869
25,18,12,8,0,1,1,0,35.962245467873814
31,23,12,9,0,1,0,1,29.48768939636743
37,18,12,12,0,0,1,0,26.26809633431484
33,19,8,11,0,0,1,0,26.21441006420416
34,22,11,11,1,1,0,1,28.273431189074024
36,18,7,19,1,1,0,1,33.35368493052765
28,17,11,10,1,1,1,0,34.89069390243811
28,14,15,15,0,0,1,0,36.91037913458279
27,16,14,13,0,0,0,0,35.9798729338484
18,15,10,13,1,0,0,1,43.25842917724189
32,22,7,12,1,1,0,1,30.289563594351627
29,19,9,14,0,1,1,0,32.79260270397916
39,21,9,13,1,1,1,1,26.720923029447874
41,5,12,10,0,1,1,0,29.861394404481025
34,31,11,8,1,1,0,1,24.448205114710525
40,15,8,13,1,0,0,1,30.35529241209004
24,20,9,11,0,1,0,0,33.172202944994325
25,13,13,14,1,0,1,0,40.00492737633922
33,14,10,1,1,1,1,1,29.86347648492268
18,21,10,14,0,1,1,1,40.03833299735757
25,3,12,17,1,0,1,1,47.52251675290842
32,13,12,17,0,0,1,0,36.21181689013105
26,5,11,12,0,0,0,1,42.58121653816112
29,15,11,19,1,1,1,0,38.51674231932246
25,23,11,12,1,1,0,1,36.444586302739566
41,18,11,15,1,0,1,0,26.21045619792242
42,23,11,20,0,0,0,1,25.561799282453038
16,14,11,12,0,0,1,1,44.484591664336136
26,10,15,13,1,0,0,1,43.36691818316386
34,9,11,6,1,1,0,1,33.917480146514215
35,15,7,10,1,0,1,0,28.31172296157653
36,17,12,11,1,1,1,0,29.486963314576855
21,9,13,10,0,0,0,1,44.09718840301655
32,16,6,15,0,0,0,1,32.250534667213934
47,20,8,11,0,1,0,0,18.691867172220203
36,12,13,8,1,0,1,0,31.971307439796107
26,13,7,14,1,1,1,1,40.431373570368194
34,15,12,6,0,0,0,1,30.45123712577411
36,19,16,10,1,1,1,0,28.816006413973685
29,21,14,13,1,1,0,1,35.298924435848605
31,18,13,14,1,0,1,1,34.12612315417439
23,13,10,22,1,1,1,1,44.42823681441732
