age,working_hours,annual_income,gender,education_level,home_ownership,living_standard_score
45,20,15,1,1,0,4.6108906631603785
32,24,15,0,0,1,24.50766708963883
27,13,12,0,0,0,18.241162300934885
32,18,13,1,1,1,23.159989299881246
33,15,9,1,0,1,22.305963791859053
39,13,8,0,0,0,8.591773449039703
37,14,12,1,0,0,7.026054834899816
44,18,16,1,1,0,3.1361978225236364
33,17,12,0,0,1,22.34342075826906
25,18,13,0,0,0,23.140582967512024
33,11,7,0,1,0,14.30810676386298
36,20,16,0,0,1,19.87653568417149
30,12,7,1,0,1,23.697694870858506
44,18,12,0,1,0,5.410679974039857
51,13,9,0,1,1,2.1729187663040888
44,16,12,1,0,0,1.8948842329980904
28,27,12,1,0,0,26.249454868175157
35,16,12,1,0,1,19.286503987866737
33,18,12,1,0,0,14.819520667248636
27,14,13,0,1,0,19.587586918733606
35,25,15,0,0,1,24.31520501850949
41,13,8,0,0,0,6.80552569985842
38,6,10,0,0,0,3.675950067683492
30,7,13,0,0,0,11.312065794545791
33,15,12,0,1,1,21.171881298503838
21,22,14,1,1,0,30.48390740592564
24,7,11,1,0,0,17.630736297729424
27,16,10,0,0,1,27.36637978973634
20,20,17,0,0,0,27.321903065754807
20,19,14,0,1,1,36.55902303708066
36,32,10,0,1,1,27.38725336480821
35,24,9,0,0,0,19.540721096159057
34,21,12,0,0,1,23.752422158069592
36,21,11,1,0,1,20.46317239726893
27,16,10,0,0,0,22.82855693204957
22,0,11,0,0,0,18.70765083779394
16,20,13,1,0,0,36.14794570665472
25,19,10,0,0,1,32.02015040730344
38,22,9,0,0,1,21.932825191663188
23,11,17,0,0,0,20.775570571534004
48,20,12,0,0,0,-0.5459931184830595
18,9,11,0,0,1,32.507670469120626
35,15,12,0,0,0,11.690572704997573
23,8,12,1,0,1,27.103604596892215
24,18,10,0,0,1,34.822513972663856
22,9,13,0,0,0,21.57075114964053
37,18,14,0,0,1,16.823945364222215
34,16,8,0,0,1,22.36243451640168
16,21,15,1,0,1,39.81086637696385
28,19,16,0,1,0,17.907458700932935
29,12,9,1,0,0,16.678203253750556
30,24,14,1,0,0,20.52902803143796
43,7,11,0,0,1,7.531309723486294
27,20,9,0,0,1,30.49949831959404
36,19,11,0,0,0,15.246222211076716
35,23,16,1,1,1,22.220508927238008
35,15,9,0,0,0,15.993434435771956
35,19,14,1,0,0,12.812994439615895
35,13,13,0,1,0,12.19142373907308
33,13,10,0,1,0,13.08833520915209
39,10,14,1,0,0,4.14569534964832
24,15,15,0,0,0,21.79253318581406
45,18,15,0,0,1,8.917684419736185
24,14,12,0,1,1,29.511048587599667
34,11,8,0,0,0,14.360040257709109
45,18,11,1,0,1,10.08742724153479
34,15,8,0,1,0,14.869038069835607
40,15,12,0,0,0,8.708554086698008
24,23,10,0,0,1,35.4588357502838
26,22,5,0,0,1,36.529855102876994
26,19,11,0,0,1,30.987843126794967
27,22,13,0,0,1,31.833751116611943
40,23,8,0,1,1,20.9224181427521
39,20,14,1,1,1,17.728029413465492
18,24,12,1,0,1,41.77263287723022
28,25,13,1,0,1,30.851596055872456
19,23,15,0,1,1,38.78239258414194
36,16,8,0,0,0,12.3349093673004
22,11,12,1,1,1,29.749046814342407
29,17,16,0,0,0,19.774579023141555
30,21,13,1,0,0,20.067115425253363
34,15,7,0,0,1,20.57635568790009
29,18,10,0,0,0,20.81275377419016
33,10,9,1,0,1,18.57146580327821
32,23,13,0,1,0,21.21644723863171
29,24,10,0,0,1,32.50708675375202
38,14,15,0,1,1,14.215677025192466
24,15,10,1,1,1,30.518978748419016
39,21,8,0,0,1,19.5831169313126
36,23,8,1,0,1,22.99581473437606
20,25,11,0,1,1,41.00781874211259
24,22,18,0,0,0,23.921254997267763
35,22,11,0,0,0,17.96825615428733
31,12,16,0,1,0,13.943323580788055
32,19,14,0,1,1,22.77103382409947
27,16,14,0,0,1,26.34019674140225
31,9,8,0,1,0,14.634805934894924
23,13,13,0,1,0,22.57687843713472
43,13,10,1,0,0,4.074731853255254
31,13,8,0,0,0,17.693676095118207
43,9,8,0,0,0,2.2583010812746616
44,22,7,0,0,1,18.07872896972212
33,18,9,0,0,1,24.34081878182288
28,15,10,1,0,1,26.403946246334694
39,16,5,0,0,0,10.935871358480926
25,15,8,0,1,0,25.76924462432412
33,14,12,0,0,0,11.311635579311474
23,19,11,1,0,1,33.206671317293896
40,21,15,0,1,1,15.212290208593233
28,20,12,0,1,1,27.937742090266735
22,26,18,1,0,0,30.68419704976581
38,17,5,0,1,1,21.47144829349521
30,16,8,0,0,1,26.16964289477908
28,17,12,0,0,1,27.451777088173294
26,11,10,0,0,1,25.803199764108605
17,18,12,1,0,0,32.37070799578524
35,17,7,0,0,1,23.8829024206472
25,22,12,1,1,0,27.631375442979778
32,10,14,1,1,0,11.867838413689675
27,15,13,1,0,0,18.35098335135598
26,16,12,0,0,1,28.632687010678456
29,16,13,1,1,0,20.23356656783861
32,20,14,1,1,1,24.93685582580896
33,13,10,0,0,0,13.471806719250395
26,15,14,0,0,0,20.65635217485535
26,12,14,0,1,0,19.25981523914111
34,20,10,0,0,1,22.32109273502406
28,19,9,0,0,1,29.80241211357616
30,13,13,1,1,0,15.409644223157152
33,23,15,0,0,1,26.78564749816504
28,14,11,0,0,0,18.82370326301834
39,15,11,0,1,1,14.092158531047
42,12,13,1,1,0,3.2697103242005854
33,19,8,1,0,1,26.048370475136096
33,19,9,1,0,1,24.33605859232209
32,11,9,0,0,0,15.421095305578598
27,15,13,0,1,0,20.14401737998376
23,15,13,1,0,0,22.11853277801261
30,22,9,1,0,0,22.33326185149417
26,27,13,0,0,1,35.14441980774643
14,17,15,1,0,0,35.284702361117034
25,9,11,0,0,1,25.60108190610005
32,24,11,1,1,1,28.34819701060161
24,18,13,0,0,0,25.43593215222889
23,14,11,0,0,1,30.931049143418768
22,17,8,1,0,0,29.49573333447543
20,24,9,1,0,1,42.12539162661762
34,21,10,0,0,1,26.096818547190985
38,16,14,0,1,0,7.333938252077251
45,23,12,0,0,0,6.8133763138557
22,16,10,1,1,1,34.213265412477426
29,12,14,0,1,0,15.638682885693424
29,13,9,0,0,0,16.843301549369453
26,12,14,1,1,0,17.232367248653993
27,27,13,0,0,0,28.96943498794517
21,11,15,0,0,0,23.230917952444493
30,18,10,0,0,1,25.637213822206206
20,19,14,1,1,0,29.340612906033105
25,4,10,1,0,0,15.088968126866424
27,20,11,1,0,0,26.72659543349057
24,20,12,1,0,0,26.687588303172998
23,8,13,0,0,0,20.49911221243392
21,17,13,0,0,1,33.71777452787834
29,22,11,1,0,1,28.358406088859887
29,22,13,0,1,1,29.682166105386493
40,25,13,0,0,0,14.486628876525582
24,19,10,0,1,1,33.089418843771746
33,23,11,0,0,0,19.49790612567609
30,14,10,0,0,1,23.8615458764972
33,23,12,0,1,1,25.77340036128287
30,15,12,0,0,0,16.925057290074196
33,21,14,0,1,0,17.252364139754505
30,15,15,0,0,0,15.310878206074875
34,14,11,0,1,1,17.572981122262526
28,9,18,1,1,0,13.046963044480584
36,23,9,0,0,0,18.056114908917003
37,15,9,0,0,1,17.8348082999574
32,22,10,0,0,1,27.733735594498583
26,21,11,0,1,1,32.13627309579246
30,14,14,0,1,1,21.89015901240257
43,20,12,1,0,0,7.867457889624724
35,19,15,0,0,0,13.518731783251702
41,14,16,0,1,1,10.91958992687174
26,17,10,1,1,1,29.423163440659163
16,18,9,1,0,1,40.14779003955755
31,12,9,1,0,0,15.747008204386232
41,14,13,0,0,0,5.523705795485148
35,25,16,1,0,0,16.324383601159774
30,12,14,1,1,0,14.694145476352402
34,20,13,0,1,1,22.75278610152477
33,20,11,0,1,1,26.03149754931704
26,19,10,0,0,1,30.704155358510125
25,13,7,1,0,0,25.413011368906247
