age,income,smokes,vegetarian,meditation_practice,stress_level
30,28,1,1,1,43.75092476486534
32,15,1,0,1,39.30529789496332
32,10,1,1,0,36.772875492643855
46,10,1,1,1,31.32693959328768
31,21,0,0,0,38.99409668314407
43,17,0,0,0,33.490793172420915
35,25,0,0,0,38.92800408305907
23,26,0,1,0,42.99848857177482
40,21,1,0,1,37.62033552133731
34,8,1,1,1,38.867663437792096
39,23,1,0,1,38.99180886791882
35,22,0,1,0,37.88560206829398
43,15,1,1,0,32.43811120533038
38,23,1,0,0,36.57294519663248
18,16,1,0,1,45.94426530952221
44,17,1,1,0,33.92923608290783
38,17,1,0,1,35.816967097901006
25,17,0,1,0,42.236509578568736
28,16,0,0,1,42.88670425710442
37,19,0,0,1,38.83295746497959
32,21,0,0,0,38.61201806356131
42,18,1,0,0,34.104188350647334
38,20,1,0,1,37.68381992209898
32,12,1,0,0,38.60438452674333
39,12,1,0,1,37.10265981741582
40,23,0,0,0,35.66225109737172
40,14,0,0,1,34.805231228638256
35,14,1,1,1,39.55074176680146
39,12,0,0,0,34.36831415536279
32,20,0,0,1,40.31161597261029
35,7,1,0,1,36.653980575650685
23,3,0,1,1,40.71926974334845
22,15,0,1,1,44.521217182856816
33,22,0,0,1,42.00747474891185
19,29,1,0,1,49.21614965983407
28,14,0,0,1,41.31921861598682
39,25,0,0,1,39.34901053108097
30,13,1,0,1,41.69121254846572
36,14,0,0,1,37.591411205045
29,20,0,0,1,42.650282945108685
21,28,0,1,0,45.70392597190616
28,22,0,1,0,41.253973422121
22,23,0,1,0,45.63931226759435
38,9,0,1,0,33.06159699341216
35,17,0,0,0,37.797577238958525
33,13,0,0,1,40.13566841981732
36,12,1,0,1,37.85898941966983
29,10,1,1,1,41.68766325457907
32,25,1,1,1,43.948714674791965
32,14,1,0,0,38.73460523361555
35,23,0,0,0,37.37836814472585
32,16,0,0,0,37.217052892454255
23,17,0,0,1,43.14574116889381
38,15,0,1,1,36.80014062319591
25,19,0,0,1,42.56064590797348
37,22,0,0,1,38.73262979641596
21,13,0,1,0,45.12478342855308
35,22,1,0,1,40.67824409418479
34,15,0,0,0,37.4832525834132
26,13,1,0,1,42.34518930210372
36,21,1,1,1,40.36619293984448
