age,income,education_level,hours_worked_per_week,smoker_status,alcohol_consumption,physical_activity,dietary_adherence,life_satisfaction
28,15,13,8,0,1,0,0,34.775662335516294
32,16,7,12,0,1,0,0,34.35853853829681
38,18,13,15,1,0,1,1,35.41078025041063
28,22,14,12,0,0,0,1,38.07487784031065
32,16,15,8,1,0,0,0,30.22821899393166
26,27,10,10,1,1,0,0,33.157519916773154
34,17,16,14,1,0,1,1,35.45836548681473
24,22,7,10,0,1,0,0,37.42954823952864
26,20,12,11,1,0,0,1,40.77286359194603
23,11,14,16,1,0,1,1,46.6767872071868
40,17,12,9,0,1,1,0,27.563100817419468
18,13,10,10,1,1,1,0,42.90015346901427
30,17,10,11,0,0,0,1,38.93070966474735
37,19,8,18,0,0,1,1,38.811776091140175
22,16,14,6,0,1,0,0,35.572767230401645
34,15,16,20,1,1,0,0,33.940306449303826
32,16,14,12,1,0,1,1,36.890334462813534
34,18,10,11,1,0,0,0,29.924362776114943
33,20,9,10,1,0,0,0,30.36662813201024
28,14,10,13,0,1,0,0,36.30522455494142
24,19,11,12,1,0,1,1,42.0546398207361
32,5,8,9,0,0,1,1,42.78696896831104
18,17,12,17,1,1,1,1,49.05489813463167
34,10,15,7,0,0,1,1,35.887765454830905
26,23,12,5,0,1,1,0,30.4831369870833
40,15,14,9,0,0,1,1,31.574338456879826
35,22,11,13,1,1,0,0,29.57453250285773
20,23,12,16,0,0,1,1,45.96485707359675
29,15,16,17,0,0,1,1,39.81782102209535
27,16,17,12,1,1,0,0,32.07556893535416
30,20,12,10,0,0,1,1,36.24382267454423
21,16,14,11,1,1,0,0,38.16027788574275
32,12,14,10,0,0,0,0,30.52529012495976
27,15,8,11,0,1,0,0,37.00949535744859
26,21,8,10,0,1,0,0,34.6488253113111
33,22,10,10,1,1,0,0,28.988226069994276
33,29,11,15,0,1,1,1,36.612047525942174
28,17,11,9,1,0,0,1,39.67107890647248
16,20,12,20,1,0,0,1,51.09087330992149
22,21,17,10,1,0,0,0,35.177811776508776
45,13,9,11,1,0,1,1,31.713304308554445
37,20,8,14,0,1,0,1,37.26856418069266
27,14,14,21,0,1,1,1,45.40219184795112
33,28,13,7,1,0,0,0,24.728628171543782
32,15,10,5,1,0,0,1,37.74439893159252
24,17,16,7,0,0,0,1,39.36874747208083
33,17,10,9,0,1,0,0,30.034752739294387
33,17,12,18,0,0,0,1,41.44018447415526
24,17,11,13,1,1,1,0,38.60772185449614
27,16,8,7,1,1,1,0,33.677914956951504
31,19,14,14,0,0,1,1,38.02782187664248
37,18,15,17,1,0,0,1,34.18755834865197
22,9,17,22,1,1,1,0,45.6912169258292
39,22,9,13,0,0,0,1,33.31639286017528
18,18,11,14,0,1,1,0,39.75222357161456
30,25,6,13,1,0,0,1,38.88364782898732
14,16,7,12,0,0,1,1,51.59095451389116
20,20,15,14,1,0,1,1,45.786005968069375
36,20,16,17,1,0,1,1,35.87019482946614
36,18,11,21,1,0,1,1,40.449019393975256
28,19,12,27,0,0,0,1,47.40757396517224
39,17,11,11,1,0,0,1,32.86108202489912
44,20,13,18,1,0,0,1,31.89037359357134
36,22,14,9,1,0,0,0,24.132422632068707
36,12,11,19,0,0,0,1,41.69173481004821
28,17,17,15,1,0,0,0,35.6882858754358
26,9,11,14,1,0,0,1,45.47104870582114
26,29,7,9,1,1,0,0,31.91404929287871
28,16,4,16,1,0,0,1,45.77493686923568
27,20,12,17,0,1,0,0,37.31117446269749
31,16,7,9,0,0,1,1,39.42619163030084
28,15,10,9,1,0,0,0,32.37510180877674
23,11,12,22,1,1,0,0,43.3931992673821
25,16,9,7,1,1,0,0,35.65329530123588
16,27,6,12,0,0,1,1,45.70895471938869
41,17,7,12,0,0,1,1,36.394213702909006
20,16,16,13,1,1,0,0,38.71358078722434
27,16,14,10,1,1,0,1,42.50378671379496
35,9,11,16,1,0,1,1,40.19089532714423
31,23,12,7,0,1,1,0,26.998292884984355
21,25,13,20,0,0,0,1,46.34762256067276
47,16,16,13,0,0,1,1,26.81889732365089
35,22,8,7,1,1,0,0,27.639994171758904
42,20,12,11,0,0,1,1,31.055657663650944
22,20,12,5,0,0,0,0,34.85015586671626
29,15,7,17,0,1,1,1,46.48187875492512
35,21,7,11,1,0,0,0,30.237397022960952
32,28,12,6,1,1,0,0,24.317904457004083
40,10,16,21,1,1,0,0,32.83943397777653
29,19,10,16,1,0,0,1,41.85953142350784
39,23,8,15,1,0,0,1,34.59263942085239
34,16,14,10,1,0,0,0,29.587798252099848
32,16,11,16,1,0,0,1,40.4482186117598
40,15,11,17,0,1,0,0,31.425317368720783
37,24,11,3,1,1,1,0,22.26257101110264
23,11,6,13,0,1,1,0,41.77202216197316
29,21,11,15,1,0,1,0,34.60914688062297
34,20,13,12,0,1,0,0,31.808621664065967
42,23,10,16,1,0,0,1,31.53783341124359
37,11,13,21,0,1,0,1,41.21619601827827
27,22,9,8,0,1,1,0,33.155724447679155
35,20,13,10,1,1,0,0,25.61639371099731
41,18,8,8,1,0,1,1,30.233618112237952
37,27,11,14,0,0,0,1,33.640637671351016
26,13,14,9,1,0,0,0,33.876852287248894
30,26,11,17,0,1,1,0,32.02813339190515
30,13,13,20,1,0,1,1,42.695803955161466
23,17,14,8,0,0,0,0,36.41654518693372
39,25,14,10,0,1,1,0,22.631818460414294
33,4,13,11,0,1,0,1,41.86142135848243
24,20,8,13,0,0,1,1,46.162454380079694
26,15,8,3,0,1,1,0,34.27207388952745
15,12,10,14,1,1,1,0,44.57544565762327
34,12,9,15,1,0,1,1,40.30691878083268
28,18,12,14,1,0,1,0,35.33432116623774
29,10,9,10,0,1,0,1,42.62328656699621
29,19,10,20,0,0,1,1,43.13971399549853
37,27,14,22,1,1,0,0,30.32582180182036
23,15,11,6,1,1,0,0,36.12104447772161
26,15,12,16,0,0,0,1,44.14629139926628
38,26,13,11,0,0,0,1,31.758896711537115
17,23,16,16,0,1,0,0,39.92090143963458
33,11,12,11,1,1,1,0,33.00248565959752
27,18,8,9,0,0,0,0,37.0523085703312
32,12,8,8,0,0,0,0,32.97409366346541
30,24,11,10,1,1,0,0,30.17308713937549
28,7,13,15,0,0,0,1,45.60458796165396
23,13,15,12,1,1,0,0,37.95360379714679
30,18,14,7,0,0,1,1,37.34176353291438
31,8,13,10,1,1,0,0,34.932667611232816
18,18,10,16,1,0,1,1,48.82376251154442
28,25,14,14,1,0,1,1,37.53710486312367
28,19,9,12,0,1,1,0,33.953837083983
45,23,14,14,0,1,1,1,29.017896739860017
35,19,11,8,0,1,1,0,27.0148220857203
21,12,7,17,0,1,0,0,44.81750909123296
38,17,15,13,0,1,1,1,33.78440536113786
28,20,16,14,0,1,0,1,40.471023097923634
15,22,11,6,0,0,0,0,39.4198951143769
36,20,12,7,1,0,0,1,32.66897675188412
30,20,11,17,0,0,1,1,40.67593906852148
22,19,7,17,1,1,1,1,48.0029348339419
29,11,10,17,0,0,1,1,44.76962493679213
25,15,9,17,0,0,0,1,46.62068255907762
29,23,9,15,1,0,0,1,40.05157213642767
33,11,11,9,0,1,0,0,31.07702467611316
34,21,17,24,0,1,0,0,33.25745816374849
22,19,15,20,0,1,1,0,39.8534135246314
22,16,13,12,1,0,1,0,38.90742790963215
34,20,12,11,0,0,1,1,33.913809650704174
9,13,7,10,1,0,1,0,47.44262912517307
35,20,13,11,1,0,1,0,28.918022852282483
32,14,13,16,0,1,1,0,34.10273132942577
26,21,13,21,1,0,0,0,38.43151808852001
31,13,14,6,0,0,0,0,30.802503016350556
21,31,6,13,1,0,0,0,37.31570718703527
41,19,17,11,0,0,0,1,31.239628510043183
37,18,9,12,1,0,1,1,34.9058260215579
33,18,14,9,0,0,0,0,29.23630561551483
