age,income_thousands,years_of_education,smoker_status,exercise_routine,vitamin_supplement,health_score
22,12,15,1,0,1,45.45755744926027
29,12,16,1,0,0,44.714015705488045
34,21,16,1,0,1,51.83026326541799
30,16,9,0,0,1,56.01635719932912
31,16,13,0,0,1,51.90246682787779
10,6,10,1,1,1,50.23934559360198
34,14,18,0,1,0,47.130769523814045
39,14,15,0,1,0,47.9472686626079
44,12,14,0,0,1,50.26434891557885
28,15,9,0,0,1,55.165620169558686
33,12,11,0,0,0,51.13460876932425
26,19,13,0,0,1,52.294906265563085
35,14,6,1,0,1,60.03989472176082
15,19,9,0,1,1,54.1115282639356
28,11,9,0,1,0,54.84373695723849
33,22,13,1,1,1,54.99882728853393
33,17,11,0,0,1,56.01471478057496
24,22,7,1,0,0,58.355097980601975
26,19,15,0,0,1,49.378904351516354
34,24,11,0,0,0,53.93820695757932
27,10,8,0,1,1,55.5626927985908
40,9,8,0,1,0,54.52721806286669
36,22,11,0,0,0,55.55883928221876
40,25,15,0,0,0,55.36233205557788
45,19,9,0,1,0,59.22715336422315
44,9,14,0,1,0,48.4354802619887
35,19,13,0,1,1,55.98239677166477
29,15,10,0,0,1,54.40611719856759
31,18,12,1,1,0,51.3296702666495
28,17,12,1,1,0,53.43357681144353
26,19,18,0,1,0,46.83325692447491
26,14,15,0,1,0,47.59734875955749
28,17,9,1,0,1,55.37007880753944
44,20,12,1,1,0,54.49960722293329
29,19,9,1,0,1,56.76853960450952
39,23,19,1,0,0,47.48223504933448
34,16,12,0,0,1,53.02513521927215
21,14,10,1,0,0,49.237490055611424
40,23,12,1,0,1,57.00712918964827
31,15,12,0,1,0,51.05407155901248
26,14,14,0,0,1,49.0254381164422
35,14,10,0,0,0,51.58180249427871
39,21,9,0,0,0,57.65694413963537
35,17,9,1,1,0,55.73234238727271
33,14,15,1,0,0,47.87704929764522
39,1,11,0,0,1,46.87401951060719
31,20,12,0,0,1,55.6354717950158
33,17,8,1,0,1,59.33731325169176
23,17,10,0,1,1,56.78875164643883
25,12,14,0,0,1,47.33604177570685
30,24,11,0,0,1,57.32385245852285
33,18,12,1,1,0,50.13682706015666
35,18,12,0,1,0,53.53918866395245
32,24,13,1,0,1,53.92794641457007
35,20,8,1,0,0,56.32287839042278
27,17,12,0,1,1,53.15507751233933
27,18,11,0,0,1,55.41036887021093
26,20,13,1,0,1,53.35618532619461
28,21,14,0,1,1,53.007452125883184
23,18,12,0,0,1,52.5188845236017
36,20,18,1,1,0,47.51897467522314
36,18,8,1,0,1,58.66832805571234
32,18,11,0,1,0,54.55223375138901
29,14,14,0,0,1,50.10515462464295
51,9,13,1,0,1,52.52509917102686
33,17,9,1,0,1,57.7255287194149
26,20,14,0,0,1,52.62379898347153
39,21,10,0,0,0,57.90570643225762
28,20,9,1,1,0,56.14901390247395
30,12,13,0,1,1,51.68087221129485
29,17,9,1,0,1,57.45365780777915
32,29,10,0,0,1,60.03192144298731
23,13,12,0,1,1,50.9930077966731
11,15,9,1,1,1,55.81396635853709
25,7,8,0,1,0,52.43180187232986
50,19,11,1,1,0,56.96002603914033
36,28,13,0,0,0,56.1166606938658
40,15,11,0,1,0,53.460078375549294
26,25,13,1,1,1,57.12117159780247
38,18,12,1,0,0,52.48625207906528
27,18,7,1,1,0,57.156592793008144
24,23,12,1,1,1,56.75097116349734
31,25,8,0,0,1,62.34812435760151
37,10,9,0,0,1,54.93157861759131
40,25,10,0,1,0,57.29275475404033
29,34,11,1,0,1,61.21793959888681
33,27,13,1,0,1,55.5338210755657
36,6,11,0,1,0,49.11628758766428
42,16,12,0,0,1,54.551835984397776
26,18,13,0,1,0,50.04248390051265
44,21,11,1,0,0,56.05433316946846
12,9,11,0,0,1,49.34414903171826
28,13,10,0,0,1,54.14057902924228
25,26,11,1,1,0,57.02941071232094
22,15,12,0,0,1,52.05183398719596
25,11,14,0,1,1,46.11731612350804
38,23,17,1,0,0,49.74773347155287
25,25,11,1,0,1,56.23916186834151
31,22,11,0,0,1,57.36960589738155
34,15,13,0,0,1,51.08798707396967
