age,distance_to_library,books_read,has_library_card,participates_in_reading_programs,has_internet,library_access,educational_attainment
31,13,13,1,0,0,0,58.2860223232077
41,18,15,0,0,0,0,57.42849318228713
37,31,14,0,0,0,0,48.97231231958706
37,8,14,1,0,0,1,69.96433688406043
31,29,6,1,1,1,1,51.98007147618485
31,8,15,0,0,0,0,60.79880329256895
41,27,11,1,1,0,0,51.415668504138175
28,21,11,1,0,0,0,53.08555905883506
28,17,11,0,1,1,1,62.54430821018727
26,25,12,0,0,1,0,49.37785530923328
38,11,13,1,0,0,1,67.3416198699415
31,17,15,0,0,0,0,56.21390357389782
15,25,12,1,1,1,1,54.270554376736186
30,21,7,1,0,1,0,49.92646721310876
39,19,6,0,0,1,0,49.1305835328621
19,15,12,1,0,1,1,60.684936216496986
25,22,16,1,0,1,1,61.594221443065486
38,17,13,1,0,0,0,56.68206348522234
31,21,13,0,0,0,0,54.44333139406248
29,19,14,1,0,1,1,63.89490300748184
37,24,12,1,1,0,0,53.587458733063954
31,14,13,1,0,0,0,58.0646586363205
35,15,8,1,0,1,1,60.80106376353487
36,17,15,0,0,1,0,57.05864676878126
33,27,13,0,1,0,1,58.47927978699779
20,17,11,0,0,0,1,61.45674552087396
44,11,12,0,1,1,1,66.4222009697501
24,17,16,0,0,1,0,55.86663028793928
32,12,12,1,0,1,0,58.28825088841566
38,14,8,0,0,0,0,52.65554496187045
28,14,11,0,1,0,1,63.42497272358071
37,14,13,0,0,1,0,57.88761560775507
36,12,9,0,1,1,0,54.45121877982948
38,17,11,0,1,1,0,53.66085732225088
30,23,14,0,1,1,0,52.76457654421556
22,16,14,0,0,0,1,62.42986895054933
38,22,10,0,0,0,0,51.735171209620326
34,18,10,1,0,1,0,55.79470771354521
38,15,9,1,0,0,0,53.72545603226379
23,14,12,1,0,0,1,63.79427323158469
50,15,8,0,1,1,0,54.78684488347988
34,23,11,0,1,0,1,57.945560107936366
37,15,11,0,0,0,0,56.93869157336171
35,9,21,0,1,0,1,70.68851829969032
29,13,13,0,0,0,0,57.61228726428237
32,13,17,1,1,0,0,61.311874510766536
35,13,15,1,0,1,0,60.47019770549709
50,19,13,0,0,1,0,58.03461866224713
36,23,11,1,1,0,1,59.26419046184692
38,16,17,1,0,0,0,60.1001590422552
23,28,11,0,1,0,1,54.80776102202307
32,8,16,0,0,1,0,63.81462452697105
28,20,10,0,1,1,1,55.33045887177126
13,14,10,1,0,1,1,61.69738305039724
30,16,12,0,0,1,0,56.28244709728629
