age,income,distance_from_city_center,has_car,has_kids,is_married,owns_house,life_satisfaction_score
30,12,10,1,1,1,0,46.257656261646886
37,25,9,0,1,1,1,54.19830868038756
32,17,10,0,1,1,0,44.983881898140304
20,11,7,1,0,1,1,53.06524885936771
35,22,15,1,1,0,0,46.34368856562732
29,18,10,0,0,0,1,53.05087449387872
31,26,13,1,1,0,0,47.8310430080988
35,19,12,1,0,1,1,50.90583869695119
41,27,7,0,1,1,0,50.429607440751234
33,23,16,1,1,1,0,47.29966944506954
34,22,12,0,1,0,1,51.631749597630574
32,15,11,0,1,1,1,50.72782790910696
28,15,11,0,1,1,1,52.899789334166734
25,22,12,0,0,1,0,46.87698367733704
30,9,11,1,0,1,0,44.91198045961355
41,24,11,1,1,1,0,47.54509358755804
34,23,8,1,0,1,0,49.01987583043785
28,10,12,1,0,0,1,49.361675423992914
37,16,11,0,0,1,0,44.30561291795476
31,18,14,0,1,0,0,43.56189931121267
21,15,13,0,0,1,0,46.29159026352743
22,13,8,1,1,1,0,48.58070922240112
32,26,11,1,1,1,0,49.0120579127701
28,12,13,0,0,0,1,48.97711945061309
24,19,10,0,0,0,0,47.794883838235904
31,18,11,1,0,1,1,53.55299452605818
30,8,9,0,1,0,1,49.94822768192505
30,2,13,1,1,1,0,41.79603749840883
31,8,13,1,1,0,0,41.34417891876518
29,18,8,0,0,0,1,54.529979143152445
31,11,14,0,0,1,1,49.97883298178763
33,17,13,1,1,1,1,49.26107293202045
32,13,11,1,0,1,0,45.14453858975367
40,17,13,1,1,0,1,51.95299210325378
27,13,12,1,1,1,0,44.90542954907563
30,11,10,0,1,1,0,42.72367273889569
27,22,11,1,1,1,0,48.72690121516426
36,21,10,0,1,0,0,47.82252415072148
27,8,11,0,1,0,1,48.37513720163354
31,17,10,0,1,0,1,51.578638270320624
19,12,13,0,0,1,1,50.5793366801589
41,19,8,0,1,0,1,52.90256636941316
28,16,15,1,0,0,1,51.11189097318079
32,12,11,0,0,0,1,50.70623874123668
38,20,14,0,0,0,1,50.72487452879551
26,11,9,1,0,1,1,52.11097978446895
23,15,12,0,0,1,0,47.73950693108407
37,11,7,1,1,0,1,51.29065093771961
20,25,11,1,0,0,1,54.57012440192299
33,13,13,0,1,0,0,43.368732672995584
38,28,12,1,1,0,1,55.840128824603816
33,29,13,0,1,1,0,48.5345382481685
34,11,10,0,0,1,1,50.4165676252622
47,16,12,1,1,0,0,42.91856788080576
44,13,7,0,1,1,1,51.972045012188175
30,14,8,1,0,1,0,45.9806414043599
21,17,13,1,1,1,0,47.93979934078254
