age,total_income,smoker,drinks_alcohol,has_pet,owns_vehicle,happiness_score
35,20,1,1,0,1,32.109058841252086
28,8,0,0,0,0,29.20298331749669
37,21,1,0,0,0,23.00610611925897
33,17,0,0,0,1,34.53086388585453
39,15,1,0,0,1,32.90278041779833
23,13,0,0,0,0,31.172921866341365
32,16,0,1,1,0,27.472439829259343
18,8,1,1,0,0,34.17245714726222
34,13,0,1,0,0,26.82582123426885
14,22,1,1,0,0,30.75399283979397
31,27,1,0,0,1,32.10210793031484
29,10,0,0,0,1,36.5053150074226
31,10,1,0,0,1,35.28022261413442
32,18,0,1,0,1,33.211569609297946
29,5,0,1,0,0,31.589198903637605
40,19,0,1,1,0,23.6401579958528
23,8,1,0,0,1,40.93795362480982
34,16,1,0,0,1,33.61996100322301
36,25,1,0,0,1,29.209482583763805
36,16,0,0,0,1,33.87791475174782
42,24,1,0,1,1,29.553392011131283
36,13,1,0,0,1,32.883243435223235
37,19,0,1,1,0,23.500376301379426
26,19,0,1,0,0,27.835537388204603
23,16,1,0,0,0,28.750567188254124
24,22,1,0,1,1,37.31981810345479
40,11,0,0,0,1,32.349787309361005
28,14,1,1,1,1,37.46526161033304
27,17,0,0,1,0,29.10149564582861
45,19,0,1,1,1,29.501947004130123
38,9,0,0,0,0,24.520092388371392
35,15,1,1,1,1,35.41915077250623
45,23,0,1,1,1,28.282890533739497
27,13,0,0,0,0,28.676314575819188
28,21,0,0,0,1,33.46352287696897
21,14,0,1,0,0,29.76916624171358
39,10,0,0,1,0,26.76485543774049
29,21,0,0,0,0,25.453456580402563
31,14,0,0,1,1,35.19514745656168
28,17,0,1,0,1,34.65074016881705
37,20,0,0,1,0,24.73108343729541
38,13,0,1,0,1,33.58670468865398
30,18,0,1,0,0,26.0455445616588
36,29,0,0,1,0,21.449958436164707
41,15,1,1,0,1,29.93314418045367
28,32,0,0,1,0,23.659879856113527
44,26,0,1,1,0,19.614117320706885
32,30,1,0,1,0,20.416432106367125
35,16,0,0,0,1,32.13955600229189
25,25,1,0,0,1,34.25030043045558
27,26,1,0,1,0,25.930105577738843
30,18,0,0,1,0,28.47719043298559
35,14,0,1,0,0,25.15830851040548
22,23,1,0,0,1,37.37310470371748
24,20,1,0,1,1,40.53060402473607
35,21,0,0,0,1,32.164484429973406
32,13,1,1,1,0,27.615996786621277
25,15,0,0,0,0,31.22823924153371
26,25,0,0,0,0,24.367198664521656
28,10,0,1,0,0,29.972855551431444
24,17,0,0,0,1,37.29213514348627
31,18,0,1,0,0,25.40600133066882
39,23,0,0,0,0,21.64752750745232
28,21,0,1,0,0,26.3094939050868
21,15,1,0,0,1,38.77706931592631
32,25,0,1,0,0,24.103000450777625
17,19,0,0,0,0,32.79096466391384
30,18,0,0,1,0,27.159172690623397
34,20,0,0,0,1,32.74856982545255
19,25,1,1,1,0,28.818406056968826
40,19,1,1,0,1,30.15298469773231
31,17,0,1,0,1,33.79223990706433
26,21,1,0,1,1,37.392335234221925
43,11,0,0,0,1,31.582225316992417
33,10,1,0,1,0,29.306417680844056
16,15,0,1,0,0,33.321340939643854
15,22,1,0,0,1,39.697562423045696
50,16,0,1,1,1,28.79960809781184
29,18,1,0,1,0,28.624380681317948
25,15,0,1,0,0,29.15741482553778
31,13,0,0,1,0,27.414977771307985
26,10,1,0,1,0,31.0511056761353
38,21,1,0,0,0,22.88076811251717
22,18,1,0,0,1,39.09085948905821
37,17,0,0,1,1,33.7321246377614
29,21,0,0,0,0,25.811178572599434
30,20,1,0,0,0,25.24921128595666
30,14,1,0,0,1,32.79949171323151
16,12,1,0,1,0,32.90036910849546
21,23,0,0,1,0,29.31581475566618
28,14,1,0,1,1,38.87198825342036
29,20,0,0,1,0,27.65096867684069
30,25,1,1,1,1,31.326245572937427
