age,pre_test_score,hours_studied,gender,low_income_status,prior_tutoring,new_teaching_method,end_semester_score
35,24,13,1,1,0,1,93.00739553755228
29,12,14,1,0,1,1,85.22944156652751
40,18,10,1,1,0,0,90.30581341664109
28,17,10,1,1,1,0,82.60150236422731
32,19,9,1,1,1,0,84.6607946480092
19,18,16,0,1,0,0,76.88124569333894
35,15,7,1,1,1,1,86.06300043454912
35,10,10,1,1,0,1,85.80981251111301
20,20,10,0,1,1,1,80.12564945191411
34,31,18,0,1,1,1,98.519967560654
26,15,9,1,1,1,1,81.03014796191663
37,19,16,1,1,1,0,91.46897793367036
34,14,13,1,0,0,1,87.14997934423405
25,17,13,1,1,1,1,83.51244463519858
37,13,13,0,1,1,1,89.89742735793526
38,23,11,1,0,1,1,94.43735102026238
32,10,11,1,1,0,1,83.10693284022872
34,19,12,1,1,0,1,90.75592676080592
44,11,14,1,0,1,1,94.0640826576701
31,24,12,0,1,1,0,89.16824386341207
24,14,20,1,1,1,0,79.35934536972931
32,12,10,0,1,1,1,85.31955162508484
36,14,11,1,1,1,1,88.72692938951386
38,17,5,1,0,0,0,86.87834105946995
30,9,13,1,0,1,0,78.8852427306429
26,18,8,0,1,0,0,79.7747887387129
29,15,12,0,1,0,0,81.20597106784868
45,29,10,1,1,0,0,101.43432385412446
40,26,12,0,1,0,1,99.19349045983655
48,12,14,1,0,0,1,97.30375561283763
18,22,11,0,0,1,0,77.32907809595875
29,16,12,1,1,1,1,86.80961097707004
36,14,8,1,1,1,1,89.56611435835975
39,18,9,1,0,1,1,92.29963185510772
33,14,8,0,1,0,1,85.50460320605194
12,20,12,1,0,1,0,71.46307317073345
28,18,10,0,1,1,0,83.2921016844768
32,20,14,0,0,0,1,88.28098645582713
27,20,5,1,1,1,1,83.79526364044482
21,5,14,0,1,1,1,72.01169126733089
48,12,9,1,1,1,1,96.43419400266546
25,11,13,0,0,0,0,76.87140333530662
21,18,8,0,1,1,1,79.45274224234778
21,19,12,0,0,0,0,77.23493811447216
33,12,15,1,1,1,0,83.04000770105795
21,18,10,1,0,1,0,77.97477913311918
45,24,9,1,1,0,0,100.17964394984176
30,17,11,0,1,0,0,81.67009412336351
47,20,6,1,1,0,1,100.44008066102003
32,20,6,0,1,0,0,85.34355227283713
22,10,10,1,1,1,1,77.585614156281
31,13,14,1,1,1,1,85.77996843277987
36,16,13,1,1,1,0,89.49321062655874
41,9,5,1,1,0,0,86.24816879605262
37,21,16,1,1,1,1,95.55210173223423
32,18,11,1,1,0,0,83.95067116490291
36,20,14,0,1,1,0,90.21996802575252
45,23,11,1,1,1,1,100.7538629907346
18,23,10,1,1,0,0,75.15119772413041
18,11,11,1,0,1,1,75.18092885919111
22,19,12,1,0,0,0,76.62253282030751
31,28,14,1,1,0,0,90.57177028472957
22,17,13,1,1,1,0,75.84592494495506
23,29,10,1,0,1,0,85.84200018031456
34,24,12,1,1,1,1,94.75219855869445
22,9,12,1,1,1,0,74.9630903571472
39,18,4,1,0,0,0,86.33607205422871
32,20,10,1,0,1,0,87.51904376926154
41,8,10,0,1,0,1,87.22155609976971
29,10,19,0,0,1,1,84.39644410289148
20,24,8,1,1,1,0,78.53054664274038
33,27,14,0,1,1,1,94.10924322282472
42,22,16,0,0,1,0,96.580286149192
22,23,11,1,0,1,0,77.12275632274323
33,18,13,0,1,1,0,86.59895490750333
29,15,15,0,0,0,0,80.94161021880302
27,4,12,1,1,1,1,77.3271251503439
35,13,12,1,1,0,1,87.24023228451425
24,19,19,1,1,0,1,85.6910308038024
33,14,12,0,1,1,0,84.38346567620776
35,10,13,1,0,0,0,84.12835358390973
35,24,11,1,0,0,0,90.63302124646695
35,21,16,1,1,1,0,91.3864921208026
24,17,12,1,0,1,1,80.72487740391435
17,13,13,0,0,0,0,71.63163286161651
25,11,9,0,1,0,1,76.63812376849314
31,13,13,1,1,1,0,83.00380407713794
28,22,13,0,1,1,1,88.18295327198231
22,4,9,0,0,1,1,70.20813667942514
25,13,8,1,0,1,0,76.52373163661449
29,18,11,1,0,1,0,81.5423616838469
13,18,14,0,0,1,1,73.25851220781854
41,14,13,1,0,1,1,93.68386054527016
34,24,16,0,1,0,1,92.67463727460354
32,20,7,0,0,1,1,87.4135770017874
36,22,12,0,0,1,0,89.9764902216905
36,25,8,1,1,1,0,94.30350098059512
33,28,11,1,1,1,1,95.98813336705732
41,30,12,0,1,0,1,99.81461401706392
21,14,14,1,1,1,1,79.65314987230953
36,13,14,1,0,1,0,86.96336296089264
45,15,16,0,1,1,0,95.83248031091526
23,19,15,1,1,1,1,84.11293026757129
31,14,13,0,1,0,0,83.78431283222478
32,21,18,1,1,1,0,88.7701566505701
34,14,9,0,1,1,1,86.74268866296319
38,16,13,1,1,1,0,88.7885763205174
33,9,7,1,1,1,1,83.96253550603753
32,13,12,1,0,1,1,85.23469696029187
20,10,12,0,1,0,0,70.19574049262818
33,15,8,1,0,1,0,82.95695804367857
40,16,12,1,1,0,1,92.19388810946138
30,19,13,1,0,1,1,86.81503966406382
23,20,12,0,1,1,1,82.54581127174863
32,20,12,1,1,1,0,87.64791127398075
33,10,11,1,1,1,0,83.57720543283683
28,8,8,1,0,1,1,80.00009907818495
29,15,13,1,1,1,0,82.58021619685242
26,22,9,0,1,1,0,83.00072432618734
34,21,11,0,0,1,1,93.08679310301608
35,20,16,1,1,1,0,91.13946286677051
27,22,12,1,1,1,0,84.15305435121779
42,30,8,1,1,1,1,100.46269754782024
31,15,12,1,1,1,0,83.08847763519074
33,16,10,1,1,0,1,87.58429851468662
40,15,10,1,0,0,0,90.39858821706912
47,20,11,1,0,0,1,101.4473753289066
31,26,17,1,0,1,1,94.5033013192101
35,16,12,1,1,0,0,85.99498817029344
31,21,12,0,0,0,0,86.09336762204428
30,16,13,1,1,0,0,82.47500586920702
33,21,13,0,0,0,1,90.68723200105472
42,13,10,1,1,1,1,91.81030945934614
26,18,15,1,1,0,1,84.91867673001285
25,26,18,1,1,0,1,89.74435255340867
38,14,11,1,1,0,0,88.29754264129423
27,8,9,0,0,1,1,77.62558526652373
27,18,14,1,0,1,0,82.79646142192362
33,23,12,1,0,1,0,88.28113830486284
34,16,13,0,1,0,1,87.08938553609008
33,6,7,1,0,0,0,79.06494375247551
24,23,16,0,0,1,0,83.240055615202
25,23,12,1,1,1,1,86.73379832464195
31,26,10,1,1,1,1,91.71525414649015
24,22,13,0,0,1,0,82.37629838405132
25,22,16,1,1,0,1,84.855109663806
34,23,9,0,0,1,0,90.63222288297766
39,23,7,1,1,0,1,95.5249447218757
42,11,10,1,0,1,0,88.75737224922945
33,13,7,1,1,0,1,83.66134832193418
35,26,10,1,1,0,0,91.16377106932065
38,11,7,0,1,1,1,85.20530064161508
26,15,8,1,0,0,1,79.98969301753695
27,19,11,0,0,1,1,85.37762820560499
35,12,11,0,1,0,0,81.94969505392349
29,21,11,1,0,0,0,83.83588663849287
34,18,13,1,1,1,0,90.2775326991892
27,16,14,1,0,1,0,81.18892520361719
28,18,10,1,1,1,1,86.07814858813711
36,16,8,1,1,1,1,91.13977165650012
33,23,12,1,1,1,0,88.45330827094094
42,22,12,1,1,1,1,97.63867508783186
30,9,11,0,1,0,1,81.1033177618065
31,20,6,0,0,1,1,86.69962735588003
39,20,15,1,1,0,1,96.64750179942658
37,22,15,1,0,0,0,90.44910756429948
30,20,16,1,0,1,0,86.82197263420679
15,21,11,1,1,0,0,72.12441894730752
33,2,11,1,1,1,1,81.2018386037682
31,20,14,1,1,1,1,87.60497924331403
39,20,9,1,0,1,1,94.54389202793902
28,23,7,1,0,1,1,86.46596737478073
33,23,10,1,1,1,1,90.9177611516653
29,22,10,0,0,1,0,84.80759974621202
28,21,17,1,1,0,0,83.91760739636867
30,14,14,1,1,0,0,80.52854444870762
39,25,11,0,1,0,0,94.32570198022314
32,13,7,1,1,1,0,81.65941499386764
33,15,13,1,1,0,1,87.09460919021011
30,27,13,1,0,0,1,91.64047783934882
33,16,13,1,1,0,0,85.03835770907243
30,7,12,1,1,1,1,82.481354271575
28,22,17,1,1,0,0,85.26941004645329
33,11,10,1,1,0,0,82.27960709344863
44,21,15,0,0,1,0,96.98899031243296
31,21,17,1,1,1,1,92.10786472745592
46,21,13,1,1,0,0,98.10549886177157
