age,income,has_children,has_pet,lives_in_city,received_financial_advice,savings
31,24,1,0,1,0,59.43340840663997
30,21,1,1,0,1,68.13731830974474
36,22,0,1,0,1,67.01268017647043
27,11,0,1,0,0,57.571170946998215
32,17,0,0,0,0,58.81968847092142
45,25,0,0,1,1,68.65847141439428
35,13,1,0,0,1,65.1115798106132
22,26,0,0,1,1,66.58762242763208
24,15,0,0,1,0,59.47886536680192
21,15,1,0,0,0,57.734153645876646
33,17,1,1,1,0,59.56306948595724
18,9,0,0,1,1,65.90554493510523
34,23,0,1,0,1,67.63174392059041
35,23,1,0,0,0,59.766377612823575
31,15,0,0,0,1,66.86752953237689
45,9,1,0,1,0,60.20211883556474
30,10,0,1,0,1,65.61638002274265
40,15,0,0,0,0,59.93747279639563
38,19,1,0,0,0,58.24437499589064
26,17,0,1,1,0,59.68941105038536
29,18,0,1,0,0,58.070379399197606
21,7,0,0,0,0,55.06767910532962
21,15,0,1,0,1,64.90470974290527
28,8,1,1,0,0,58.04619366957485
34,16,0,1,1,1,67.14848573016367
33,16,0,0,0,1,67.81040262481353
38,15,0,1,0,1,66.44412725521968
29,23,0,1,0,1,64.88919920101243
40,23,0,0,0,0,58.79843576922233
26,12,1,0,1,1,68.10393822714326
22,18,0,0,0,1,63.63773450090933
35,11,1,0,1,0,58.45757326285885
34,16,1,0,0,1,66.9001667869799
35,15,0,0,0,1,68.36804039032332
27,12,0,1,0,0,56.192177171627655
35,28,0,1,0,0,58.38660954361071
35,12,0,0,0,0,56.09690332648934
42,18,0,0,1,1,68.49334519111557
34,19,0,0,0,0,57.404200923688336
30,25,1,1,1,1,67.21940495461554
31,15,1,0,0,0,56.994338853409
37,7,0,0,0,1,67.66536155017178
17,13,0,0,1,0,58.175189699552
26,19,0,1,1,0,58.79841505140573
22,24,0,0,0,1,66.77426327113344
34,14,0,1,1,1,68.10207782072615
27,25,1,1,0,1,69.21836364287195
30,16,0,0,0,0,57.28667235570215
24,16,1,1,0,1,65.54480874165756
37,23,0,0,1,0,60.84152717854512
45,18,1,0,1,0,58.82991456598209
22,20,0,0,1,0,59.17755918172288
28,12,0,0,1,1,65.13423884797159
35,11,0,1,0,1,66.31423892475357
26,10,0,0,1,0,57.83648041302923
30,18,0,1,1,1,66.99218685944692
34,16,1,0,0,1,67.39608690407593
19,6,0,1,1,1,63.23949631939222
23,16,0,0,1,0,56.73248218506912
16,9,0,1,0,1,64.82586796209004
16,11,1,1,0,1,66.02012941406997
30,24,0,0,0,0,60.93680757841415
40,22,1,0,0,0,58.8726697043854
22,19,0,0,1,0,58.84606363205408
42,9,1,0,1,0,58.33463641607864
25,14,1,1,1,1,65.46659131295459
34,12,1,1,1,1,66.55834891690618
30,16,1,0,1,0,57.74270592641163
37,15,1,0,0,0,58.12546465072719
29,14,0,1,1,0,57.17849007256511
38,16,0,1,1,0,58.60146367498442
