avg_teacher_experience,avg_students_per_class,school_type,is_rural,avg_final_math_grade,tutoring_program,math_grade_threshold,avg_final_science_grade
10,1,1,0,2.911689538584815,0,4,8.154524131407193
13,3,0,1,2.427728659335296,0,4,7.13877162902107
12,3,0,1,2.828292546332364,0,4,6.740332336788757
12,0,1,1,4.197023258086505,1,4,12.396166033238362
11,2,1,1,5.1969241855242165,1,4,13.358289959943122
14,0,1,0,3.786843842469173,0,4,8.343302544239542
14,3,0,1,1.930600158663493,0,4,5.834830053045952
14,3,1,1,-0.1044112108405448,0,4,2.98513872622785
17,5,0,0,4.034678414360404,1,4,12.488736147276144
19,-1,1,0,4.1923918880174105,1,4,11.32107372413357
17,2,0,1,2.958482361757953,0,4,6.683378679196848
13,3,0,1,1.50495711160873,0,4,5.100500205796418
15,1,1,1,1.632566401160164,0,4,5.410855708215017
17,2,0,0,5.867978323609572,1,4,12.305616135401568
14,-3,1,1,2.736421050746558,0,4,6.979447834888321
16,0,1,0,2.6923330865547093,0,4,6.619222990720644
8,6,1,1,7.211873360705335,1,4,15.799406812843518
10,1,0,0,6.768033197203398,1,4,14.70157574175806
15,-1,1,1,-0.0612752953736146,0,4,1.54385616500901
9,5,1,1,3.16542187758233,0,4,8.945628292685969
15,0,0,1,6.292582515232767,1,4,13.06377234018518
13,2,1,1,5.398177242343795,1,4,13.771332119091651
11,3,0,1,3.354609858532002,0,4,8.26241313372982
16,2,0,1,1.8749960162315984,0,4,4.647599798518184
12,4,0,1,4.026110293386122,1,4,11.349466931239505
12,11,1,1,6.303503665545534,1,4,14.585183355172571
11,0,1,0,4.274460676459357,1,4,12.215832658365864
16,0,0,1,1.4926381231181147,0,4,4.57959558740313
12,-1,0,1,4.924617353562307,1,4,12.184761854448633
17,6,1,1,3.1064427405345136,0,4,7.49598659283808
16,6,1,1,1.5215470171894945,0,4,5.571397356160946
17,8,1,1,3.4949781438855645,0,4,8.94671046585677
18,1,1,1,4.2490517877034994,1,4,12.206749553911605
15,7,1,0,2.9020799147414102,0,4,7.724572014088554
17,-1,0,0,1.6973603033331632,0,4,5.142791983374786
15,9,0,1,3.085610193919766,0,4,8.547179756471415
12,3,1,0,6.151056813331378,1,4,14.104420057083976
13,3,1,1,1.7712458809758305,0,4,5.930017920794668
14,0,0,0,8.311882033008537,1,4,15.41697585356117
14,1,1,1,4.3919711786530335,1,4,12.32127375833054
15,9,0,1,2.129704366044498,0,4,6.192355464678983
10,0,1,1,2.81770882758622,0,4,7.092798182225732
14,2,0,0,4.348783561217698,1,4,11.349947148461617
6,0,1,1,6.224555884366043,1,4,14.236607965715995
15,2,1,1,4.425464820462104,1,4,12.04661861807351
9,3,0,1,6.968192819453035,1,4,15.217512404842456
13,4,0,1,-1.8798103155100556,0,4,0.3137488538061826
13,4,1,0,4.667103133705084,1,4,12.188464598962373
12,2,1,0,1.6092206034196308,0,4,5.725170657227023
13,2,1,1,3.990545256959242,0,4,8.769653888402594
14,-1,0,0,0.9695211052215708,0,4,3.821015361755728
13,4,1,0,6.61622065824117,1,4,15.134377329293836
10,0,0,0,2.2313073014484504,0,4,6.545394156471287
9,0,0,0,1.3268159319460144,0,4,6.129461852782449
18,3,1,1,6.903758745897603,1,4,14.222160579135302
14,1,1,1,6.268141608955528,1,4,13.93775590088408
16,1,1,0,0.4863229122577728,0,4,3.607568159835743
13,5,1,0,5.776246758852055,1,4,14.123859125550572
11,3,0,0,5.842932458841757,1,4,13.997048441386887
14,2,1,1,3.311472931361608,0,4,8.555785326480226
11,7,1,1,4.224934898900016,1,4,14.34752251384868
14,6,1,1,6.511917062385651,1,4,14.642234310461427
13,2,1,1,0.2292603072358292,0,4,3.2716567634803755
11,3,0,0,5.757842103552175,1,4,12.917329359062885
11,5,1,0,2.016982536940412,0,4,5.728547256156549
13,3,1,0,5.698586921344362,1,4,13.325206358116397
11,0,1,1,3.0685317617584094,0,4,7.442669370637669
13,4,1,1,3.0210239249936865,0,4,8.14737096255453
10,6,1,0,1.2489790978903663,0,4,5.548499678972591
14,9,0,1,2.019762134048464,0,4,6.917747682218771
10,-2,0,1,4.0494536882307,1,4,11.750389820483171
12,2,1,0,7.3679629159318205,1,4,15.188062307822817
13,5,0,0,0.9291470087097572,0,4,4.574086468316587
13,4,0,0,3.119647589543205,0,4,8.191598717600629
11,2,0,1,2.999381994742895,0,4,8.826311515853048
15,4,1,1,4.066464741770727,1,4,12.30888438654749
13,1,0,1,1.651335721681813,0,4,5.101157262300082
17,0,1,1,8.04379718561038,1,4,14.37781904722556
13,4,1,1,5.738923883592827,1,4,12.776800923885384
12,5,1,0,3.847963859057988,0,4,9.259027681485987
15,0,0,0,-1.666674844444108,0,4,0.3579333322483771
16,3,0,0,3.1938915101873198,0,4,7.068740998309268
13,7,0,1,3.012773743011597,0,4,7.303677566413506
11,6,0,0,4.370923769865261,1,4,13.009152050269192
8,5,1,0,3.1093564333687853,0,4,8.199716578409006
9,3,1,0,1.210284450242634,0,4,5.6611025807087305
14,4,1,1,3.2013865266135864,0,4,8.2087070178938
17,6,1,1,5.776563723483056,1,4,13.522130327778626
14,2,1,1,5.583991728169004,1,4,13.334670394009157
13,6,0,1,3.2229647342601453,0,4,8.07879360463771
14,3,1,0,7.688815486095446,1,4,15.112766542882165
18,4,0,1,2.0089799104211665,0,4,5.494562511310067
13,0,1,0,1.7164184887597118,0,4,5.000917991025252
14,-1,0,0,6.4760615487969,1,4,13.25856016994347
9,1,0,0,6.041546380874404,1,4,14.226510840444998
12,3,0,1,1.944790661386296,0,4,5.9408314417919135
12,6,0,1,1.5510125752646458,0,4,5.617788726053762
13,3,1,0,3.3991123557835574,0,4,8.496318999505949
19,7,1,0,5.37509216610865,1,4,13.447256641546128
16,4,0,0,-0.1479806645064671,0,4,2.206395718676243
15,3,0,1,2.814580250659025,0,4,6.203921033487741
12,3,0,0,7.851234707372951,1,4,15.21624326885856
17,1,1,1,5.858322433229631,1,4,13.577626350022346
11,3,0,0,3.239706952412064,0,4,8.288006278511233
16,2,0,0,5.705343748491988,1,4,13.404581452291636
14,2,1,1,4.423997570457535,1,4,12.6213028678014
14,3,0,0,5.508690910020508,1,4,13.217573186410965
8,8,0,0,1.3942563671281736,0,4,6.498339440329393
14,3,1,0,6.22132152690355,1,4,14.223804924802533
6,1,0,1,5.944729818345753,1,4,13.464263358718522
12,4,1,1,2.0396112874773613,0,4,6.3889301542600885
13,4,0,1,4.460605833982439,1,4,12.193885003487614
17,4,0,0,2.537518543959588,0,4,6.877194124532625
11,3,0,0,3.9048055879203343,0,4,9.334014053314334
14,3,0,1,1.5598565232644126,0,4,5.036678753132551
15,3,1,1,4.2809992519347615,1,4,12.390033145462295
9,2,1,0,4.5781867884466365,1,4,13.557493611465295
