income,tax_paid,home_ownership,married_status,credit_score,loan_granted,credit_score_cutoff,loan_amount
12,1,1,1,11.000274178227585,0,12,8.091185077749568
14,2,1,0,13.132279791645656,1,12,18.301894788526745
12,1,1,1,11.91326615309139,0,12,8.872622681955832
13,8,1,0,10.92972565449099,0,12,5.943854850725535
15,2,0,1,10.826936128330887,0,12,7.492416659196251
16,-2,0,1,8.820409619434743,0,12,4.408699755774178
11,-2,1,1,12.95221125608586,1,12,20.028434409905973
13,0,1,1,14.627714511571304,1,12,20.450998097950656
14,1,0,0,13.147677663551276,1,12,19.46718667807312
16,2,0,1,13.87892326520458,1,12,19.031399239235107
15,1,1,0,10.71551050980253,0,12,7.452261708991687
14,0,0,1,12.97146706783603,1,12,19.137883308334665
13,-2,1,1,10.106794189101487,0,12,6.1337869409534544
14,4,0,1,9.264893893168924,0,12,4.417938405723823
18,3,0,1,11.602022349595376,0,12,8.534324925143824
10,5,1,1,14.151301234621895,1,12,20.252902875952103
12,6,1,1,12.812322520895542,1,12,17.773471353685306
13,3,1,1,15.237275817798071,1,12,20.808350311964983
13,2,0,1,12.217210516834282,1,12,19.169463563077212
17,2,1,0,12.124803759151227,1,12,17.864920644927
14,0,1,0,13.549181343045133,1,12,19.777143289052734
16,4,0,0,12.073094738673042,1,12,17.605639391357794
15,5,0,1,13.817169892396482,1,12,19.14537606669601
10,1,1,0,13.765893844778915,1,12,19.47504964005484
14,5,1,1,10.951598716551237,0,12,6.649328665013295
17,0,1,1,9.44226488005631,0,12,4.715943576971828
17,0,1,0,13.906584293400195,1,12,19.734756620987135
14,-1,1,1,9.938681606129668,0,12,6.660745976671096
13,6,0,0,12.784397192959716,1,12,18.09215660860864
17,2,1,0,10.766519040941253,0,12,6.389608197526626
13,1,1,0,10.212904842311726,0,12,7.02251123756473
12,3,1,0,11.355438142283624,0,12,7.735026188450163
15,5,0,1,11.801003617634402,0,12,7.849767124453185
11,4,1,0,14.011408500205626,1,12,19.832651448339263
15,1,0,0,9.236435427268264,0,12,5.303056163145416
14,0,1,1,13.58753596158646,1,12,19.21584303607989
13,0,1,1,13.627397909872338,1,12,18.97296684293773
14,1,1,1,11.539041366457344,0,12,8.397013476819394
11,2,1,1,12.35895881199513,1,12,18.276825276872582
15,10,1,0,15.736127331797976,1,12,19.971255271213955
12,3,0,1,9.023941492809262,0,12,4.765715591531539
