test_score,socio_economic_status,gender,ethnicity,enrolled_students,reduced_class_size,cutoff,final_grade
17,3,1,1,10.833118066023498,0,13,10.289005418877004
17,-4,1,1,13.658414191003704,1,13,23.600309353430905
14,-1,1,1,9.930604705556531,0,13,8.293217768164167
18,6,0,1,9.48509950782957,0,13,9.067138226474368
19,1,1,0,13.61195419782651,1,13,22.87701773647094
12,7,0,0,12.190156982778587,0,13,9.994229449413789
12,4,1,0,10.783506695181272,0,13,8.379700742181921
13,7,1,1,17.376539908310185,1,13,25.57036865580564
11,0,0,0,15.834248124174293,1,13,23.383908782068403
15,-4,0,0,11.084474246155708,0,13,9.822184276938366
13,5,0,0,12.894563465936123,0,13,12.979300666404326
9,1,0,1,14.792161075745287,1,13,23.002510094957135
15,6,0,1,14.825473349806948,1,13,24.286549778871485
12,2,1,0,11.528785159978318,0,13,9.868757690891018
12,8,1,1,15.929842872514314,1,13,24.206193480033555
15,1,0,0,14.78792808364446,1,13,24.113837119064016
17,2,1,1,11.798232720524071,0,13,11.079870659912435
16,3,0,0,10.265119965024962,0,13,9.561935691472025
15,2,1,1,10.327309823932117,0,13,8.675202197703367
14,0,1,1,12.66338096920407,0,13,11.293905040311367
13,3,0,1,10.316453732362534,0,13,9.19370682924732
13,3,1,0,9.538457321109377,0,13,6.684448783096948
16,0,1,0,7.3285730376745715,0,13,5.051749652124345
18,6,1,0,15.325147245904688,1,13,25.796147598008066
9,7,1,0,13.23273448098032,1,13,21.9389714628772
14,8,1,1,10.800406720099994,0,13,9.547833207874769
10,8,0,0,12.66533806470466,0,13,10.725756719575037
14,4,1,1,16.21968889734445,1,13,24.34990713621311
11,5,0,1,12.603626797469907,0,13,12.186093702240864
17,2,1,0,13.203358986973775,1,13,22.921399231110144
11,6,1,0,12.499491755630991,0,13,11.256958906431192
11,2,0,1,14.11767745660176,1,13,21.77570769207132
13,5,1,1,13.94404513662728,1,13,23.23675980155697
12,0,1,0,12.428269824980514,0,13,11.23641408064653
13,1,0,1,11.5787430443901,0,13,9.981909978781587
13,0,1,1,16.498685005680795,1,13,24.89869357008744
18,3,0,0,11.306372451751614,0,13,11.209800539773616
15,3,0,0,11.75248972655334,0,13,11.15669723149337
18,-1,1,0,11.768824640323514,0,13,12.465133915957578
11,6,0,0,11.1089921107821,0,13,9.42852987122294
13,5,0,1,12.56006012705655,0,13,12.3230175428129
12,-1,0,1,12.085124944509545,0,13,10.97419996203208
13,-2,1,1,10.484535221459447,0,13,9.006024604196952
10,8,0,1,8.476939991907305,0,13,4.9771720400761215
12,8,1,1,16.275346103755826,1,13,24.196041259912107
12,0,1,1,14.09920446904698,1,13,22.022579482176663
13,0,0,1,8.786170361268235,0,13,6.268991976492817
9,2,1,1,14.165027159914647,1,13,22.249947102570275
14,3,1,0,11.776488773359548,0,13,10.348645224535302
13,1,1,0,14.030551004825854,1,13,23.11631343242736
15,2,0,0,10.353922706384598,0,13,8.45198180211507
16,3,1,1,14.253982034403338,1,13,23.688662552693884
16,2,1,1,12.994152845568946,0,13,12.461634783894365
13,2,1,0,11.446292465850323,0,13,10.518274867481628
16,1,1,1,15.5644835979243,1,13,24.55899375721454
16,0,0,0,13.825466692632236,1,13,24.01106221192837
12,7,0,0,15.215146197826884,1,13,22.75412894133144
13,0,1,1,15.0746682846488,1,13,23.059928313961645
16,1,1,0,11.918099216673106,0,13,10.91909224855087
15,1,0,0,10.95026564087532,0,13,10.168418020036452
18,1,0,1,10.975487755732892,0,13,10.209260634806666
14,4,1,1,10.0836860127513,0,13,8.747386240549096
13,3,1,1,15.356839186097154,1,13,24.581649780415905
14,7,0,1,14.375955743833952,1,13,23.48793424868313
17,3,1,1,15.248076135602208,1,13,24.221607340438315
15,0,0,1,16.204626056983354,1,13,25.68200802179749
11,1,0,1,12.586895800993862,0,13,11.32866925517171
12,1,0,0,9.094448627891405,0,13,6.236983419117344
14,4,1,0,13.402273860800218,1,13,22.509149164944603
15,8,0,1,8.790445178457023,0,13,6.401080310316537
18,1,1,1,13.723869211689903,1,13,23.81341906630627
11,4,0,1,11.776731230697202,0,13,10.3058631768845
17,0,0,1,12.787007737872818,0,13,11.777928014561276
13,5,1,1,14.176295652328172,1,13,23.011087816149544
14,0,1,1,14.184349389786,1,13,22.705481583367984
11,3,0,1,11.821109528199782,0,13,10.726207793379904
16,-2,1,0,14.850254184382576,1,13,24.401412963792968
14,5,1,1,13.23828586804692,1,13,22.43379302978867
11,1,1,1,16.242646725020133,1,13,24.35837499016784
12,3,1,1,13.343189162038628,1,13,21.750995680372103
16,5,1,1,13.557127539826084,1,13,23.326349896394053
12,2,1,0,13.442111002229638,1,13,22.796258935767547
17,1,0,1,7.921103509763426,0,13,4.881133462819444
17,2,1,1,13.99282184046074,1,13,23.469504716085865
14,1,1,1,11.369185930517297,0,13,10.452443013201089
14,-3,1,0,14.335894093743184,1,13,23.392854903960785
10,0,1,0,15.634975485095769,1,13,23.69039217093553
9,4,0,1,11.349078003799768,0,13,9.393637979235084
9,4,1,0,13.198979831389698,1,13,21.73452345085634
13,2,1,1,12.576134365171033,0,13,11.09311707393758
13,1,1,0,13.967558280813291,1,13,22.55074641323968
10,7,0,1,11.75048059224318,0,13,10.129450212763263
13,3,0,1,7.369146321338266,0,13,4.001258007696631
16,3,1,1,11.608175479583396,0,13,10.875880007516171
13,1,1,0,14.155871157787413,1,13,22.6427386707657
11,2,0,1,13.0324536378269,1,13,22.43788114032682
17,2,0,0,10.430710483536558,0,13,9.915915984096015
12,0,0,0,12.42030987195122,0,13,12.33019178691796
8,2,1,0,10.053343130318453,0,13,8.05527395092444
12,7,1,1,13.78784703603336,1,13,21.132911970606276
13,-1,0,1,12.863176919747971,0,13,11.756085885684094
11,1,1,0,14.120603373910576,1,13,22.822109309530365
17,6,0,1,12.783233147570916,0,13,13.511091818492083
14,4,1,0,14.781812901455208,1,13,24.077243876962847
17,0,0,1,12.741744056182704,0,13,13.026403518733764
11,3,0,0,9.659118380179956,0,13,7.232181492521379
11,1,0,0,14.524820930113751,1,13,23.36166612285462
17,6,1,1,14.247442265347676,1,13,23.86999400530462
16,4,1,1,16.605428480019526,1,13,25.22733516323687
12,2,0,0,9.977201483408768,0,13,8.16358738553423
13,3,1,1,11.741710235763115,0,13,9.621580625787674
13,1,0,0,10.45238208243224,0,13,8.395683983936816
16,4,1,1,7.206898554814007,0,13,4.848896784070407
10,-2,1,0,13.310867048318888,1,13,22.127903357158846
16,4,1,1,12.185374583329754,0,13,11.277799177807026
13,4,1,1,13.268839409372683,1,13,22.06342762121761
14,-1,1,0,15.8298886572722,1,13,25.21273398580216
13,-1,1,1,12.396069115869912,0,13,11.139737013050729
18,2,1,0,12.056062135496662,0,13,12.970211964815908
11,0,0,1,16.889237740355522,1,13,24.15158174579805
14,0,0,1,10.621911875597466,0,13,8.309928067667217
15,1,0,1,11.615718066959104,0,13,11.29619543292506
