company_size,industry_type,company_age,previous_incentives,previous_emissions,green_tax_incentive,cutoff,current_emissions
15,8,1,1,22.627194337178903,1,20,16.410582255691146
13,5,1,1,22.06148693977508,1,20,16.604814598459978
10,1,1,0,20.691705039417226,1,20,15.004488667956656
16,0,1,0,22.010949708886887,1,20,15.960404192836789
14,0,1,0,19.71553989844861,0,20,7.9168999122857056
17,5,1,0,22.28541565269056,1,20,15.608863089169528
12,4,0,1,18.29059706755361,0,20,5.529668556777608
15,6,1,0,21.80859357820821,1,20,16.12899540138335
15,-1,1,1,21.8198766245967,1,20,15.810127996097927
14,2,1,0,19.93663617677808,0,20,7.984890423207318
15,9,1,1,23.00477163663988,1,20,16.678250149016083
17,5,0,0,19.390186525053068,0,20,8.257537421549655
10,8,1,0,19.300531964547872,0,20,7.094888055093682
14,7,0,1,18.52972530367443,0,20,5.523149252165892
15,7,1,0,17.010555497813833,0,20,3.4459479973897573
14,4,1,0,17.100312454507723,0,20,4.526609900073243
15,3,0,0,19.26041770670008,0,20,6.424038322837554
18,2,1,0,17.186454912973794,0,20,3.6226628315125016
15,1,0,1,19.88423957443397,0,20,8.708671208467353
11,4,0,0,20.86757324034778,1,20,15.618650592794548
17,7,1,0,19.16812882860609,0,20,6.369373857772536
14,1,0,1,17.67332443224813,0,20,4.7218104585708245
13,2,0,1,19.975401058743675,0,20,9.5071922029656
12,3,0,1,21.22845396999385,1,20,15.486005121407487
14,4,0,1,19.310775759418757,0,20,7.544851644683397
14,0,0,1,16.802640672883967,0,20,3.2273256842829507
13,4,1,1,18.851010620773494,0,20,7.039011871525446
15,1,1,0,20.920954287122196,1,20,15.984869685957973
13,2,0,0,23.0389761882098,1,20,17.6258553013514
13,2,0,0,19.160425411104743,0,20,7.6720844599075475
9,7,1,1,20.116583787187054,1,20,14.705825646478894
11,1,1,0,18.012696036497175,0,20,5.227362115844632
12,1,1,0,20.246454350672906,1,20,14.187184630901086
10,6,0,0,16.305305824770734,0,20,3.5605567474440254
7,4,1,0,25.29807154597196,1,20,18.14238029097911
11,2,0,0,21.89657730318911,1,20,15.468967451989784
20,2,0,1,21.634803695768245,1,20,15.09464527106883
9,3,0,0,19.350696317709247,0,20,7.646047822317205
12,2,1,0,20.33140848765348,1,20,15.20080118842752
10,0,1,1,21.6903851807496,1,20,16.062940011922812
11,3,1,1,20.12035027266905,1,20,13.701891777438314
10,0,0,0,18.809347972762765,0,20,6.6578441789093
12,0,0,1,21.831291825963262,1,20,16.391674460970506
15,3,1,0,20.17575240264343,1,20,14.041893870224918
15,2,1,0,22.404682328854506,1,20,16.516533060497316
16,7,0,0,23.156738983674614,1,20,16.587720033769134
12,0,1,1,18.19704014324836,0,20,5.676203710112816
14,5,0,1,22.638734471399644,1,20,16.094632782030565
13,0,0,0,20.518595049629237,1,20,15.371501690353709
10,4,1,0,13.567124178101974,0,20,-1.2420593987314583
13,5,1,1,23.857394045256875,1,20,17.67754537760125
15,1,0,1,21.495818843564862,1,20,15.76311983564094
8,7,1,1,19.01406344337413,0,20,6.912633386234387
12,1,1,1,18.845490864977236,0,20,6.690956024904952
11,-1,1,0,22.67569548378825,1,20,17.251246863448447
14,6,0,1,20.48309709379101,1,20,14.816693958794977
19,0,1,0,18.126274777765385,0,20,5.40162706714648
14,4,1,1,20.635666676336136,1,20,14.420358859831005
14,1,1,1,19.472786461402222,0,20,8.430197251510686
16,5,1,0,21.586914703632853,1,20,15.21222599623097
10,5,1,1,22.63920230068148,1,20,16.505150072898875
13,1,1,1,17.057214504565593,0,20,4.210815409848869
17,3,1,1,20.390080157819156,1,20,14.654417280244184
9,9,1,0,17.731282716647716,0,20,5.493639835693608
11,4,1,0,20.44781011384662,1,20,14.493924558472347
16,7,0,0,18.459748947372663,0,20,5.542693290463351
13,3,0,1,22.69733393949952,1,20,16.584917249096335
15,6,1,1,19.16340716946447,0,20,6.860173065661142
12,5,1,0,25.55278210162052,1,20,18.566881930276228
17,0,0,0,18.970948713926827,0,20,6.217583932110284
14,1,1,0,23.088301325016708,1,20,16.981304479800617
13,2,0,1,21.514732002106435,1,20,16.08764869729059
13,3,1,0,22.88951717005041,1,20,16.44749800643827
10,3,1,1,22.10229409783014,1,20,16.789203631208416
10,0,1,1,15.456999483109453,0,20,2.261031345118919
14,1,1,0,22.7524024775502,1,20,16.932469503154156
10,4,0,1,15.606187266022356,0,20,0.7372360428112374
13,5,0,0,18.978626848838065,0,20,6.475497109763635
14,6,0,1,19.621919786142875,0,20,7.592190338302864
15,3,0,1,19.386734085214744,0,20,7.208053838212675
11,3,0,0,20.545903306182016,1,20,15.530482478720678
16,3,0,0,19.89722068249448,0,20,8.810189806766985
18,3,0,0,19.61959661522755,0,20,7.217580485687151
18,0,1,0,23.67697317927252,1,20,16.719882022720267
17,0,1,1,17.84056011821629,0,20,5.714457126981047
14,1,0,1,17.62159684595032,0,20,4.363847568017114
