paper_name,data_description,natural_language_query,answer,method,data_files
Synthetic Dataset,"The dataset comprises information from a two-year study conducted in public schools, investigating the effects of a new policy requiring biannual health check-ups for students. The data were collected from student health records, surveys about lifestyle habits, and school administrative databases. The student's health score was calculated by licensed physicians based on various medical parameters. The student's age and Body Mass Index (BMI) were recorded as continuous variables. The student's lifestyle habits, namely whether they smoke, participate in sports, and consume fast food, were noted as binary variables (1 for yes, 0 for no). Each unique student is represented by a unique student ID.

The 'policy_change' variable indicates whether a student belonged to a school where the new policy was implemented. The 'post_policy_year' indicates whether the data point belongs to the year after the policy was introduced. The 'health_score' is a numerical score representing the student's overall health condition. The 'age' represents the age of the student. The 'BMI' represents the Body Mass Index of the student. The 'smoker' variable indicates whether the student smokes. The 'sports_participation' variable indicates whether the student participates in sports. The 'fast_food_consumption' variable indicates whether the student frequently consumes fast food. The 'student_id' is a unique identifier for each student.","""Did the introduction of the biannual health examination policy improve the overall health of students?""",5.089956982132045,did_canonical,did_canonical_data_0.csv
Synthetic Dataset,"This dataset has been compiled to study the effect of an industrial reform policy on production output in several manufacturing factories. The data was collected over two-time frames, before and after the reform, from a group of factories which adopted the reform and another group that did not. The data collected includes continuous variables such as labor hours spent on production and the amount of raw materials used. Binary variables include the use of automation, energy efficiency of the machines used (energy efficient or not), and worker satisfaction (satisfied or not). 

- factory_id: Unique identifier for each factory 
- post_reform: Indicator if the data was collected after the reform (1) or before the reform (0) 
- labor_hours: The number of labor hours spent on production 
- raw_materials: The quantity of raw materials used in kilograms 
- automation_use: Indicator if the factory uses automation in its production process (1) or not (0) 
- energy_efficiency: Indicator if the factory uses energy-efficient machines (1) or not (0) 
- worker_satisfaction: Indicator if workers reported being satisfied with their work environment (1) or not (0)","""Does the adoption of the industrial reform policy increase the production output in factories?""",1.3208427907169762,did_canonical,did_canonical_data_1.csv
Synthetic Dataset,"This dataset was gathered from multiple schools across the state of interest. Each school was identified by a unique 'school_id'. Information was collected both before ('post_period'=0) and after ('post_period'=1) the implementation of the tutoring initiative. The 'received_tutoring' variable indicates whether a school was included in the tutoring program. 'Average_test_score' reports the mean test score of students in each school. Additionally, a number of school characteristics were also recorded. 'Average_class_size' refers to the average number of students per class in each school. 'Percentage_free_lunch' is the percentage of students in each school who qualify for free or reduced lunch, a common measure of student poverty. 'Urban_location' is a binary indicator of whether the school is located in an urban area (1) or not (0). 'School_size' is a binary indicator of whether the school is large (1) or small (0), and 'percentage_english_learners' is the percentage of students in each school who are identified as English learners."," ""Did the schools that received the additional academic tutoring experience an improvement in their average test scores?""",3.8469083334980994,did_canonical,did_canonical_data_3.csv
Synthetic Dataset,"The dataset was collected over a period of two years from households in rural areas of a developing country. The data was collected before and after the introduction of a government program that provided free solar panels to selected households. Household income, size, and appliance ownership were recorded. The regional government aims to understand how the provision of solar panels affects monthly electricity bills and overall energy consumption. The 'household_id' is a unique identifier for each household. 'after_program' indicates whether the data was collected before or after the program was introduced. 'monthly_income' refers to the total monthly income of the household. 'household_size' is the number of people living in the household. 'has_air_conditioning', 'has_heating_system', and 'has_electric_vehicles' are binary variables indicating whether the household owns these appliances or not. 'monthly_electricity_bill' refers to the amount the household pays for electricity every month.",Did the households that received the free solar panels experience a reduction in their monthly electricity bills?,4.0456692500080225,did_canonical,did_canonical_data_2.csv
Synthetic Dataset,"This dataset was gathered as a part of a study assessing the impact of a recent tax policy change on the sales volume of retail stores. The data was collected from 426 retail stores located in two different states, with half of the stores in a state that implemented the tax policy and the other half in a state that did not. Information about the store's location, whether it was subject to the tax policy, and sales volume before and after the policy implementation was collected. Additionally, data about the rent per square foot of each store, the value of their inventory, and whether the day was a weekend or holiday was also collected. The store_id represents a unique identifier for each store. The post_policy variable indicates whether the data was collected before or after the policy implementation. The rent_per_sqft variable represents the rent per square foot of the store's location. The inventory_value represents the estimated value of the store's inventory. The weekend variable is binary and signifies whether the day was a weekend or not. The holiday variable is also binary and indicates whether the day was a nationally recognized holiday.","""Did the introduction of the new tax policy lead to an increase in the sales volume of retail stores?""",4.891193930548267,did_canonical,did_canonical_data_4.csv
Synthetic Dataset,"This dataset contains information collected over a few years from various regions where a policy to subsidize the purchase of electric vehicles was introduced. The policy was not implemented simultaneously in all regions, but was rolled out in a staggered manner. The 'region_id' column represents the unique identifier for each region. 'Year' represents the year when the data was collected. 'average_income' represents the average income of the population in that region for that year, 'average_age' shows the average age of the population, and 'average_gasoline_price' indicates the average price of gasoline in that region for that year. The 'policy_in_effect' column indicates whether the policy was in effect in that region during that year. 'Percentage_EV_ownership' represents the percentage of households owning an electric vehicle in that region for that year. 'average_distance_driven_before_policy' shows the average distance driven per person before the policy was implemented. The 'average_distance_driven' column represents the average distance driven per person in that region for that year.","""Did the government's policy to subsidize the purchase of electric vehicles lead to an increase in the distance that people drive?""",8.205443486790724,did_twfe,did_twfe_data_4.csv
Synthetic Dataset,"This dataset was collected as part of a study analyzing the impact of adopting e-commerce on the annual sales of retail stores. Data was collected from 62 different retail stores over a period of 10 years. The dataset includes information about each store's size, number of employees, and inventory value. It also includes the store's location, whether it is in a shopping mall or not, and sales details such as weekend and holiday sales. The year of adoption of e-commerce varies across stores. The store size is measured in square feet, the number of employees is the head count, and the inventory value is in US dollars. Whether the store is located in a shopping mall is a binary variable, with 1 indicating it is within a mall. Weekend sales and holiday sales are also binary variables, with 1 indicating higher sales during weekends and holidays respectively.","""Did the adoption of e-commerce boost the annual sales of retail stores?""",5.518126741516703,did_twfe,did_twfe_data_2.csv
Synthetic Dataset,"This dataset was collected across a chain of retail stores in a country, over a period of 10 years. Each store is tracked individually for various attributes. The size of the store, the number of employees and the average customer count are recorded. Information about whether the store is located in a city, if it offers home delivery services, and if it has a loyalty program are also tracked. The annual sales of each store are documented. At different points in time, some of the stores started using an online platform for their sales. The dataset was collected to analyze the impact of online platform usage on the annual sales of the stores.

- store_id: Unique identification number for each store
- measurement_year: The year the data was collected
- online_platform_usage: Indicates if the store has started using an online platform for sales
- annual_sales: The total sales of the store for the year
- store_size: The size of the store in square meters
- employee_count: The number of employees in the store
- average_customer_count: The average number of customers visiting the store daily
- location_city: Indicates if the store is located in a city
- offers_home_delivery: Indicates if the store offers home delivery services
- has_loyalty_program: Indicates if the store has a loyalty program for its customers",Did the transition to an online platform contribute to an increase in the annual sales of the stores?,3.0314519928382966,did_twfe,did_twfe_data_3.csv
Synthetic Dataset,"The dataset is collected from a series of health clubs across different cities in the United States. The data was collected over a period of ten years, from 2010 to 2019. The health clubs in the chain decided to install air purification systems in a staggered manner across their different locations. The study was interested in investigating whether the introduction of these systems has any impact on the average duration of workouts of its members. Each row in the dataset represents a health club in a particular year, with different health clubs having air purifiers installed in different years. The 'club_id' represents the unique identifier for each health club. 'Measurement_year' denotes the year in which the data was measured. 'Membership_size' represents the total number of members in the health club. 'Average_age_of_members' is the average age of all the members in the club. 'Weekday_opening_hours' and 'weekend_opening_hours' are binary variables indicating whether the club is open for more than 12 hours on weekdays and weekends respectively.",Did the installation of air purification systems in the health clubs lead to an increase in the average duration of workouts of its members?,9.500944538118738,did_twfe,did_twfe_data_1.csv
Synthetic Dataset,"The dataset was collected over a period of 10 academic years, from various schools across the country. The data was collected from school records and it includes the average Mathematics score of students, the average class size, years of teaching experience of Mathematics teachers, and some characteristics of the schools. The aim of the study was to understand the impact of the new teaching methodology on the students' performance in Mathematics. Each row represents the data for a school in a particular academic year.
- school_id: The unique identifier of the school.
- academic_year: The academic year for which the data was collected.
- teaching_method: A binary variable indicating whether the new teaching methodology was implemented in the school in that academic year.
- math_score: The average Mathematics score of the students in that school year.
- class_size: The average size of a class in the school.
- teacher_experience: The average years of teaching experience of Mathematics teachers in the school.
- urban_school: A binary variable indicating whether the school is located in an urban area.
- private_school: A binary variable indicating whether the school is privately funded.
- federal_funding: A binary variable indicating whether the school receives federal funding.","""Did the introduction of the innovative teaching methodology improve the average Mathematics performance of students?""",3.821950733,did_twfe,did_twfe_data_0.csv
Synthetic Dataset,"The dataset comprises demographic and energy consumption details of families from a low-income community. The data was gathered over a period of one year, with the non-profit organization conducting surveys to collect information about family size, income level, whether the family has children, if they own a house, and if they own a car. The energy consumption details were collected from the electricity bills provided by the households. The utility company also provided information regarding any switch to energy-efficient appliances during the study period. The organization also recorded which families were assigned to receive encouragement letters to switch to energy-efficient appliances. Family size is the number of members in the family. Income level is categorized on a scale from 0 to 4, with higher values indicating higher income. The variables 'has_children', 'owns_house', 'has_car' are binary, indicating whether the family has children, owns a house, or a car, respectively. Monthly energy consumption is the average energy usage per month.",Did the families who switched to energy-efficient appliances reduce their monthly energy consumption?,6.980410870992743,iv_encouragement,iv_encouragement_data_4.csv
