X1,X2,X3,X4,X5,X6,Z,D,Y
12,24,12,9,1,0,7,2,65.59245496193846
12,28,13,9,0,1,7,-2,47.75227143686497
16,23,9,6,1,0,7,3,69.16650870972668
11,22,8,7,1,1,9,6,83.8952948981381
14,23,13,8,0,0,8,0,55.89294952729181
20,22,11,11,1,1,9,0,56.27543406763371
10,25,10,11,0,0,11,7,81.92639678771494
12,23,8,8,0,0,10,5,75.90957293861992
15,25,9,4,0,1,6,0,57.07515184405854
16,21,13,9,0,0,6,0,56.365024523246774
18,21,5,12,1,0,11,2,62.916610489082295
14,24,6,14,1,1,7,0,53.3748604436817
10,20,7,12,0,1,8,5,73.72204121604821
17,25,12,8,0,0,9,-4,40.88748130955312
10,25,12,11,0,0,5,0,56.40247041807204
16,25,13,13,1,1,4,-3,46.79213836767081
14,23,14,6,1,1,9,1,63.384714812457496
14,29,9,17,1,0,6,-1,57.850627552424555
15,25,11,5,1,0,9,0,57.22354318475991
17,27,7,11,0,0,6,-3,43.401840819392675
15,20,18,8,0,1,5,-2,49.58401862023486
15,24,13,10,0,0,8,0,59.217791615011336
16,26,10,8,1,0,8,-1,51.45526273538659
14,23,10,10,1,1,7,2,63.109095557049194
17,24,9,15,1,1,6,0,59.837260233811705
10,21,8,6,1,0,8,9,93.6617593812738
15,23,8,11,0,0,7,1,60.34645153757072
20,26,11,5,1,0,7,-4,42.82863051558451
11,26,13,11,0,0,9,2,65.52335467594187
14,26,14,7,0,0,5,-2,48.48102969578486
15,22,10,11,1,1,9,2,67.04787477379352
13,28,11,13,1,1,6,0,59.75115171046469
14,28,15,6,1,1,7,-5,38.06067001919272
16,28,15,5,1,0,7,-4,42.345300342133875
17,27,12,6,1,0,10,-2,51.608866868074315
11,25,11,5,1,1,10,1,59.07013288570083
16,21,10,11,1,1,7,3,69.72313628441621
13,24,10,9,1,1,9,2,63.61523835411609
12,28,12,11,1,0,8,-1,50.920430972285764
16,27,11,9,1,0,8,-3,40.62723390701678
14,27,13,11,0,1,11,-1,52.241498138502976
17,23,11,13,1,0,7,0,58.19321890249507
16,27,13,12,0,0,7,-4,39.483423275084455
14,27,11,12,0,1,8,-1,53.41173068340625
16,28,11,9,0,1,6,-5,36.922265381081836
16,27,9,3,0,1,13,0,53.52744805431825
16,23,14,8,1,1,7,-2,47.37673836071564
17,21,12,13,0,0,6,0,57.08128657992793
16,24,13,11,1,0,12,0,56.98483125568423
11,20,11,11,1,1,11,8,91.32128050038878
16,24,10,7,0,0,11,-1,50.25700913409706
14,24,12,14,1,0,9,0,57.81506236009038
14,24,14,9,0,0,9,0,55.832448756057154
17,22,7,15,0,1,9,3,69.90450415843148
10,23,6,8,1,0,6,5,72.96422733923706
15,21,17,12,0,0,5,-4,41.79861017884414
16,29,9,10,1,1,8,0,59.45568382346209
14,23,17,8,0,1,4,-2,51.327257749461175
14,23,11,11,1,1,6,2,65.4199182375245
13,23,8,10,0,1,5,-1,50.97232646131056
14,25,11,10,0,0,5,-3,42.935266184205794
14,28,9,12,0,1,6,-3,42.59056523523445
12,21,8,13,0,1,6,4,71.3825251605067
10,24,14,6,0,0,6,0,54.59721500165252
17,28,8,9,1,0,5,-2,48.54838754667728
13,24,14,9,0,0,5,-2,46.589759752162315
13,22,13,5,1,0,8,4,72.21604030540924
16,17,12,10,0,0,7,3,68.25322236079424
14,20,8,8,0,0,8,4,70.1055152910371
14,25,13,10,0,1,7,1,61.160273681805535
17,27,10,10,0,1,8,-2,51.20480667956639
10,24,11,7,0,1,5,3,67.16155534457191
14,26,14,10,1,1,6,-2,50.37988272338306
15,21,6,11,1,0,9,2,60.824813922774624
19,24,10,9,0,0,8,-3,45.311741235602774
13,22,10,9,1,0,12,6,80.04077578050875
15,23,11,12,1,1,6,0,58.29014569785756
16,26,9,11,0,0,9,2,68.87785558494504
16,26,13,10,0,1,9,-4,39.90473134295872
12,28,11,13,1,1,8,0,57.59326682241012
19,25,11,11,0,1,5,-1,56.06704099783946
