X1,X2,X3,X4,X5,D,Y
3,6,1,1,0,0,55.62710758798679
4,9,1,1,0,1,63.09340052088105
4,7,0,0,1,1,61.437514812514735
3,8,1,1,1,0,58.42912043146077
3,5,0,1,0,3,61.54952041234452
3,4,0,1,0,0,55.67184255264596
3,7,0,1,1,3,64.63840162200098
4,7,1,0,1,1,61.96117247212082
4,7,0,1,1,3,63.52876402837913
4,4,1,0,0,0,55.44475831190919
5,6,0,1,0,2,62.06513549198328
4,7,0,1,0,0,58.32834474378114
4,6,1,0,0,0,56.211840174509334
3,6,0,0,0,0,53.66141418510756
3,6,0,0,0,0,53.81094039499084
3,5,0,0,1,2,60.775538620411425
1,7,0,1,0,0,55.95918281756418
5,5,1,0,0,1,60.840546255828976
3,7,0,0,0,2,62.38903720152703
4,3,1,1,1,3,64.45064549635698
3,7,1,1,0,3,63.24944517720132
3,5,0,0,0,3,62.92051784514903
3,8,0,1,1,3,63.2944629809447
4,6,0,1,1,2,64.14292287952209
4,7,1,1,0,3,64.02265513066058
3,7,0,0,0,0,57.15227287681974
3,6,0,0,0,2,61.50348437946774
2,6,0,0,1,2,61.07337687024131
4,5,1,1,0,0,57.497167733842275
3,4,1,0,0,1,59.897285492784455
3,5,0,0,1,2,62.330760255832075
4,6,1,0,1,3,62.786770311027055
4,6,1,1,0,3,67.03017479372022
3,5,1,0,1,1,62.13124125600074
4,7,0,0,0,1,60.925838556875874
3,5,1,0,1,3,60.50243336462559
3,6,0,0,0,1,60.6448489626939
4,6,0,1,0,0,56.152724754430295
5,5,0,0,1,0,55.257228832362536
3,5,1,0,0,2,59.81579094472977
4,6,0,1,0,1,61.045344860492335
3,8,0,1,0,0,58.523840589897155
2,6,0,0,1,3,63.05361409510301
3,3,1,0,0,0,55.946497785226
5,5,0,0,0,2,59.72540103005024
4,4,0,1,0,0,55.99780706143036
5,6,0,0,0,2,62.17010665006346
2,6,0,1,0,0,56.70949236792411
3,4,0,0,0,0,54.63379809550738
4,5,0,1,1,2,61.443890755401796
3,4,0,1,1,3,64.1773760017128
5,5,0,0,0,0,54.14603400998134
5,5,0,0,0,2,61.36400355026459
4,6,1,0,0,1,62.46762450493741
4,8,0,0,0,1,62.75228360717941
3,9,0,0,1,3,64.2526141247145
3,6,0,0,1,2,62.47333040521291
3,5,0,0,1,3,61.36893346508575
4,6,0,0,0,1,60.28704756498579
2,5,0,0,0,3,61.7575578319563
3,6,0,1,1,2,62.88746982428644
3,4,0,1,1,3,64.55581564442741
3,6,0,0,1,3,61.33899253916805
3,9,1,1,1,3,65.60759117477848
3,7,1,1,1,0,56.961517454587295
5,4,0,1,0,0,54.513734719265614
4,5,0,0,1,3,62.32271805277339
5,6,0,0,0,3,63.077178950234234
3,3,0,1,1,1,60.57268642260641
3,6,0,1,0,0,56.09024359909609
3,7,0,0,0,1,61.685249244429166
3,7,0,0,0,3,62.18056887524282
3,6,1,0,0,2,62.87976829798926
3,5,0,1,0,0,57.47289848256882
3,6,0,1,0,3,62.9779696955183
3,5,0,0,1,1,60.16540555764262
3,5,0,0,0,3,62.935277256817955
4,5,1,0,1,0,55.6484982476898
4,5,0,0,0,2,59.818768716444204
3,4,0,1,1,3,62.84213869819831
4,5,1,0,1,0,57.396316966359066
3,6,0,0,0,3,61.33719243339709
5,4,0,0,0,2,61.11843260307625
4,4,0,0,0,3,63.096572173810905
3,6,0,1,1,0,55.807684827435715
3,6,1,1,0,1,61.411326338348054
3,5,1,0,1,1,60.68854909014045
3,5,0,0,1,3,61.849450403642
4,7,1,0,0,2,63.52187508724178
3,5,1,0,1,3,64.66173667753684
4,6,0,0,1,0,56.30446037264219
4,3,1,0,0,3,62.156055381054074
5,6,0,1,1,0,57.36168700912013
4,3,0,0,1,3,61.01144257694977
4,4,1,1,1,1,62.89283157032764
4,7,0,0,1,3,65.2874780314717
4,6,0,0,1,3,64.31350877406268
4,4,0,0,0,2,60.288219503325415
5,7,0,0,0,3,62.09603283888836
5,5,1,1,0,3,64.53891184378963
4,8,0,0,1,2,61.50219999354333
4,5,0,1,1,2,62.56715620160642
3,6,0,0,0,1,60.21572316173029
4,4,0,0,0,3,62.83436160879495
4,7,0,0,1,2,61.41321342180772
3,2,0,0,0,1,57.1852153086355
4,4,0,0,1,2,62.0726985087519
3,5,1,1,0,0,57.16423686748995
2,5,0,0,0,2,58.938939161360246
3,7,0,0,1,1,62.25679571767544
4,2,1,0,0,1,59.05803069084081
4,5,1,1,0,2,64.08055601409862
4,5,0,0,0,3,61.8147339705666
5,6,1,1,0,1,61.908922755886735
4,7,0,0,0,2,59.95010094721214
3,3,0,0,0,2,60.26146666195796
4,5,1,0,1,1,60.78270128315162
4,5,0,0,1,3,63.88111199181493
3,5,1,1,0,0,57.22247743496485
3,5,0,0,0,3,61.31747703241633
3,6,0,1,1,2,61.74303080056786
3,6,1,1,0,2,60.87336423151364
3,6,1,1,0,1,61.99209315251964
4,5,1,0,0,2,60.026337875618765
4,6,0,1,0,3,63.94049179609505
4,5,1,0,1,1,61.64923345653122
3,4,1,0,1,1,58.973516234527295
4,7,0,1,0,3,62.127803305876206
3,7,1,0,0,0,55.02382907520969
3,8,1,1,0,0,55.09379016102256
3,7,1,0,1,3,64.16278709788325
4,6,0,1,0,2,61.8107019038921
4,7,0,0,0,2,62.03465857858521
4,4,0,0,1,2,60.11821035240389
4,6,1,1,1,3,64.88284594716932
3,7,0,0,0,2,61.93153721012762
3,6,0,1,0,0,57.233126802413096
4,4,0,1,0,0,56.28868983427746
4,7,0,0,0,0,56.25882429529208
2,6,0,1,1,3,64.1169792395717
4,5,0,0,0,1,60.09077604902416
3,5,0,0,0,2,60.541760055350835
3,6,1,1,0,3,63.832659651449646
4,5,0,0,0,2,60.17351416553763
3,7,0,0,0,2,61.33018138502763
3,5,1,0,1,3,62.41170936341668
4,8,1,1,1,2,63.23740628373381
4,4,1,1,0,3,63.074574948143955
2,7,0,1,0,3,64.40021807108279
4,8,0,0,0,2,62.02875902316948
3,2,0,1,0,3,62.35056168532131
4,5,1,1,1,2,62.31711402782068
4,8,0,0,0,2,60.75265480823557
4,5,1,1,0,3,64.20346366753014
2,5,0,0,0,3,62.5920412241311
4,6,0,0,1,0,55.624033472815995
4,4,1,1,1,1,61.396843275701166
3,6,0,0,0,0,54.925031185844375
4,7,0,1,0,3,63.05162056662465
2,3,0,0,1,3,61.69442014839628
5,6,0,0,1,2,60.81298932310947
4,5,0,0,1,0,55.25510153428257
3,8,0,0,0,1,61.333233888253766
4,5,1,0,0,2,60.82364303574116
3,8,0,0,0,1,61.68421898421587
4,4,0,0,0,3,61.659054761935266
5,5,1,0,1,2,61.917542988034015
3,7,1,1,0,2,61.652916933566665
5,7,0,1,1,2,63.390406640694295
4,4,0,1,0,2,61.37912190079608
3,7,1,1,0,1,62.51482263946512
4,4,0,0,0,1,60.29230863605201
3,5,1,0,1,1,61.49297828684862
3,7,0,1,0,1,62.30216500535312
