X1,X2,X3,X4,X5,X6,X7,X8,D,Y
54,23,10,13,5,1,1,0,0,119.42921233760345
38,17,15,14,5,1,1,1,0,109.4452616512089
35,28,10,9,4,0,0,0,0,103.94906546617757
29,20,11,12,9,1,0,1,1,109.41186105064413
33,15,12,12,4,1,1,1,0,102.74301188700323
29,22,13,11,4,1,0,0,1,107.42874384241587
30,20,9,16,5,1,1,1,0,102.0357432543719
25,12,13,17,6,0,1,1,0,98.368648016728
34,22,12,15,4,1,1,0,0,105.47961507523377
20,17,13,20,4,1,1,0,1,101.37196343591995
27,17,13,13,5,1,1,0,1,103.46790886060805
33,19,11,11,6,1,0,1,1,108.75554730767104
32,17,14,17,6,0,0,1,0,107.52210380812313
30,7,14,17,3,0,1,1,0,97.91446568313329
35,20,13,19,3,0,1,1,0,106.65795918283425
26,15,12,11,7,1,1,0,0,100.0008814499055
32,21,9,11,0,0,0,1,0,97.0352348539237
39,18,9,21,6,0,1,0,1,113.23521509151604
20,13,11,18,4,0,1,0,0,90.97042810821479
30,10,14,17,3,1,0,1,0,99.74152861333334
39,19,11,16,3,0,1,1,1,112.73124015254595
20,17,11,12,1,1,1,1,0,88.22719440259172
21,15,11,14,2,1,0,0,1,97.0172386118372
40,26,13,10,5,1,0,1,0,111.06037328876288
41,24,13,8,8,0,1,0,1,116.9028082586804
32,20,11,13,4,1,0,1,1,108.01352413341927
31,29,10,8,5,0,1,1,1,107.78364303657322
33,17,11,10,6,1,0,1,0,101.44459504954133
20,22,8,12,3,1,0,0,0,88.99058860560837
31,12,8,15,3,1,1,0,1,101.67163711733485
31,18,14,14,7,1,1,1,1,111.07868587215985
14,27,9,4,2,1,1,1,0,86.63656062601747
18,24,9,10,4,1,0,1,1,99.4226588554179
35,21,10,14,3,1,0,1,1,107.27316196625853
28,23,14,14,3,1,1,1,0,103.44356103672845
24,22,12,18,4,0,0,0,0,102.18894916130114
27,9,9,14,7,1,1,0,1,101.39122950572767
32,23,13,9,3,1,0,0,1,107.60481980462808
27,16,16,12,6,0,1,0,1,106.35206188459586
34,20,13,14,4,1,1,1,0,106.2006452930515
34,23,10,2,3,0,1,0,1,102.40133681693067
27,13,14,13,4,0,1,0,1,102.019210695038
30,17,7,12,4,1,1,1,0,95.5194712979777
23,18,12,16,2,0,1,1,0,93.8443808677469
33,20,14,12,1,1,0,1,0,102.2878856850983
32,10,12,12,5,1,1,0,0,98.37085753718479
27,23,11,12,1,0,0,1,0,95.91906556821371
37,23,12,11,8,1,1,0,1,116.01051981163513
30,19,8,14,3,0,1,1,1,102.9735055105526
