X1,X2,X3,X4,running_X,D,Y
10,1,1,1,4.019369899366756,1,12.066090958276396
13,3,1,1,3.696939345298485,0,6.8580415554107015
12,3,0,1,2.3887435759412226,0,4.947546860209747
12,0,1,0,3.095588444094484,0,6.293990164623461
11,2,0,1,5.422459425748265,1,11.879640947928637
14,0,1,1,3.145411763181821,0,6.51071574836169
14,3,0,1,2.9624380730775814,0,5.877492547013824
14,3,0,0,1.9121167198965456,0,4.002100793994841
17,5,1,1,2.419261051249131,0,4.064594058047016
19,-1,0,1,7.189487806067223,1,13.275032317057168
17,2,0,1,2.302359543146978,0,4.01714890333239
13,3,1,1,4.1859442261428415,1,9.738909710674212
15,1,1,0,4.226146572451703,1,11.260627097847815
17,2,0,1,-0.1579468815248095,0,-0.17732448531493206
14,-3,0,1,6.143105777102366,1,12.863704961818238
16,0,1,0,5.132005875236478,1,10.280617332380176
8,6,0,0,2.9990208666447558,0,5.686734895340714
10,1,0,1,5.53221729172601,1,12.094188097914875
15,-1,1,0,4.865208066848137,1,11.143265407424835
9,5,0,0,2.349484996793623,0,4.437427385123106
15,0,1,0,2.0163693449470195,0,4.1493226935457885
13,2,1,1,2.3473307992506776,0,4.847051265916629
11,3,1,0,3.3975054341907165,0,6.354307297521957
16,2,1,0,1.7403242280784728,0,3.489827534603242
12,4,0,0,2.445941075739882,0,4.741064111739302
12,11,0,1,4.0677506495996445,1,9.693352173453455
11,0,0,1,5.13552786328307,1,12.17563811265476
16,0,1,1,3.4178296695597057,0,6.423989127280003
12,-1,1,1,3.45347791485006,0,7.593993386452617
17,6,1,1,3.542978188477265,0,6.341546091001338
16,6,0,1,5.118457561756733,1,10.360466029248368
17,8,1,0,2.0667945609395577,0,3.2917882014373454
18,1,0,1,5.281723271622193,1,10.726415934495
15,7,1,0,2.934242441541878,0,5.093968389610611
17,-1,1,1,0.24026412753634574,0,1.5143843199927085
15,9,0,1,4.031927627725357,1,10.589183003516188
12,3,0,0,5.925109459089453,1,12.967174203759694
13,3,1,0,4.760217311906626,1,10.904648362071125
14,0,0,0,7.185134762669412,1,13.160106020247166
14,1,0,1,3.1837839913953125,0,6.191674718635988
15,9,0,0,4.572270523164748,1,9.853264162247205
10,0,1,1,4.5137860796578355,1,11.594244743943525
14,2,1,1,6.008456121254804,1,12.165501727429163
6,0,0,0,4.2989639139724485,1,12.85107842264943
15,2,0,1,4.353240603178407,1,10.13654363766869
9,3,1,1,2.8764320779975048,0,6.568554186914082
13,4,1,0,8.567894737751605,1,14.47877818966384
13,4,0,1,5.685117467973837,1,12.392358796715481
12,2,0,1,5.324095668202304,1,11.696415635346456
13,2,0,1,3.3024850381249413,0,6.0512569781018515
14,-1,0,0,7.133125783612895,1,12.457886569944558
13,4,0,0,2.849435292355249,0,5.777556655576376
10,0,0,1,3.1791632317487295,0,7.173564196527056
9,0,1,0,3.2972469555523034,0,6.867447191964088
18,3,1,1,2.1005680401881044,0,3.1278166403876737
14,1,1,1,1.2705211625982074,0,3.7795345676202157
16,1,0,1,4.276054100560607,1,9.840110368139072
13,5,0,1,4.701078154772186,1,11.025425430517407
11,3,0,1,0.7162176043543402,0,3.0912664357233677
14,2,0,1,3.2070045388944,0,6.059484535864132
11,7,0,1,3.6906346859482544,0,7.291709499960326
14,6,1,0,5.930411206188629,1,11.554197535270875
13,2,1,1,2.1919953174866813,0,4.24319728866879
11,3,0,0,2.2423878675923707,0,5.537230087995647
11,5,1,1,3.358679317884604,0,8.053233472799832
13,3,1,0,4.397834868418345,1,10.817361062369102
11,0,1,1,5.337716999909135,1,12.386640664551441
13,4,0,1,4.880810197158798,1,11.020381917723176
10,6,0,1,3.1052278644926004,0,6.238055788718354
14,9,1,0,1.5238548021916785,0,2.5192808791347234
10,-2,1,0,5.524066360942702,1,12.19349840629776
12,2,1,1,1.6507852587351026,0,4.300175441794877
13,5,1,0,7.166096095424184,1,11.894690171550842
13,4,1,1,5.76746935272281,1,11.977401905778459
11,2,1,0,4.396002817112425,1,11.57370336974714
15,4,1,1,3.8123524939192848,0,6.355310413267472
13,1,0,1,3.6824558757435515,0,7.208072225086156
17,0,1,0,3.4660721246614767,0,6.3665164788708415
13,4,1,0,4.0432140040658355,1,10.500749862143522
12,5,1,1,3.85934609331985,0,6.965989738245706
15,0,1,1,5.328645358658445,1,10.982970580163068
16,3,0,0,2.299486389020221,0,4.680767935592757
13,7,0,0,1.8268444327591613,0,4.710511468469777
11,6,0,1,3.627763278764332,0,7.627862851384172
8,5,1,0,3.2847106323089577,0,7.7649362278162375
9,3,1,1,2.6071031246314824,0,6.333287906501898
14,4,0,0,4.5999904722332206,1,12.05043523696241
17,6,0,1,3.096661899032505,0,5.6475225564690055
14,2,1,1,4.536935740191618,1,10.475075799942218
13,6,0,0,1.7400212537712259,0,4.20916813413157
14,3,1,1,2.7229718624947266,0,5.175047718238936
18,4,0,1,0.3295791404775552,0,1.291748292113513
13,0,0,1,-0.0812444259182703,0,0.41875150354168356
14,-1,1,0,5.5427984200076725,1,11.27066897853022
9,1,0,1,6.086808553599704,1,13.177650198262176
12,3,1,1,6.156570890343989,1,12.105455475086064
12,6,0,0,4.739446603486286,1,11.139330677510523
13,3,1,0,3.7747110723291244,0,6.526259358659098
19,7,1,0,2.1528183765917315,0,2.701274531856463
16,4,1,0,4.5349861214775204,1,9.366519636253063
15,3,1,1,4.110819406168554,1,10.830577839003235
12,3,1,1,6.5321392626036,1,12.136974383919583
17,1,0,0,0.5427658769765373,0,0.6506899428133034
11,3,0,0,4.451958906423834,1,11.303201510352379
16,2,0,1,4.3838178551256695,1,8.945816282599907
14,2,0,1,3.9642482591468458,0,7.492561027741461
14,3,1,1,6.972398434803253,1,13.222540619526097
8,8,1,1,3.309205981260784,0,6.31906344668418
14,3,1,0,8.602363421081154,1,14.466223070413179
6,1,1,0,3.4300469365082016,0,7.946256217310179
12,4,1,1,3.0792157838752447,0,5.309012562344498
13,4,1,1,5.37543382860374,1,12.095312809803263
17,4,1,1,3.8591598889917953,0,5.998802601041873
11,3,1,1,2.811745102590684,0,4.608789655059811
14,3,1,0,4.16025184153952,1,10.88291152537981
15,3,1,0,1.07901718477226,0,2.2064992643762835
9,2,1,1,4.701574796205483,1,11.622215874844988
12,9,0,1,1.502433116832433,0,4.04380675991758
11,2,0,1,4.04795854975989,1,10.494057467363646
9,3,0,1,0.606909403340921,0,3.530330024566059
16,4,1,0,2.5092269227373896,0,4.622313487918865
15,-1,1,1,4.372297120517022,1,9.95869981621337
10,1,1,0,-0.05584819364796978,0,1.7842997074977525
14,2,0,1,1.8068006169918962,0,4.088524079728778
13,2,1,0,3.2677525940245298,0,6.90369446218407
14,-4,1,1,5.231932797700436,1,12.497620949136886
10,4,0,1,3.5967170050640487,0,6.319172532294477
10,2,0,1,-0.585442145876403,0,1.5548313866276051
12,3,1,1,2.413753939851655,0,4.463506949851344
12,2,1,0,5.369443995526161,1,12.540063248814695
17,1,0,1,5.54572263578387,1,11.750351811540888
12,-2,1,0,-0.41466849188556765,0,0.3707121120038399
11,2,0,1,3.319822359073178,0,7.210421102883451
14,-1,0,0,7.665508124524811,1,13.411728093391437
12,3,1,1,3.5824258277834105,0,6.401979985446391
15,0,0,1,2.9390995178598978,0,4.9356897888446385
13,4,1,1,5.034019605305625,1,11.81858144908067
14,1,1,1,1.519338148538543,0,2.9246308883333563
