individual_id,post_intervention,financial_aid,employment_status,household_income,age,gender,marital_status
0,0,1,44.045526141560174,6,5,1,0
1,0,1,44.76427813729616,3,5,0,0
2,0,0,44.345345077938944,2,6,1,0
3,0,0,44.96623249454914,3,6,1,1
4,0,1,43.85732424596379,4,6,1,1
5,0,0,44.55442342296792,5,6,0,1
6,0,0,43.68840158833666,1,6,1,0
7,0,1,42.37897239993313,7,6,0,1
8,0,1,43.7278174384587,1,7,1,0
9,0,0,44.53356055413759,2,4,1,0
10,0,0,44.40426508154881,4,5,0,1
11,0,0,45.85570099686365,6,5,1,0
12,0,1,45.01771454775108,1,6,0,0
13,0,1,44.9184133525533,3,7,0,0
14,0,0,45.32952674952606,4,5,0,0
15,0,0,44.6985219526581,3,6,1,0
16,0,0,44.20968238647556,4,7,0,1
17,0,0,43.466609394141614,0,6,1,1
18,0,1,42.89974746939776,4,4,0,1
19,0,0,45.6682951329993,4,4,0,0
20,0,0,43.82170158266575,4,5,1,0
21,0,0,44.15735576327675,2,7,0,0
22,0,0,44.60912137177421,4,5,0,0
23,0,1,44.17928666532384,4,5,1,0
24,0,0,43.00234049146555,4,5,0,0
25,0,0,43.63727714379479,2,6,1,0
26,0,0,44.76760022113721,3,6,0,1
27,0,1,44.0378678841221,5,6,0,0
28,0,0,45.26501338927184,3,5,0,1
29,0,0,45.36243128858843,1,5,0,0
30,0,1,42.41260681920839,4,5,0,0
31,0,1,43.68630796385336,4,5,1,1
32,0,0,43.856045527863095,4,6,0,1
33,0,0,46.94144151448859,5,6,1,0
34,0,0,45.111033139206384,3,7,0,1
35,0,1,46.814422374323776,1,4,1,0
36,0,0,43.69381138196617,3,6,1,1
37,0,0,44.09507274710251,3,7,0,1
38,0,0,44.631813909997526,3,5,1,1
39,0,0,45.69615356998796,4,6,1,0
40,0,0,44.26626158971392,4,4,0,1
41,0,1,44.50706919700956,6,6,1,1
42,0,0,45.78568009339744,2,4,1,0
43,0,1,43.91851693046189,1,7,1,1
44,0,0,44.83057034505039,4,6,1,0
45,0,0,47.16103921857556,6,5,0,0
46,0,0,43.08113592017622,0,5,1,1
47,0,0,45.38947950147164,3,7,0,0
48,0,0,44.97008000924911,2,5,1,0
49,0,0,45.451484507442366,2,5,0,0
50,0,1,44.62023980491051,3,6,0,0
51,0,0,44.58283283042536,2,6,1,1
52,0,0,44.55264744013737,4,5,1,1
53,0,0,44.73328764431832,3,3,1,1
54,0,0,44.72610558215453,4,7,0,1
55,0,1,42.16523590726286,5,7,1,1
56,0,1,45.16316992584052,3,5,1,0
57,0,0,44.19484208592496,2,7,1,1
58,0,0,46.15603980472524,2,4,1,0
59,0,0,44.35178182702682,2,5,0,1
60,0,0,44.92588503098432,3,7,0,1
61,0,1,42.79436468056439,5,6,0,1
62,0,0,46.32325572039854,2,3,1,0
63,0,0,45.48800308354323,2,5,1,0
64,0,0,44.33659937764074,5,5,1,0
65,0,0,44.5050967925819,4,6,1,1
66,0,0,46.09677021193127,6,6,0,0
67,0,0,43.81165520418217,6,4,0,0
68,0,0,45.12511742064963,2,6,0,0
69,0,0,44.25669535292077,4,6,1,1
70,0,0,43.93412506779585,3,6,0,0
71,0,0,45.77673605670532,5,4,0,1
72,0,1,44.77278899413281,4,4,1,0
73,0,0,43.73699827876085,5,6,0,1
74,0,0,45.413395059725424,2,6,1,0
75,0,1,43.51436355683916,0,5,1,0
76,0,1,43.41364790142293,3,6,1,1
77,0,1,44.75302681534787,3,5,0,0
78,0,0,44.47506737455206,3,6,0,0
79,0,0,44.69624863937484,3,5,1,1
80,0,0,45.79382626213399,4,4,1,0
81,0,1,44.00740019618736,7,6,1,0
82,0,0,45.09007740863712,3,6,0,1
83,0,0,44.78897225304209,5,5,0,0
84,0,0,44.60872603651802,3,6,1,0
85,0,1,44.221057279670426,4,4,0,1
86,0,0,45.84574700224095,3,6,1,0
87,0,0,44.56442376591054,2,7,1,1
