education_years,age_years,income_usd,health_score,gender,smoking_status,tv_hours_watched,anti_smoking_campaign_exposure,lung_cancer_risk
19,23,9,10,0,0,11,55,154.1565499678181
14,24,11,10,0,0,10,51,143.89774778763885
17,25,15,8,0,0,10,46,138.70125728094385
16,24,10,10,0,1,11,52,145.13151106938415
16,27,9,4,0,0,13,49,141.4563993783856
17,25,15,9,0,1,11,49,142.46816146467464
14,24,8,6,0,0,10,45,132.8982616130914
11,26,11,12,1,1,12,52,141.9173813171113
16,26,12,13,0,1,10,56,153.08460665031575
13,25,9,17,0,1,12,56,143.87507196916792
16,24,13,12,0,0,9,48,137.8722914331738
14,23,9,2,1,0,9,45,138.14829713423933
18,27,10,8,1,1,9,53,153.47040084673142
17,22,7,8,1,0,8,54,151.13086410844076
15,24,11,11,0,1,9,51,144.55483745679143
14,28,9,9,1,0,8,51,146.13211703352496
15,26,10,9,1,0,11,51,146.6670368634409
14,24,6,12,0,1,6,53,142.21054468483445
11,28,8,8,0,0,10,50,139.0281013442413
15,23,14,13,1,1,14,54,152.99056503924567
16,24,9,14,0,1,10,59,158.14462836407182
13,27,10,2,0,1,9,43,135.88372073276304
15,32,12,3,1,0,11,46,145.24421680450934
13,19,11,12,0,0,7,46,131.20966896462846
16,26,12,17,1,1,8,57,154.83331251955894
17,26,11,10,0,0,10,54,151.00611804609807
19,27,15,7,0,0,6,46,141.07052727461445
15,19,11,13,0,1,8,50,140.77254595110333
15,23,15,9,0,0,10,47,138.11602449012858
14,22,9,9,1,1,12,53,149.2776812117592
12,25,13,9,0,1,10,49,143.95333940350247
13,21,11,16,0,0,9,55,145.47050162774104
19,25,10,13,1,1,8,57,157.1023299815871
13,22,13,16,0,0,7,51,138.49016878671986
13,26,12,10,0,0,10,50,140.01153013573253
15,25,10,14,1,1,10,55,148.48378827705767
18,22,11,4,0,0,9,46,142.29735676975733
12,24,9,7,1,0,7,49,144.6666052455417
14,26,11,7,0,1,11,50,145.0310195450018
13,23,14,8,1,1,12,44,130.16667590830548
15,28,11,9,0,1,10,53,151.35560366112333
11,25,11,8,0,0,11,49,141.13738803726835
16,21,11,9,1,1,12,50,146.1027115751983
18,26,10,9,1,0,10,51,148.07226107156978
15,23,14,12,1,0,12,51,146.82284217004266
16,24,8,17,1,0,8,57,148.68082295456844
16,22,12,10,0,1,11,53,149.12347707045276
17,23,12,5,0,0,12,47,141.93353653636996
13,21,13,5,1,0,11,44,135.80294801659008
10,25,16,4,1,0,8,41,130.97700113783645
12,22,10,11,1,1,13,53,147.19027753250555
14,20,9,9,1,1,11,50,141.81554660593437
12,24,13,13,0,0,11,48,135.42600049701042
16,26,12,3,0,0,9,43,136.85330852926947
13,30,14,7,1,1,12,47,141.4369231510499
13,23,10,6,1,0,14,49,141.6955079418131
15,27,11,12,0,1,14,57,155.77877106005903
17,23,12,14,1,0,6,51,144.7625560904685
13,23,13,7,1,0,10,45,138.7348640625091
14,25,10,13,0,1,10,54,149.33231114632633
13,19,10,7,1,0,9,44,129.24140892635046
14,26,9,11,0,1,8,53,148.62983734558932
16,24,12,8,1,0,12,49,142.9891349656277
17,28,13,12,1,1,12,53,149.20285932043356
12,23,10,8,1,0,10,44,128.81216982454336
17,15,14,9,1,0,8,45,136.81753063479073
20,19,5,12,1,1,13,57,152.7655000679433
15,21,13,3,1,0,11,41,134.8702727936509
14,26,13,12,1,0,13,49,137.61666348570216
16,24,8,11,1,1,11,53,146.43006479278648
15,26,10,6,0,0,12,51,149.7622214469916
15,24,6,16,1,0,9,56,146.49824889948343
22,19,11,13,0,0,13,56,153.57937146166765
15,26,10,11,0,1,12,54,150.05595854157383
18,20,13,11,0,0,10,49,143.59433633428134
11,27,8,5,0,1,11,51,145.9849240113651
12,26,9,9,0,0,13,51,141.70495488688738
14,24,9,9,0,0,8,49,140.31995977778257
15,25,13,6,0,1,9,48,144.5635282265512
16,22,10,14,1,0,12,56,149.71754562899562
17,22,12,14,1,1,9,51,143.34418212080266
13,24,9,10,0,0,11,53,145.1875655570931
16,28,13,15,0,0,11,56,150.98676634806748
10,28,12,12,0,1,8,50,140.9972901247429
12,24,12,4,1,1,8,41,131.65058783494013
12,27,14,13,0,1,12,51,141.54576269035994
16,25,9,15,0,0,14,58,154.04509005704958
14,24,10,10,0,0,10,51,142.40040644859528
16,24,11,15,0,0,10,57,151.6962708567568
15,24,11,7,1,1,9,46,137.4444678768925
14,23,7,9,0,1,9,52,145.29928406022952
12,26,13,6,0,1,12,47,139.94672856015407
14,23,14,8,0,1,12,46,138.06424475420835
16,24,13,9,1,0,9,50,147.90050301501145
14,22,10,10,0,0,10,52,147.49410250762162
13,21,12,12,0,0,10,51,140.89251475952295
16,29,13,11,1,1,9,50,145.2613604881018
12,21,16,8,0,0,13,46,137.93662064608387
13,26,10,8,0,1,9,50,142.52801360747324
12,25,11,7,1,1,11,46,136.40002717151867
17,24,12,6,1,0,11,46,139.73194319603255
14,26,11,13,0,0,10,52,142.68678954427682
15,30,13,12,0,1,12,54,151.86955614010205
14,24,6,6,0,0,11,50,142.80737328351594
12,24,12,10,1,1,10,49,142.18381463118874
17,25,0,9,1,1,10,57,151.3064747568749
13,23,5,6,0,0,8,49,139.18170515452744
13,30,9,10,0,0,11,53,147.83081788635792
12,23,11,12,0,1,10,52,145.62025877036058
18,25,6,10,1,1,11,58,158.4647131230084
12,20,10,15,0,0,12,53,139.9676979070137
16,23,12,11,1,0,9,50,143.7689527009658
13,26,11,8,1,0,10,47,135.15160199465478
18,22,15,8,0,1,13,49,143.37326474024053
16,24,10,12,1,1,15,58,156.47257300391956
14,27,8,10,1,0,9,53,143.86955576128753
13,24,7,6,1,1,13,51,146.0895791990458
15,22,13,7,1,1,11,45,136.21429528815293
16,27,7,10,0,0,13,55,153.22856054298217
14,27,13,6,0,0,6,46,138.66525939919376
14,25,15,9,0,0,10,46,139.11545976909582
16,22,15,13,0,1,10,55,154.62380668972474
14,27,12,10,1,0,8,49,141.59004425971247
14,23,10,7,1,1,10,44,132.0454773608019
16,22,14,13,1,0,15,52,146.10171827428658
12,26,10,12,0,1,8,52,143.2615148599928
14,29,9,4,0,1,13,48,142.64935678168732
17,23,15,9,1,1,10,48,145.29968160821787
12,26,13,9,0,0,9,47,139.1263230766487
11,22,12,9,1,0,11,44,130.92503926332623
12,29,13,2,0,1,8,44,138.0747880122949
11,21,12,12,1,1,8,47,133.09923067739004
15,29,15,10,1,0,10,47,141.69859728880883
17,31,16,10,0,0,8,50,150.2319934554611
15,21,10,4,1,1,12,47,140.51737520636
17,25,9,7,0,1,10,50,145.10830896461238
20,27,17,13,0,0,10,54,154.06607536449607
14,27,13,14,1,1,9,55,152.8895961565729
14,25,8,6,1,1,12,49,142.2495949907027
17,24,10,10,1,1,8,52,147.3100554854645
16,24,10,15,1,0,9,56,148.5172816310072
16,27,9,12,0,0,11,57,154.35769807754224
14,23,13,8,1,0,9,42,127.7798391584816
12,19,12,7,1,0,12,44,132.62748266731612
16,24,10,13,0,0,13,57,157.2173365681395
14,20,11,12,1,1,9,50,142.83078013587084
12,27,4,4,1,1,9,48,135.93990980677415
13,23,15,10,0,0,13,47,134.4807495814322
15,24,11,16,1,1,10,58,155.30107490698757
20,27,15,13,0,0,6,52,150.94183221500182
13,27,9,9,0,0,9,51,143.000156389693
17,29,14,6,1,1,10,46,141.89875215748913
14,29,18,9,0,1,11,48,143.708397056684
12,21,14,13,0,0,11,49,135.13915306923013
16,26,10,5,1,1,11,47,140.51519288987234
12,26,9,9,1,0,14,52,144.948230315291
15,24,14,10,1,0,11,49,141.95467284113883
14,27,12,13,1,0,8,52,144.8783929024609
16,24,13,9,1,0,11,50,146.22171886008007
14,26,5,12,0,1,15,60,157.89331847057312
16,27,12,11,1,1,12,53,147.59308412039385
14,21,14,13,0,1,9,51,144.47787281394326
14,23,10,10,1,1,9,51,145.8342008328598
14,24,11,7,0,0,8,47,136.29898884781392
15,23,9,14,0,1,13,58,152.83162264030057
10,25,10,13,0,0,12,51,135.85592040594435
13,22,11,7,0,0,12,46,137.0578785459868
15,20,13,10,0,0,11,49,141.66206695966946
15,26,18,6,0,1,11,45,139.60803604157113
12,28,10,7,1,0,12,48,138.7272098638355
13,25,9,8,1,0,13,51,145.366515419402
16,24,14,16,1,0,12,54,147.37107585015832
12,28,11,11,0,0,12,53,144.267711948656
13,26,11,8,0,0,9,50,146.30882967547768
11,24,8,9,0,1,13,52,143.0847219297038
18,25,13,5,0,1,12,50,150.88237745885073
17,21,12,12,1,1,15,55,154.56204596045615
14,25,18,10,0,1,13,47,139.00124039361597
15,22,13,11,0,0,9,48,136.07691896300258
17,26,14,9,0,0,15,50,146.01582402614477
17,23,14,8,1,0,10,47,141.73630086021575
14,25,10,14,0,0,13,55,148.3435084693952
16,24,11,5,0,1,12,46,136.21682575158377
12,27,18,10,0,0,7,46,138.23372045317308
14,28,13,9,1,1,10,51,147.57278271270542
21,29,10,9,0,0,6,50,143.95690725793625
16,25,10,15,1,0,15,57,150.26971375557108
12,24,10,11,0,0,10,52,142.65562880915766
11,25,14,6,0,0,10,44,136.19571076557023
16,26,16,7,0,1,8,47,143.62756319910065
15,30,12,13,0,0,8,54,149.83275059207307
14,22,9,10,0,0,5,47,134.21012515459114
16,26,14,8,0,1,12,48,141.53570034992666
16,31,10,10,1,0,6,49,139.16306901833133
13,24,8,11,0,1,10,53,145.4082536913934
13,30,12,14,0,1,11,58,157.76028569388995
