education_years,income_level,employment_status,children_count,workshop_invitation,workshop_attendance,productivity_score
5,0,0,0,11,0,49.13123049767567
6,1,1,1,10,1,50.3650687587062
6,0,0,1,10,0,46.74161754260819
5,1,0,0,13,1,46.76939571990634
1,1,1,0,11,0,48.13521665652252
6,0,0,0,12,1,48.40684630860661
3,0,1,0,11,0,48.57546684118459
4,1,0,1,8,0,46.526434782003946
6,0,0,1,13,1,49.78868945689592
4,0,0,0,13,1,49.94679170910812
5,0,0,1,10,0,46.40178956972846
4,0,0,0,11,0,47.484297205118665
7,0,0,1,8,0,47.79119692955364
7,0,0,0,8,0,45.98070289642621
9,1,0,0,12,0,44.82678754000537
6,1,1,1,12,1,48.51765336505513
7,1,0,0,10,0,45.50746944322767
6,1,1,0,11,0,48.35573831358052
9,2,0,1,10,1,46.48376968899122
5,0,1,1,11,1,51.13386252775044
6,1,0,0,12,1,48.43616801464288
6,0,0,1,16,1,50.410365689264665
9,0,0,1,11,0,43.439254254673
5,2,0,0,11,0,46.62381557831563
5,1,0,0,10,1,49.139945208678846
5,2,0,0,13,0,44.21755908490892
3,0,0,0,8,0,49.36574954286177
6,0,1,0,14,1,48.705329044898455
6,3,0,0,13,1,45.95016114880669
3,0,1,0,11,0,49.81834908599278
5,0,1,0,13,0,47.8537236102034
6,1,1,0,15,1,49.78130806866104
7,1,0,1,9,0,45.08605872466331
6,0,0,0,13,0,46.68514040085035
3,0,0,1,12,0,48.89263978615666
5,0,1,0,12,1,52.831073246846174
3,0,0,1,13,0,49.043296311373936
4,0,0,1,15,0,48.52215014630704
4,0,0,0,13,1,50.60791769271596
7,1,0,0,15,1,49.25634252613131
8,1,0,0,9,0,45.820282700209496
5,0,1,1,13,1,51.43907733478322
4,2,1,0,15,0,47.24268598839405
5,2,1,1,13,1,51.12556560003201
7,0,0,0,9,0,45.21915641058229
6,0,0,0,13,1,48.80759637880727
4,0,0,0,15,1,49.328708458250745
5,1,0,0,14,1,48.33809651442028
10,0,0,0,10,1,46.23848776974504
3,0,1,0,10,0,50.54941702091234
4,2,0,0,12,1,48.96730800638779
4,0,0,1,12,1,50.94784465053121
8,1,1,1,9,0,45.23278705822673
4,1,0,1,10,0,47.62264090543434
7,0,0,0,11,1,48.4062542200696
7,1,0,0,11,0,44.92079865283212
6,0,0,0,10,0,46.24963442150224
3,1,0,1,15,1,50.89195374195753
6,1,0,0,13,1,48.596223304783486
6,1,1,0,9,0,45.23225832110781
6,0,0,1,14,1,49.07820967872158
7,0,0,1,9,0,46.678945999952376
4,0,0,0,8,0,49.88480327619301
2,1,0,0,11,0,48.42210497246848
7,0,0,0,9,0,45.686676547963785
6,0,0,0,12,1,49.98812045304638
4,1,1,1,12,1,49.26713309937047
8,0,0,0,11,0,46.15366309207227
7,0,0,0,15,1,47.55550217659216
6,0,0,1,12,1,49.82123735525253
4,1,0,0,13,1,49.67735490107529
5,0,0,1,13,1,50.67278932130162
4,1,0,1,9,0,48.367244030150594
8,1,0,0,15,1,45.896235884224986
6,0,0,0,12,0,46.423810363400975
3,1,0,1,14,1,49.77522962483531
5,0,0,0,11,0,46.63465199930579
4,1,0,1,11,0,47.51235928664547
5,0,1,0,13,0,48.13352344728666
9,1,0,1,12,1,47.13311375213674
4,0,1,0,7,0,49.07737183353334
5,0,1,0,11,0,47.286447167717526
4,1,0,1,9,1,49.65336293513226
3,0,0,1,11,1,50.76519985659701
5,1,1,0,15,1,49.96940158085843
6,1,1,0,13,1,50.527262855950205
7,2,0,0,11,1,47.6523089987104
8,1,1,0,13,0,46.79634286227453
7,1,1,1,12,1,48.59328938937416
3,1,0,1,7,0,48.57758150936524
6,1,1,1,13,1,49.03697092017351
6,1,1,1,13,1,47.930521068856656
1,0,0,0,8,0,49.34518251607397
8,0,1,1,13,1,49.357373498670405
5,0,1,1,15,1,52.56643133472849
8,1,0,1,12,0,43.97719339982517
5,1,0,0,13,1,47.5497045199206
7,1,0,0,13,1,44.08890982947113
7,0,0,1,14,1,49.47378736169635
4,0,1,0,13,1,50.5463919922531
7,1,0,1,11,1,46.7548293572683
2,1,0,0,8,0,48.58257284419688
5,2,1,0,13,0,46.830570478091154
8,0,0,0,13,1,46.7332477356572
3,1,0,1,12,0,47.428549414034144
4,1,0,0,11,0,46.92454986237476
4,0,1,0,7,0,48.92489995312016
7,0,1,0,9,0,45.8192414603261
4,1,1,0,6,0,46.710648566668425
3,1,0,0,11,0,47.99067221026223
4,0,0,1,10,0,50.44828169936194
3,0,0,1,9,0,48.96871090846355
7,0,0,0,12,0,45.64135713068075
7,0,0,1,13,1,48.35346630545577
3,0,0,1,13,1,51.428483589418384
6,1,1,0,15,0,45.88280984792731
4,1,1,0,13,1,48.377504056476944
4,1,0,1,14,1,48.06948678466128
8,1,0,0,12,1,45.2168669539541
4,0,0,0,12,1,50.316243286295865
9,1,1,1,12,0,44.24744697732577
4,1,0,1,13,1,50.63862179477922
7,1,0,1,13,1,48.77949280965223
9,1,0,0,14,1,47.52058199851585
3,0,0,0,11,0,47.14816759813283
3,1,0,0,11,1,50.378809950595965
5,0,1,0,10,0,48.47155691683973
3,2,0,1,16,1,50.19304917524806
9,1,1,0,11,0,45.4956591061924
8,0,0,1,9,1,47.11577748542384
7,1,1,0,10,0,45.85677285045769
5,1,1,1,11,1,49.97743321254989
3,3,1,0,11,0,45.954773111895015
7,1,0,0,11,0,43.13447703084438
4,1,0,1,13,1,49.70910130637376
8,1,0,0,17,1,46.892749356493226
6,0,0,0,14,1,47.45536489548988
5,0,1,0,13,0,46.90775577141028
7,0,0,0,13,0,45.29044523091749
6,0,0,0,9,0,46.78793759419273
6,1,0,0,12,1,47.513063585592825
5,0,1,0,11,1,51.80233734993835
6,0,1,0,9,0,45.9254057219928
8,1,1,0,11,1,47.48020400391661
6,0,1,0,10,0,45.71514122339562
8,1,0,0,11,1,45.67214355010982
8,0,1,0,12,1,47.725633457521575
6,0,0,0,10,0,46.77640916740784
3,0,1,1,11,0,48.7753233148217
5,1,1,0,9,0,47.06446106862624
7,1,0,0,15,1,47.83123231003577
4,1,0,0,14,1,49.58623013851198
4,0,0,0,9,1,50.980644914379766
9,0,1,1,11,0,47.70108934400712
7,0,0,1,11,0,45.65531427078654
8,1,0,0,10,1,44.88295649803606
3,0,0,0,12,0,49.00984504906881
6,0,0,1,8,0,46.56025066130714
8,1,0,1,12,1,45.66807743901382
7,0,1,0,10,0,45.865427316929285
9,0,0,0,14,1,45.303933746156176
7,1,1,1,8,0,45.5078431369836
6,1,0,0,11,0,46.540238513834666
4,0,0,0,14,1,49.47079410181835
7,0,1,0,13,0,47.18644827793925
7,0,0,1,13,1,48.427391075989945
