education_level,income_level,has_children,lives_in_urban_area,is_married,intervention_type,life_satisfaction_score
4,5,0,0,1,0,51.83033603253695
3,5,1,0,0,2,57.40303098112673
4,6,0,1,1,1,64.86764617603995
3,6,0,1,1,2,60.018046675672124
2,4,1,0,1,2,57.01511104702111
3,4,0,0,1,1,61.72322838804453
4,5,0,0,0,2,55.73312020755863
4,8,1,0,1,0,53.02529068619188
2,5,0,0,1,2,54.67045204252222
4,5,1,1,1,0,52.99694818073235
3,8,0,0,1,0,51.71151990423349
2,4,0,0,0,2,56.24969575032248
3,7,0,0,0,0,49.18668394502122
4,5,0,0,0,1,63.173510165377294
3,5,1,1,0,2,56.863748445511945
4,6,0,1,1,1,61.18048388011023
4,5,0,1,0,1,62.26717466017696
4,5,0,1,0,2,57.126682268833264
3,7,0,0,0,2,56.56629684764132
3,5,0,1,0,1,60.635191147232426
3,6,0,0,0,2,55.42642072211353
4,6,1,0,1,0,54.97824579747258
4,6,0,0,0,1,61.07406498554773
4,4,0,0,0,1,60.017233112961485
4,6,0,0,0,0,51.483653431286136
4,5,1,0,0,1,61.065111817299005
5,4,1,0,0,0,53.20883929163368
3,5,1,0,1,0,52.40558352272304
5,5,1,0,1,0,52.674444684806055
3,3,1,1,1,0,53.26633458954368
4,7,1,1,0,0,52.33822886941577
3,4,0,1,0,0,53.4652518798618
5,5,0,0,1,0,53.35606414322776
3,7,0,0,0,1,61.15293075870763
3,2,0,1,0,1,60.87486646906823
3,3,1,0,1,0,51.60493811606509
3,4,0,0,0,0,51.67869666356924
3,5,0,1,1,2,58.42784400084387
2,6,0,0,1,2,57.27667975682079
4,6,1,1,1,2,59.73746854209705
3,4,0,1,0,1,61.33396038625621
4,6,1,0,1,1,61.556508256717606
5,4,1,0,1,0,54.57803411125997
4,7,1,0,1,0,51.73402451798549
2,5,1,1,0,2,58.028140267745066
5,8,1,0,0,0,53.054579571493726
3,6,1,0,1,0,52.89478297069315
4,6,0,0,0,1,63.046953802038686
4,6,1,0,0,1,61.61663543737389
4,5,0,0,0,2,56.369366175968736
4,7,0,0,0,1,60.19549583122766
3,7,0,1,0,2,58.5606720141436
4,7,1,0,1,1,64.28764601550435
3,3,1,1,0,2,58.32432022616808
4,8,1,0,1,1,63.38942881880677
4,8,0,0,1,2,57.23902916973581
4,3,1,1,0,2,59.53860820282423
3,6,0,0,0,0,51.45237980057534
4,4,0,1,1,0,52.17393224845759
3,7,0,0,0,2,56.86555029327106
3,7,0,0,0,1,59.1895191836154
3,6,1,0,0,2,57.1926427713047
4,6,0,1,1,2,59.20105153071816
2,7,0,1,1,0,51.86423668698016
4,8,0,0,1,1,61.16920095157976
4,7,0,1,1,2,58.98573462045524
4,7,1,1,0,0,53.15657377703549
5,5,0,0,0,1,62.828439705169735
4,5,0,0,1,0,53.05684044598651
3,4,0,0,0,0,50.49292646292484
4,5,1,0,0,0,51.34984912623016
4,4,0,0,0,2,56.55321570802507
4,5,0,0,1,0,52.252264663416135
3,3,1,0,1,1,61.70080792394504
4,6,0,0,0,2,56.43104098260478
3,7,1,0,0,2,57.65977212572498
3,4,1,1,0,2,59.08171108673447
3,7,1,1,0,1,62.6832332896993
3,6,0,0,1,2,55.363505880672406
3,4,0,0,1,1,61.73837566703703
4,4,0,1,0,1,62.39266359313445
4,5,0,0,0,0,52.94820823790488
3,6,0,0,0,1,60.87131345171892
4,3,0,0,1,0,50.77592828820647
5,5,0,1,1,2,59.44960614292776
3,7,1,1,0,1,61.96712199623395
2,5,1,1,1,1,62.333813169091904
3,4,0,0,0,0,48.71056601492982
4,4,1,1,0,0,52.096196616316384
3,6,1,1,0,1,61.44918442757324
4,4,1,1,0,2,56.59736601568628
4,8,0,0,0,0,51.36672696509508
4,6,1,1,0,1,62.19192570098421
1,6,1,0,0,0,50.20487188322959
3,6,1,0,0,1,58.91512282396041
4,7,1,1,0,2,57.91277232068384
3,6,0,0,0,1,60.87057445083433
3,7,0,0,0,0,52.1054032490055
2,8,1,1,1,1,62.06734518860296
4,8,1,0,0,1,62.20894363337524
4,6,1,0,0,1,61.641893548939
3,4,0,0,1,0,51.648251318225846
4,7,0,1,0,0,52.43768061628389
4,5,1,0,0,0,51.18300170033052
5,5,1,0,0,0,52.16012611827954
4,6,0,0,1,0,51.60011346875303
4,7,0,0,0,0,49.60442545206458
3,6,0,0,0,2,54.95877144469631
4,7,1,0,0,0,53.10064822910343
