age,education_years,monthly_income,dependents,gender,married,job_training,job_satisfaction
24,22,8,13,0,1,1,63.08002434106436
10,17,6,19,0,0,1,64.20560354886847
18,24,6,23,1,1,1,67.24467614686391
24,25,3,16,1,0,0,65.43022927395651
9,23,5,12,0,0,1,74.50457962254761
14,18,7,15,1,0,1,62.45695591534353
17,20,3,18,1,0,0,62.05216169999037
1,26,4,17,1,0,1,80.82989434099363
32,18,3,18,0,1,0,53.98838076294706
34,26,8,16,0,0,1,62.00870325268949
27,21,4,7,1,1,1,64.0497231448362
27,23,6,23,1,1,0,57.90478333100869
26,21,6,7,0,1,1,65.29910726386117
15,18,3,20,0,1,0,61.61765971760501
36,25,5,18,0,0,1,62.039299769694495
32,24,7,18,1,0,0,58.3877690321474
19,26,5,17,0,1,0,67.01600691627532
24,26,3,21,0,1,0,63.81237969004947
34,24,3,21,0,1,0,60.085893729796
24,34,5,17,1,1,0,76.76157159528458
29,25,2,14,1,1,0,64.67537364174076
23,31,3,14,1,1,0,73.54110794343777
6,17,7,12,0,1,1,67.03100755083284
31,23,6,13,1,1,1,63.21571285148285
26,20,4,22,1,1,1,61.897443520225615
29,30,7,14,0,0,1,71.58971613619322
12,19,7,16,0,0,1,64.00019071808622
41,18,4,17,1,1,0,49.61756076225736
14,27,6,15,1,1,1,74.43028439558026
34,27,4,6,0,0,0,63.62198770543191
29,26,3,11,0,1,0,66.65070325988009
25,22,6,16,1,0,0,57.40282946028896
13,29,3,22,1,1,0,72.4506350375285
20,19,3,19,1,1,1,63.29073379151889
18,23,8,15,0,0,1,65.69909140981936
26,27,4,16,1,0,1,70.89335581641426
25,28,2,8,1,0,0,68.35738710509003
20,31,6,12,0,0,0,73.88672917291703
33,28,7,10,1,0,1,68.74067724464896
13,30,3,15,0,1,0,75.95763584087385
25,26,8,24,0,0,1,63.70063267632381
48,25,6,13,0,1,0,53.824155425163205
17,26,6,8,0,1,0,68.78257690808245
37,31,6,22,1,0,1,66.8818319870142
42,16,6,22,1,0,1,45.75420542188641
25,24,5,27,0,0,0,59.5503521454519
36,17,6,17,1,1,1,52.32405738398014
41,20,4,14,0,1,0,53.63367699443431
19,27,6,20,1,1,1,70.35612649850783
31,25,2,20,0,1,0,63.08705133072975
13,23,10,18,0,1,1,66.32441711175449
18,29,6,14,1,1,0,70.16610006584922
17,26,5,19,0,1,0,69.02329939766715
8,30,5,12,1,1,0,78.50803243564661
22,24,8,14,0,0,1,66.3608058787175
22,29,4,22,1,1,0,69.4524603748613
17,25,8,8,1,1,1,71.47729968895945
33,25,5,14,0,1,0,60.00299522940991
27,26,4,11,0,1,0,65.73815246801838
32,20,8,17,1,1,0,52.82461768692155
28,25,5,10,0,1,1,67.83530379364807
26,27,2,12,1,0,0,71.01670373124097
25,25,7,8,0,0,0,64.21541507375274
26,27,3,7,0,1,0,69.28165096022809
9,24,3,14,1,0,1,74.99482731087123
24,25,5,19,0,0,1,66.85477647561696
19,25,2,14,1,1,0,68.86028995055479
24,30,1,20,0,0,0,71.31683599422422
14,35,4,10,1,1,0,83.33634725126296
1,27,8,19,0,0,1,76.99074505010309
19,24,5,18,1,1,1,69.14070818714616
25,28,4,12,1,1,0,70.13454151576501
24,21,5,16,1,0,0,59.002691017741526
26,24,3,15,0,1,0,65.21661653720483
34,27,6,15,0,1,1,64.40058113041387
15,25,4,15,0,0,0,68.17038593209595
11,26,8,14,0,1,0,68.5252132476637
40,23,5,21,0,0,0,55.26713623344774
25,18,8,20,0,1,1,56.54149105002261
25,19,3,11,1,0,0,58.44765770143143
24,30,4,23,1,0,1,73.16932888566211
9,23,6,18,0,0,0,66.2190586831837
37,25,4,11,0,1,0,59.8275017333733
18,31,10,17,0,1,0,67.8312260151313
25,28,8,17,0,1,1,69.76440525990046
17,24,5,13,0,0,1,70.07034221343503
17,22,4,18,0,0,1,67.56551724853045
28,30,8,17,1,1,1,69.72965633151793
30,24,6,14,1,0,0,59.960080897978166
17,27,0,18,1,0,0,74.69510662974082
13,22,8,15,1,0,1,68.47996711510628
34,24,5,15,1,0,0,58.60947272933777
26,23,5,22,1,0,0,60.294029466066185
22,17,4,16,1,1,0,56.75226040330056
19,22,7,16,0,1,1,64.552051873278
30,21,7,12,1,0,1,60.4702868956936
43,21,4,18,0,0,0,51.88956881089334
37,23,8,13,0,0,1,56.76396104211047
15,21,5,11,1,0,1,70.50438270884617
40,19,7,19,0,0,0,46.24083326038866
13,23,8,23,1,1,1,65.89593134662925
16,27,2,15,0,0,1,76.41115385304609
17,28,5,17,0,1,0,71.52294273605789
34,25,9,20,1,0,1,58.914921297064055
12,25,5,13,0,0,0,69.66699095245427
12,26,5,16,1,0,1,73.88047619000287
20,24,8,14,0,1,1,68.18172457810125
24,28,6,16,1,0,0,66.99580256514318
26,22,8,26,1,0,1,59.28143182515607
30,25,3,16,1,1,0,64.20407330158284
39,28,7,17,1,1,0,59.61936982828705
31,14,6,17,1,1,0,49.41971260529806
29,20,7,15,0,0,0,54.65993650571858
28,22,2,20,1,1,0,57.80536486515864
13,25,4,10,1,1,1,73.27230266079279
6,26,8,17,0,1,0,71.98134968598909
25,21,7,18,0,1,1,61.15808897410643
34,25,3,22,1,0,0,59.10432090006232
3,21,6,16,0,0,1,71.58330683921224
23,29,7,13,0,0,1,71.48448367694802
20,25,8,17,1,1,1,67.08234846793077
17,21,8,18,1,0,1,63.637775896041845
33,21,4,16,1,0,0,57.01962835109637
31,22,6,19,0,0,0,55.717319129391136
14,23,4,21,0,1,0,64.86755469395095
22,24,10,15,0,0,1,64.6125588013816
34,26,2,19,1,1,0,64.10796638138525
27,23,7,11,0,0,1,62.8328919023644
11,21,3,15,0,1,0,66.07702843542975
25,17,7,14,0,0,1,56.43899144684384
6,25,5,22,0,0,0,70.51540021449954
29,19,7,12,0,1,0,54.095278981808434
6,21,7,17,0,1,1,72.0698874471363
20,20,6,15,1,1,0,59.5461805212047
33,20,8,15,1,0,1,57.74328373453951
13,21,5,24,1,1,1,66.08724907635217
21,24,5,20,1,1,1,65.96134755029104
39,19,3,16,0,0,0,49.97980660090602
29,24,5,15,0,0,0,61.43521991748312
29,19,6,15,1,0,0,55.02755159105437
25,21,8,20,1,1,1,61.93450119920112
19,29,3,17,0,0,0,72.40944137222363
35,21,3,13,0,0,0,53.68853855322877
-10,16,9,16,1,0,1,70.11629299530088
29,23,4,13,1,0,1,63.317100004990245
42,24,7,17,1,0,1,56.27161145243437
33,23,5,19,0,0,1,60.14727760771104
34,32,4,24,0,0,0,67.1443217210064
7,21,8,12,0,1,1,71.24402191972396
27,16,8,12,0,1,0,52.14657422256429
8,21,9,20,1,1,1,67.56151466690453
24,26,0,20,0,0,0,67.37783484930493
10,28,2,10,1,1,1,81.6514162615771
31,22,7,21,0,0,1,55.65094036527109
16,18,8,17,0,1,1,59.958802448897245
15,19,8,19,0,0,1,63.18378316552571
20,26,5,20,0,0,0,65.22442644995797
20,15,10,20,1,0,1,53.88154777540709
32,30,5,24,1,1,0,63.98668995249813
15,20,4,19,1,0,1,63.98030573960557
20,25,5,16,0,0,0,65.12239026887501
35,19,8,22,1,0,1,53.21814593238167
29,23,8,13,0,0,0,57.80285446615908
30,23,5,14,0,1,0,59.04061557202943
16,23,5,21,0,1,0,65.61224660184872
26,22,5,15,1,0,0,59.62298105512696
30,21,5,23,0,1,0,55.650644070494565
26,26,5,19,1,0,1,68.63267804116063
12,25,5,19,0,0,0,68.78322767775337
34,26,8,18,0,0,1,61.493566607526574
5,22,5,20,0,0,1,70.97232342072678
10,21,7,18,1,1,1,66.25559094585475
16,25,2,13,1,0,0,71.80885994696727
16,28,8,18,1,0,1,73.4109611607083
25,32,7,23,1,0,0,69.3972602530781
28,29,8,7,1,1,1,70.19137708301503
21,29,4,13,1,0,0,71.23831850795425
36,18,6,22,0,1,1,52.38651122407107
27,27,8,18,1,0,1,66.73084003020658
