age,education_years,monthly_income,health_score,has_children,is_employed,is_married,has_health_insurance,life_satisfaction_score
27,18,11,13,1,1,1,0,89.93543568688433
10,19,9,12,1,1,1,0,72.31841782305514
34,20,6,12,0,0,1,1,92.39552256907947
28,19,5,15,1,1,0,0,88.43439617600525
33,18,7,17,0,1,1,0,90.4851833149296
3,24,3,21,0,1,1,1,66.02932589150974
32,22,5,16,0,1,1,1,91.46644139258534
33,25,4,11,1,1,1,1,92.60219063451972
26,26,6,6,0,1,0,0,92.27668710025904
25,27,0,15,1,0,0,1,86.79611205457486
31,27,8,20,0,1,1,1,95.98079071329823
27,32,4,14,0,1,1,1,93.2017318038268
21,26,7,10,0,0,1,1,87.54660275445006
40,20,6,15,1,1,1,0,95.76326767138887
12,26,4,19,1,0,0,0,75.20081123465002
28,24,6,13,1,0,1,0,90.57167875083044
28,23,6,14,1,1,0,1,89.66378209688614
12,27,6,19,1,0,1,0,75.9881218587207
21,15,7,16,1,1,0,0,80.0456738438835
23,25,3,18,0,1,1,1,82.84073341721174
25,32,1,15,1,1,1,1,89.35233497367264
36,28,7,18,0,1,1,0,99.10035624204788
36,27,6,13,0,1,1,1,99.8147623408587
44,29,5,26,0,1,0,1,106.73845918755832
26,30,6,16,0,1,1,0,88.63865903608719
8,14,3,21,0,0,1,0,61.44017912726154
15,32,6,18,1,1,1,1,84.01485883246708
16,26,5,17,1,0,1,1,80.24894142430566
33,21,5,16,1,1,1,0,90.2460461424302
29,22,6,13,0,1,1,0,88.7450333655949
34,20,9,9,0,0,1,1,94.94485362031833
37,29,7,11,1,1,1,1,103.03278996324136
9,22,6,24,1,1,1,1,72.12348665004232
21,21,8,16,0,1,0,0,82.8109839144577
12,20,4,16,0,1,0,0,74.81227169084653
23,20,5,18,1,1,1,1,81.29086153661238
41,26,6,8,1,1,0,0,104.41486196543347
22,21,7,14,0,0,1,0,83.661210303112
25,24,5,21,1,0,1,1,85.37153895501308
35,22,3,21,1,0,1,1,92.94828877982212
33,24,3,18,1,1,1,1,92.3452927534808
30,21,7,11,1,1,0,0,89.74438752469393
18,26,9,16,1,0,1,1,83.47383364888185
18,30,4,15,0,0,1,1,83.83859487991026
33,25,6,16,0,1,1,1,95.9250212235981
9,19,6,18,0,1,1,0,69.76358054807483
27,26,5,23,0,0,0,1,90.81988713849918
15,22,10,13,1,1,1,0,79.80925678702654
12,30,5,16,1,1,0,0,78.99747203884371
16,21,4,9,1,0,1,1,78.25240448907242
42,20,9,13,1,0,1,0,102.38376611026204
29,21,6,9,1,1,1,1,91.78745818056991
19,28,6,7,1,1,1,1,84.82337012623421
14,18,4,19,1,0,0,0,72.842494273376
23,21,9,15,0,1,0,0,87.53119761893102
44,27,6,17,1,0,1,1,104.66836187645912
30,24,9,10,1,1,0,1,95.06466255065588
28,30,7,13,1,1,1,0,94.99088710564752
30,25,6,13,1,0,0,1,93.1062155900556
18,20,4,21,0,0,1,1,77.2662372533021
36,25,9,16,0,0,1,1,98.87111554527854
35,28,3,21,1,0,1,1,95.41024070023904
7,21,5,11,1,0,1,1,70.90074631662364
23,16,6,17,1,0,0,0,80.03264228141602
11,28,5,16,0,1,0,0,79.20944229776104
24,29,6,18,1,1,1,1,89.80657902914109
21,32,6,14,1,1,1,1,90.07441704694688
38,27,5,18,0,0,1,1,99.36584880765352
26,22,12,15,1,1,1,1,90.5403842008755
38,17,4,21,1,1,0,0,92.35239675176946
33,25,6,8,1,1,0,0,96.60019878425813
15,18,8,13,0,0,1,1,78.21064468019178
11,16,8,21,0,0,0,0,71.65008553111151
34,25,7,9,1,0,1,1,98.59605526142452
22,18,6,11,0,1,1,1,83.14588307495944
13,30,10,17,1,1,1,1,84.44721321991169
15,20,6,16,1,1,1,0,75.61058308840852
23,20,6,20,1,1,1,1,84.17890084301108
32,23,6,16,1,1,1,1,91.44522783904932
27,22,3,17,1,1,0,0,85.63778348315344
28,22,5,19,1,1,0,0,87.31620408435421
30,30,2,16,0,1,0,0,94.56369390638532
19,21,5,15,1,1,1,1,78.85907399435196
20,26,8,13,0,0,0,0,86.24577910410288
18,24,8,15,1,0,1,1,83.22122153200331
5,24,4,14,0,1,1,0,67.83632245795674
25,23,2,19,1,1,1,0,81.3456385745845
20,25,3,17,1,1,1,0,79.06137156286411
35,24,4,18,1,1,0,0,92.9700894720607
37,21,6,5,1,1,0,1,97.9353139897828
29,19,5,26,0,1,1,1,86.60803624267665
37,24,3,14,0,1,0,0,94.83934717069047
13,22,4,17,1,0,0,0,74.00219656502277
15,25,7,12,1,1,0,0,82.3132994614773
26,12,4,13,1,0,0,0,79.6029610144681
5,25,4,18,1,1,1,1,67.98021587060857
16,28,6,4,1,0,1,1,86.39134063295656
25,28,6,11,1,1,1,1,91.47941048693146
17,23,5,5,1,0,0,0,80.83781961392346
21,30,5,13,1,1,1,0,86.95845352802431
15,23,5,20,1,1,1,0,77.90877081229553
38,26,5,16,1,1,0,1,100.08987690705376
