age,education_years,income_thousands,work_hours_week,gender,smoker_status,married_status,exercise_program,health_score
34,20,14,9,1,0,1,1,108.13868021494584
38,23,7,15,1,1,0,0,102.0341924280781
41,14,8,13,1,1,1,0,97.50967411850914
37,12,19,21,0,1,0,1,111.51532724761648
46,20,14,12,1,1,1,1,120.19052554127136
33,14,15,6,1,0,1,0,94.86683146242969
27,20,9,15,1,1,1,0,92.54046570490624
42,15,15,14,0,1,1,1,112.86526483403584
32,10,15,8,1,0,1,1,99.13895689025428
34,21,10,5,1,1,1,0,96.97937647460934
46,20,11,23,1,1,1,1,119.49737603087895
27,10,10,10,0,0,0,0,81.63283496389151
39,14,13,1,1,0,1,0,96.18272195645416
36,20,14,11,0,0,0,1,111.72544600111848
37,28,8,8,1,1,1,0,105.48379695125288
38,15,8,12,0,0,1,1,104.90938625321418
39,14,8,9,1,1,0,0,93.48523495988988
38,24,14,16,0,1,1,1,117.2175984154856
29,2,10,15,1,1,1,1,89.66492329682762
20,19,12,17,0,1,0,1,96.58013094328336
20,20,7,16,1,1,0,0,84.51391669344224
34,16,15,14,1,0,1,0,98.52575748235894
33,19,14,11,1,1,1,0,100.5521816445568
31,14,10,15,0,1,0,0,88.25520448200264
35,17,11,5,1,1,1,0,96.06885698042848
28,13,15,7,1,1,0,1,98.1799149929136
41,24,14,10,0,0,1,1,117.81316371150636
29,11,11,11,1,1,0,0,87.3770433920979
41,29,14,17,0,1,1,0,113.37273988326356
35,30,13,13,0,0,0,1,118.0571731946077
19,16,10,11,1,1,1,0,81.09960360786182
28,22,8,6,1,0,0,1,100.06971315680885
26,11,9,9,1,1,1,0,84.14266351664837
38,18,13,15,0,1,0,0,99.7940208293924
29,24,12,9,0,1,0,0,96.92661535942416
33,28,14,17,1,1,1,1,118.30142813353925
35,27,11,14,1,1,0,1,115.65729498783068
30,16,9,6,0,1,1,0,88.72410934071628
27,15,11,14,1,1,0,1,97.46602710848104
27,15,9,13,1,1,1,0,88.07961032576961
30,29,10,8,1,1,0,1,110.49893339719262
39,14,8,13,0,1,0,1,105.23199752234642
35,21,12,8,0,0,0,0,99.877044428649
