age,income,gender,region,credit_score,subsidy_received,home_ownership_rate
12,1,1,1,8.437575922726623,0,5.143647828757008
14,2,0,0,14.260770298836546,1,20.47412802028325
12,1,0,0,14.32632213851955,1,20.8839712477705
13,8,0,1,15.660600160796438,1,21.70468556560213
15,2,1,1,12.21492271261666,1,19.1252321752967
16,-2,0,0,10.714623780971657,0,7.921146429897501
11,-2,1,1,12.65464247535056,1,18.99357669718105
13,0,0,0,11.943764037244447,0,10.362484960399636
14,1,1,1,13.906858833733068,1,21.015177142422303
16,2,0,1,11.97588201053967,0,9.53305170357332
15,1,1,1,9.767794708299808,0,6.31952986525798
14,0,0,1,9.536224512311428,0,6.162459068977309
13,-2,1,0,15.7724068507064,1,21.80320241792168
14,4,1,0,11.707692538536692,0,9.000583083891549
18,3,0,1,10.009721657581832,0,6.478111939170593
10,5,0,0,14.034236543425106,1,21.242730876489645
12,6,0,0,8.475994708081066,0,3.883580721580806
13,3,0,0,8.768044847088303,0,5.7896613991686126
13,2,1,0,11.795195502638698,0,9.522015034353933
17,2,0,0,13.332182891096426,1,19.57456952958324
14,0,0,0,11.953641546160643,0,8.990242930343173
16,4,1,0,12.38878251989777,1,18.39199302517438
15,5,0,0,10.542624922288894,0,8.04520238020028
10,1,1,0,13.932302535970534,1,21.179225891397124
14,5,1,1,10.88592682985974,0,7.635918274898931
17,0,1,0,12.161752397821228,1,19.30006942199528
17,0,1,0,8.995459272017975,0,5.304464414522244
14,-1,0,1,13.84099140976705,1,21.271680314471208
13,6,1,1,14.182873964323942,1,21.10759721223413
17,2,0,0,10.228629579528354,0,7.224082130132862
13,1,0,1,9.575705041692988,0,6.380909235569582
12,3,0,1,15.3182425703005,1,21.76181641489769
15,5,1,0,10.959923635862877,0,7.659101143009331
11,4,1,1,15.097150864095928,1,21.60709982703567
15,1,0,1,11.871076681026809,0,9.79808039793994
14,0,0,0,10.97442697302298,0,7.54008021247137
13,0,0,0,11.065047511572857,0,9.620129707596888
14,1,1,1,15.900212646718408,1,22.02828071748665
11,2,0,0,14.385106587676418,1,20.844062408793857
15,10,0,1,10.000999148364428,0,5.867933013556074
12,3,1,0,14.808119805740343,1,21.807257617605803
14,6,1,0,12.112349077697186,1,18.502547973155792
18,0,0,0,11.324188231819877,0,8.804515848592366
13,1,1,0,12.502176701433871,1,18.8395558547002
16,2,0,0,8.932132733678898,0,5.616191268191563
16,4,1,1,10.163693935032086,0,6.677458783342237
12,0,0,0,8.891486379447338,0,4.884835941904969
17,6,1,1,12.598179118658964,1,18.07997071792331
18,1,1,0,8.248738940881214,0,4.173168696919625
12,-2,0,1,9.038797036196232,0,5.7148788593467765
12,1,0,1,11.607033413387692,0,9.692468789289318
13,0,1,1,12.184016595970297,1,19.24776998199651
15,-2,1,1,13.640802374025592,1,21.325807328389164
13,6,1,1,12.959358132077153,1,19.89085091834784
17,-1,1,0,11.634140007979576,0,8.539394508382973
14,3,1,1,9.727206624271616,0,6.934709782389298
11,4,1,0,13.313284073556884,1,20.53011846795418
12,2,0,1,6.671511373683905,0,2.0964130997316843
7,-1,0,1,14.66897148193784,1,21.79388757406577
11,1,0,0,11.352238405487412,0,8.518752848732516
11,2,0,0,6.876943199890656,0,2.770675531024713
12,4,0,0,13.05166111085066,1,20.70687681605969
18,5,0,1,14.408603571948756,1,20.63548534787832
15,5,1,1,13.447887953817876,1,20.457059057822995
11,1,0,0,14.593639413774294,1,20.762497285121967
10,0,1,1,12.888277366575906,1,20.03305832500643
15,-4,0,1,13.398959989802014,1,21.084572079661413
11,5,0,0,11.483417971494037,0,8.536232774352106
14,1,0,1,8.453113826170016,0,4.135392361823142
11,0,1,1,12.240856228424242,1,19.663758732097783
17,3,1,0,10.30512705798968,0,6.70675133223376
11,0,0,1,10.47530726192561,0,7.849530523067174
15,0,1,1,14.375869523983914,1,21.264061797615863
12,-1,0,1,11.659600429988888,0,9.338423350174768
13,-2,0,1,10.450005189916478,0,8.288025776121962
8,2,1,1,12.543630277605663,1,19.43332631863823
11,0,1,1,13.079904404274354,1,19.928962263119537
13,2,0,1,9.654692292306695,0,6.33614754304216
16,0,1,1,10.253541563282509,0,7.03021321090141
12,2,0,1,12.261641872649278,1,19.59710203814792
15,5,0,0,9.68226319676262,0,6.23461077087546
17,1,0,0,11.47632463693548,0,9.033310501191355
16,7,0,1,14.149334416897474,1,20.338035848881532
16,3,0,1,11.745660414415296,0,10.605640068842776
18,6,0,0,13.063951768794375,1,19.706023730232985
10,0,1,1,13.64000484271909,1,20.719191802562182
8,-1,0,0,9.32398335890019,0,5.772376695732432
17,1,1,1,11.55009498330114,0,8.705229437564112
10,3,1,1,14.298103717881729,1,20.376809396082365
17,3,1,1,10.644874318623806,0,7.97853269741785
11,5,1,0,12.88439422805462,1,19.77920682703612
12,3,0,0,15.398065358967818,1,21.61599033183553
14,0,0,1,13.903155812149038,1,20.47542825457713
11,4,1,0,11.657746941681442,0,9.788797432792208
12,-4,0,0,12.213245725645216,1,20.09594727651867
11,6,1,0,10.63619806934864,0,7.401050376669942
14,1,0,0,14.902148623530987,1,21.91007153724097
12,2,0,1,11.657422914372315,0,9.049517308543376
16,5,1,0,11.175386408335516,0,8.043516617298252
17,0,1,0,14.244658668341508,1,20.452235447112223
12,1,1,0,9.341682001755746,0,5.15159563858254
14,2,1,0,14.657890962619094,1,21.08941279032336
12,0,1,0,10.707182821731395,0,8.293479922461888
10,0,0,1,13.81715283390992,1,20.38672020248121
11,4,0,1,10.46689199641186,0,7.419169344793228
15,2,0,0,12.905487809789465,1,19.44741543045657
16,3,1,1,13.145911139501443,1,19.455133318744053
17,0,0,1,11.251192073432431,0,9.098932123427964
11,1,0,1,12.238143598072012,1,19.977198897827787
14,8,1,1,9.812040498042306,0,5.765665141695096
14,1,1,1,13.350567508757022,1,20.3295305403932
16,5,0,1,8.36075015860308,0,4.415971244249877
12,4,1,1,9.135737759682211,0,5.708336435017145
10,6,1,0,14.175810546568664,1,19.358863572804506
10,0,0,1,12.475154720954022,1,19.2940185839452
17,1,0,0,12.147891101825303,1,18.927832330546597
8,1,0,0,14.284154464453058,1,21.24880544336088
18,3,0,0,9.783354650446674,0,6.468012574149872
13,3,1,1,14.378111983530044,1,20.467559002085878
12,0,1,1,10.89500123652818,0,8.081570719362817
15,3,1,1,12.42181770795256,1,19.639711873969343
12,2,0,1,13.245875450352624,1,19.55917845866431
14,2,1,0,12.245739386304408,1,18.52052579287256
18,0,1,1,14.225198222179634,1,20.88768378817436
12,6,1,1,8.493157166856236,0,4.60142717248127
11,1,0,1,10.911591683864325,0,9.846007896058364
